column,base_column,location,category,predictive_safe,target_candidate,leakage_risk,reason,notes
Unnamed: 0,Unnamed: 0,,identifier,False,False,low,"Identifier used to identify a game, team, venue, or row",
gameId,gameId,,identifier,False,False,low,"Identifier used to identify a game, team, venue, or row",
season,season,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
week,week,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
seasonType,seasonType,,static_pregame,True,False,low,Known before kickoff and does not depend on the current-game outcome,
team,team,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
conference,conference,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
homeAway,homeAway,,static_pregame,True,False,low,Known before kickoff and does not depend on the current-game outcome,
points,points,,target_candidate,False,True,high,Current-game outcome that may be used as a model target,
fumblesRecovered,fumblesRecovered,,current_game,False,False,high,Statistic or information generated during or after the current game,
rushingTDs,rushingTDs,,current_game,False,False,high,Statistic or information generated during or after the current game,
puntReturnYards,puntReturnYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
puntReturnTDs,puntReturnTDs,,current_game,False,False,high,Statistic or information generated during or after the current game,
puntReturns,puntReturns,,current_game,False,False,high,Statistic or information generated during or after the current game,
passingTDs,passingTDs,,current_game,False,False,high,Statistic or information generated during or after the current game,
kickReturnYards,kickReturnYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
kickReturnTDs,kickReturnTDs,,current_game,False,False,high,Statistic or information generated during or after the current game,
kickReturns,kickReturns,,current_game,False,False,high,Statistic or information generated during or after the current game,
kickingPoints,kickingPoints,,current_game,False,False,high,Statistic or information generated during or after the current game,
interceptionYards,interceptionYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
interceptionTDs,interceptionTDs,,current_game,False,False,high,Statistic or information generated during or after the current game,
passesIntercepted,passesIntercepted,,current_game,False,False,high,Statistic or information generated during or after the current game,
possessionTime,possessionTime,,current_game,False,False,high,Statistic or information generated during or after the current game,
interceptions,interceptions,,current_game,False,False,high,Statistic or information generated during or after the current game,
fumblesLost,fumblesLost,,current_game,False,False,high,Statistic or information generated during or after the current game,
turnovers,turnovers,,current_game,False,False,high,Statistic or information generated during or after the current game,
totalPenaltiesYards,totalPenaltiesYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
yardsPerRushAttempt,yardsPerRushAttempt,,current_game,False,False,high,Statistic or information generated during or after the current game,
rushingAttempts,rushingAttempts,,current_game,False,False,high,Statistic or information generated during or after the current game,
rushingYards,rushingYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
yardsPerPass,yardsPerPass,,current_game,False,False,high,Statistic or information generated during or after the current game,
completionAttempts,completionAttempts,,current_game,False,False,high,Statistic or information generated during or after the current game,
netPassingYards,netPassingYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
totalYards,totalYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
fourthDownEff,fourthDownEff,,current_game,False,False,high,Statistic or information generated during or after the current game,
thirdDownEff,thirdDownEff,,current_game,False,False,high,Statistic or information generated during or after the current game,
firstDowns,firstDowns,,current_game,False,False,high,Statistic or information generated during or after the current game,
startDate,startDate,,static_pregame,True,False,low,Known before kickoff and does not depend on the current-game outcome,
completed,completed,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
homeTeam,homeTeam,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
awayTeam,awayTeam,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
homePoints,homePoints,,target_candidate,False,True,high,Current-game outcome that may be used as a model target,
awayPoints,awayPoints,,target_candidate,False,True,high,Current-game outcome that may be used as a model target,
opponent,opponent,,metadata,False,False,low,Descriptive metadata rather than a predictive feature,
pointsFor,pointsFor,,target_candidate,False,True,high,Current-game outcome that may be used as a model target,
pointsAgainst,pointsAgainst,,target_candidate,False,True,high,Current-game outcome that may be used as a model target,
pointDifferential,pointDifferential,,target_candidate,False,True,high,Current-game outcome that may be used as a model target,
win,win,,target_candidate,False,True,high,Current-game outcome that may be used as a model target,
completions,completions,,current_game,False,False,high,Statistic or information generated during or after the current game,
passAttempts,passAttempts,,current_game,False,False,high,Statistic or information generated during or after the current game,
completionPct,completionPct,,current_game,False,False,high,Statistic or information generated during or after the current game,
thirdDownConversions,thirdDownConversions,,current_game,False,False,high,Statistic or information generated during or after the current game,
thirdDownAttempts,thirdDownAttempts,,current_game,False,False,high,Statistic or information generated during or after the current game,
thirdDownPct,thirdDownPct,,current_game,False,False,high,Statistic or information generated during or after the current game,
fourthDownConversions,fourthDownConversions,,current_game,False,False,high,Statistic or information generated during or after the current game,
fourthDownAttempts,fourthDownAttempts,,current_game,False,False,high,Statistic or information generated during or after the current game,
fourthDownPct,fourthDownPct,,current_game,False,False,high,Statistic or information generated during or after the current game,
penalties,penalties,,current_game,False,False,high,Statistic or information generated during or after the current game,
penaltyYards,penaltyYards,,current_game,False,False,high,Statistic or information generated during or after the current game,
possessionSeconds,possessionSeconds,,current_game,False,False,high,Statistic or information generated during or after the current game,
totalFumbles,totalFumbles,,current_game,False,False,high,Statistic or information generated during or after the current game,
tacklesForLoss,tacklesForLoss,,current_game,False,False,high,Statistic or information generated during or after the current game,
defensiveTDs,defensiveTDs,,current_game,False,False,high,Statistic or information generated during or after the current game,
tackles,tackles,,current_game,False,False,high,Statistic or information generated during or after the current game,
sacks,sacks,,current_game,False,False,high,Statistic or information generated during or after the current game,
qbHurries,qbHurries,,current_game,False,False,high,Statistic or information generated during or after the current game,
passesDeflected,passesDeflected,,current_game,False,False,high,Statistic or information generated during or after the current game,
gamesBefore,gamesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
winsBefore,winsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
pointsForBefore,pointsForBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
pointsForAvgBefore,pointsForAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
pointsAgainstBefore,pointsAgainstBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
pointsAgainstAvgBefore,pointsAgainstAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
rushingYardsBefore,rushingYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
rushingYardsAvgBefore,rushingYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
rushingAttemptsBefore,rushingAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
rushingAttemptsAvgBefore,rushingAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
netPassingYardsBefore,netPassingYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
netPassingYardsAvgBefore,netPassingYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
passAttemptsBefore,passAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
passAttemptsAvgBefore,passAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
completionsBefore,completionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
completionsAvgBefore,completionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
totalYardsBefore,totalYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
totalYardsAvgBefore,totalYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
firstDownsBefore,firstDownsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
firstDownsAvgBefore,firstDownsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
rushingTDsBefore,rushingTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
rushingTDsAvgBefore,rushingTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
passingTDsBefore,passingTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
passingTDsAvgBefore,passingTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
thirdDownConversionsBefore,thirdDownConversionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
thirdDownConversionsAvgBefore,thirdDownConversionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
thirdDownAttemptsBefore,thirdDownAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
thirdDownAttemptsAvgBefore,thirdDownAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
fourthDownConversionsBefore,fourthDownConversionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
fourthDownConversionsAvgBefore,fourthDownConversionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
fourthDownAttemptsBefore,fourthDownAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
fourthDownAttemptsAvgBefore,fourthDownAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
penaltiesBefore,penaltiesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
penaltiesAvgBefore,penaltiesAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
penaltyYardsBefore,penaltyYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
penaltyYardsAvgBefore,penaltyYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
