column,category,predictive_safe,classification_source,classification_reason
attendance,metadata,False,final_schema_rule,explicit metadata
awayClassification,metadata,False,final_schema_rule,explicit metadata
awayCompletionPctBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayCompletionsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayCompletionsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayConference,metadata,False,final_schema_rule,explicit metadata
awayDefensiveTDsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayDefensiveTDsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFirstDownsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFirstDownsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFourthDownAttemptsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFourthDownAttemptsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFourthDownConversionsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFourthDownConversionsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFourthDownPctBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFumblesLostAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayFumblesLostBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayGamesBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayId,identifier,False,final_schema_rule,explicit identifier
awayInterceptionsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayInterceptionsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayLineScores,metadata,False,final_schema_rule,explicit metadata
awayNetPassingYardsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayNetPassingYardsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPassAttemptsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPassAttemptsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPassesDeflectedAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPassesDeflectedBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPassingTDsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPassingTDsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPenaltiesAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPenaltiesBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPenaltyYardsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPenaltyYardsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPointDifferentialAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPointDifferentialBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPoints,target_candidate,False,final_schema_rule,game outcome/target
awayPointsAgainstAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPointsAgainstBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPointsForAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPointsForBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPoints_away,target_candidate,False,previous_classification,translated from previous classification
awayPossessionSecondsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPossessionSecondsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayPostgameElo,current_game,False,final_schema_rule,postgame information
awayPostgameWinProbability,current_game,False,final_schema_rule,postgame information
awayPregameElo,static_pregame,True,final_schema_rule,explicit pregame feature
awayQbHurriesAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayQbHurriesBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayRushingAttemptsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayRushingAttemptsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayRushingTDsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayRushingTDsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayRushingYardsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayRushingYardsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awaySacksAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awaySacksBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayTacklesForLossAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayTacklesForLossBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayTeam,metadata,False,previous_classification,translated from previous classification
awayThirdDownAttemptsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayThirdDownAttemptsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayThirdDownConversionsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayThirdDownConversionsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayThirdDownPctBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayTotalYardsAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayTotalYardsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayTurnoversAvgBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayTurnoversBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayWinPctBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayWinsBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayYardsPerPassAttemptBefore_away,pregame,True,final_schema_rule,historical pregame feature
awayYardsPerRushAttemptBefore_away,pregame,True,final_schema_rule,historical pregame feature
away_pregame_defense_explosiveness,static_pregame,True,final_schema_rule,explicit pregame feature
away_pregame_defense_ppa,static_pregame,True,final_schema_rule,explicit pregame feature
away_pregame_defense_successRate,static_pregame,True,final_schema_rule,explicit pregame feature
away_pregame_offense_explosiveness,static_pregame,True,final_schema_rule,explicit pregame feature
away_pregame_offense_ppa,static_pregame,True,final_schema_rule,explicit pregame feature
away_pregame_offense_successRate,static_pregame,True,final_schema_rule,explicit pregame feature
completed,metadata,False,previous_classification,translated from previous classification
completionAttempts_away,current_game,False,final_schema_rule,current-game statistic
completionAttempts_home,current_game,False,final_schema_rule,current-game statistic
completionPctBefore_away,pregame,True,final_schema_rule,historical pregame feature
completionPctBefore_home,pregame,True,final_schema_rule,historical pregame feature
