column,current_category,predictive_safe_current,target_candidate_current,leakage_risk_current,automatic_suggestion,feature_context
points_home,unknown,False,False,review,current_game,STAT=points
rushingTDs_home,unknown,False,False,review,current_game,STAT=TDs
puntReturnYards_home,unknown,False,False,review,current_game,STAT=yards
puntReturnTDs_home,unknown,False,False,review,current_game,STAT=TDs
puntReturns_home,unknown,False,False,review,current_game,STAT=returns
passingTDs_home,unknown,False,False,review,current_game,STAT=TDs
kickReturnYards_home,unknown,False,False,review,current_game,STAT=yards
kickReturnTDs_home,unknown,False,False,review,current_game,STAT=TDs
kickReturns_home,unknown,False,False,review,current_game,STAT=returns
kickingPoints_home,unknown,False,False,review,current_game,STAT=points
interceptionYards_home,unknown,False,False,review,current_game,STAT=yards
interceptionTDs_home,unknown,False,False,review,current_game,STAT=TDs
passesIntercepted_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
fumblesRecovered_home,unknown,False,False,review,current_game,STAT=fumbles
totalFumbles_home,unknown,False,False,review,current_game,STAT=fumbles
possessionTime_home,unknown,False,False,review,current_game,STAT=possession
interceptions_home,unknown,False,False,review,current_game,STAT=interceptions
fumblesLost_home,unknown,False,False,review,current_game,STAT=fumbles
turnovers_home,unknown,False,False,review,current_game,STAT=turnovers
totalPenaltiesYards_home,unknown,False,False,review,current_game,"STAT=yards, penalties"
yardsPerRushAttempt_home,unknown,False,False,review,current_game,STAT=yards
rushingAttempts_home,unknown,False,False,review,current_game,STAT=attempts
rushingYards_home,unknown,False,False,review,current_game,STAT=yards
yardsPerPass_home,unknown,False,False,review,current_game,STAT=yards
completionAttempts_home,unknown,False,False,review,current_game,STAT=attempts
netPassingYards_home,unknown,False,False,review,current_game,STAT=yards
totalYards_home,unknown,False,False,review,current_game,STAT=yards
fourthDownEff_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
thirdDownEff_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
firstDowns_home,unknown,False,False,review,current_game,STAT=downs
tacklesForLoss_home,unknown,False,False,review,current_game,STAT=tackles
defensiveTDs_home,unknown,False,False,review,current_game,STAT=TDs
tackles_home,unknown,False,False,review,current_game,STAT=tackles
sacks_home,unknown,False,False,review,current_game,STAT=sacks
qbHurries_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
passesDeflected_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
homePoints_home,unknown,False,False,review,current_game,HOME | STAT=points
pointsFor_home,unknown,False,False,review,current_game,STAT=points
pointsAgainst_home,unknown,False,False,review,current_game,STAT=points
pointDifferential_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
win_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
completions_home,unknown,False,False,review,current_game,STAT=completions
passAttempts_home,unknown,False,False,review,current_game,STAT=attempts
completionPct_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
thirdDownConversions_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
thirdDownAttempts_home,unknown,False,False,review,current_game,STAT=attempts
thirdDownPct_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
fourthDownConversions_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
fourthDownAttempts_home,unknown,False,False,review,current_game,STAT=attempts
fourthDownPct_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,NO_OBVIOUS_CONTEXT
penalties_home,unknown,False,False,review,current_game,STAT=penalties
penaltyYards_home,unknown,False,False,review,current_game,STAT=yards
possessionSeconds_home,unknown,False,False,review,current_game,STAT=possession
pointsForAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointsAgainstAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointDifferentialAvgLast3_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
rushingYardsAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=yards
netPassingYardsAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=yards
totalYardsAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=yards
sacksAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=sacks
qbHurriesAvgLast3_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
passesDeflectedAvgLast3_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
tacklesForLossAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=tackles
turnoversAvgLast3_home,unknown,False,False,review,current_game,AVERAGE | STAT=turnovers
pointsForAvgLast5_home,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointsAgainstAvgLast5_home,unknown,False,False,review,current_game,AVERAGE | STAT=points
pointDifferentialAvgLast5_home,unknown,False,False,review,NO_AUTOMATIC_SUGGESTION,AVERAGE
rushingYardsAvgLast5_home,unknown,False,False,review,current_game,AVERAGE | STAT=yards
netPassingYardsAvgLast5_home,unknown,False,False,review,current_game,AVERAGE | STAT=yards
