id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff,home_pregame_offense_ppa,home_pregame_offense_successRate,home_pregame_offense_explosiveness,home_pregame_defense_ppa,home_pregame_defense_successRate,home_pregame_defense_explosiveness,away_pregame_offense_ppa,away_pregame_offense_successRate,away_pregame_offense_explosiveness,away_pregame_defense_ppa,away_pregame_defense_successRate,away_pregame_defense_explosiveness
401238035,2020,1,regular,2020-09-04 00:00:00+00:00,False,True,False,False,12716.0,3803.0,Legion Field,5,UAB,fbs,Conference USA,45.0,"[14, 14, 3, 14]",0.9980808803854844,,,2110,Central Arkansas,fcs,Southland,35.0,"[7, 14, 0, 14]",0.0019191196145156,,,2.226002,https://www.youtube.com/watch?v=aBwb65AoLmQ,,,,,,,,,,,,,,
401207101,2020,1,regular,2020-09-04 01:00:00+00:00,False,True,False,False,,3815.0,M. M. Roberts Stadium,2572,Southern Miss,fbs,Conference USA,21.0,"[0, 10, 3, 8]",0.2697391538586161,1451.0,1406.0,6,South Alabama,fbs,Sun Belt,32.0,"[13, 0, 10, 9]",0.730260846141384,1227.0,1272.0,5.58695,https://www.youtube.com/watch?v=XzIoo20mNEo,,,,,,,,,,,,,,
401237353,2020,1,regular,2020-09-05 17:00:00+00:00,False,True,False,False,12001.0,3775.0,Joan C. Edwards Stadium,276,Marshall,fbs,Conference USA,59.0,"[21, 17, 14, 7]",0.9989357690026516,,,2198,Eastern Kentucky,fcs,OVC,0.0,"[0, 0, 0, 0]",0.0010642309973485,,,1.1456028928,https://www.youtube.com/watch?v=TBf5sm0SvaE,,,,,,,,,,,,,,
401235700,2020,1,regular,2020-09-05 17:30:00+00:00,False,True,False,False,5249.0,3841.0,Michie Stadium,349,Army,fbs,FBS Independents,42.0,"[7, 14, 14, 7]",0.9989401671285846,1495.0,1610.0,2393,Middle Tennessee,fbs,Conference USA,0.0,"[0, 0, 0, 0]",0.0010598328714154,1429.0,1314.0,2.4709131227,https://www.youtube.com/watch?v=FdOHH54jzW4,,,,,,,,,,,,,,
401212484,2020,1,regular,2020-09-05 20:30:00+00:00,False,True,False,False,7500.0,3644.0,Bobcat Stadium (TX),326,Texas State,fbs,Sun Belt,24.0,"[0, 14, 7, 3]",0.0463854955767336,1193.0,1206.0,2567,SMU,fbs,American Athletic,31.0,"[0, 14, 14, 3]",0.9536145044232665,1557.0,1544.0,3.2882211247,https://www.youtube.com/watch?v=DV-qRe8YnqI,,,,,,,,,,,,,,
401207098,2020,1,regular,2020-09-05 23:30:00+00:00,False,True,False,False,7611.0,3825.0,DATCU Stadium,249,North Texas,fbs,Conference USA,57.0,"[14, 9, 20, 14]",0.9987933449462078,,,2277,Houston Christian,fcs,Southland,31.0,"[0, 10, 7, 14]",0.0012066550537922,,,1.6443047117,https://www.youtube.com/watch?v=MRNGDI4smi0,,,,,,,,,,,,,,
401212553,2020,1,regular,2020-09-06 00:00:00+00:00,False,True,False,False,4537.0,3805.0,Simmons Bank Liberty Stadium,235,Memphis,fbs,American Athletic,37.0,"[7, 14, 13, 3]",0.9459042390318004,1698.0,1702.0,2032,Arkansas State,fbs,Sun Belt,24.0,"[14, 0, 3, 7]",0.0540957609681995,1431.0,1427.0,3.8455083297,https://www.youtube.com/watch?v=icu9T9MZt9c,,,,,,,,,,,,,,
401239884,2020,1,regular,2020-09-06 01:00:00+00:00,False,True,False,False,6047.0,3946.0,Sun Bowl,2638,UTEP,fbs,Conference USA,24.0,"[3, 14, 0, 7]",0.8965660017910269,,,2617,Stephen F. Austin,fcs,Southland,14.0,"[7, 7, 0, 0]",0.1034339982089731,,,6.510044664,https://www.youtube.com/watch?v=oPjntxHEzkw,,,,,,,,,,,,,,
401234576,2020,1,regular,2020-09-08 00:00:00+00:00,False,True,False,False,0.0,3852.0,Navy-Marine Corps Memorial Stadium,2426,Navy,fbs,American Athletic,3.0,"[0, 0, 3, 0]",0.0003421716266563,1625.0,1438.0,252,BYU,fbs,FBS Independents,55.0,"[14, 17, 17, 7]",0.9996578283733436,1513.0,1700.0,1.7226811047,https://www.youtube.com/watch?v=4SIzQoVuVI0,,,,,,,,,,,,,,
401234559,2020,2,regular,2020-09-11 00:00:00+00:00,False,True,False,False,8153.0,3948.0,Hard Rock Stadium,2390,Miami,fbs,ACC,31.0,"[7, 7, 17, 0]",0.9978418110459198,1528.0,1553.0,5,UAB,fbs,Conference USA,14.0,"[7, 0, 7, 0]",0.0021581889540801,1399.0,1374.0,3.686792617,https://www.youtube.com/watch?v=Lj96EKcMjp0,,,,,,,,,0.2730235792212812,0.5180722891566265,0.993135378466188,0.1072618267826331,0.3939393939393939,1.3117663189534847
