,gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,startDate,completed,homeTeam,awayTeam,homePoints,awayPoints,opponent,pointsFor,pointsAgainst,pointDifferential,win,completions,passAttempts,completionPct,thirdDownConversions,thirdDownAttempts,thirdDownPct,fourthDownConversions,fourthDownAttempts,fourthDownPct,penalties,penaltyYards,possessionSeconds,gamesBefore,winsBefore,pointsForBefore,pointsForAvgBefore,pointsAgainstBefore,pointsAgainstAvgBefore,rushingYardsBefore,rushingYardsAvgBefore,rushingAttemptsBefore,rushingAttemptsAvgBefore,netPassingYardsBefore,netPassingYardsAvgBefore,passAttemptsBefore,passAttemptsAvgBefore,completionsBefore,completionsAvgBefore,totalYardsBefore,totalYardsAvgBefore,firstDownsBefore,firstDownsAvgBefore,rushingTDsBefore,rushingTDsAvgBefore,passingTDsBefore,passingTDsAvgBefore,thirdDownConversionsBefore,thirdDownConversionsAvgBefore,thirdDownAttemptsBefore,thirdDownAttemptsAvgBefore,fourthDownConversionsBefore,fourthDownConversionsAvgBefore,fourthDownAttemptsBefore,fourthDownAttemptsAvgBefore,penaltiesBefore,penaltiesAvgBefore,penaltyYardsBefore,penaltyYardsAvgBefore,possessionSecondsBefore,possessionSecondsAvgBefore,turnoversBefore,turnoversAvgBefore,fumblesLostBefore,fumblesLostAvgBefore,interceptionsBefore,interceptionsAvgBefore,sacksBefore,sacksAvgBefore,qbHurriesBefore,qbHurriesAvgBefore,passesDeflectedBefore,passesDeflectedAvgBefore,tacklesForLossBefore,tacklesForLossAvgBefore,defensiveTDsBefore,defensiveTDsAvgBefore,pointDifferentialBefore,pointDifferentialAvgBefore,completionPctBefore,thirdDownPctBefore,fourthDownPctBefore,yardsPerRushAttemptBefore,yardsPerPassAttemptBefore,winPctBefore,pointsForAvgLast3,pointsAgainstAvgLast3,pointDifferentialAvgLast3,rushingYardsAvgLast3,netPassingYardsAvgLast3,totalYardsAvgLast3,sacksAvgLast3,qbHurriesAvgLast3,passesDeflectedAvgLast3,tacklesForLossAvgLast3,turnoversAvgLast3,pointsForAvgLast5,pointsAgainstAvgLast5,pointDifferentialAvgLast5,rushingYardsAvgLast5,netPassingYardsAvgLast5,totalYardsAvgLast5,sacksAvgLast5,qbHurriesAvgLast5,passesDeflectedAvgLast5,tacklesForLossAvgLast5,turnoversAvgLast5,winPctLast3,winPctLast5,isHome,isAway,homeGamesBefore,homeWinsBefore,homeWinPctBefore,homePointsForBefore,homePointsForAvgBefore,homePointsAgainstBefore,homePointsAgainstAvgBefore,homeRushingYardsBefore,homeRushingYardsAvgBefore,homeRushingAttemptsBefore,homeRushingAttemptsAvgBefore,homeNetPassingYardsBefore,homeNetPassingYardsAvgBefore,homePassAttemptsBefore,homePassAttemptsAvgBefore,homeCompletionsBefore,homeCompletionsAvgBefore,homeTotalYardsBefore,homeTotalYardsAvgBefore,homeFirstDownsBefore,homeFirstDownsAvgBefore,homeRushingTDsBefore,homeRushingTDsAvgBefore,homePassingTDsBefore,homePassingTDsAvgBefore,homeThirdDownConversionsBefore,homeThirdDownConversionsAvgBefore,homeThirdDownAttemptsBefore,homeThirdDownAttemptsAvgBefore,homeFourthDownConversionsBefore,homeFourthDownConversionsAvgBefore,homeFourthDownAttemptsBefore,homeFourthDownAttemptsAvgBefore,homePenaltiesBefore,homePenaltiesAvgBefore,homePenaltyYardsBefore,homePenaltyYardsAvgBefore,homePossessionSecondsBefore,homePossessionSecondsAvgBefore,homeTurnoversBefore,homeTurnoversAvgBefore,homeFumblesLostBefore,homeFumblesLostAvgBefore,homeInterceptionsBefore,homeInterceptionsAvgBefore,homeSacksBefore,homeSacksAvgBefore,homeQbHurriesBefore,homeQbHurriesAvgBefore,homePassesDeflectedBefore,homePassesDeflectedAvgBefore,homeTacklesForLossBefore,homeTacklesForLossAvgBefore,homeDefensiveTDsBefore,homeDefensiveTDsAvgBefore,homePointDifferentialBefore,homePointDifferentialAvgBefore,homeCompletionPctBefore,homeThirdDownPctBefore,homeFourthDownPctBefore,homeYardsPerRushAttemptBefore,homeYardsPerPassAttemptBefore,awayGamesBefore,awayWinsBefore,awayWinPctBefore,awayPointsForBefore,awayPointsForAvgBefore,awayPointsAgainstBefore,awayPointsAgainstAvgBefore,awayRushingYardsBefore,awayRushingYardsAvgBefore,awayRushingAttemptsBefore,awayRushingAttemptsAvgBefore,awayNetPassingYardsBefore,awayNetPassingYardsAvgBefore,awayPassAttemptsBefore,awayPassAttemptsAvgBefore,awayCompletionsBefore,awayCompletionsAvgBefore,awayTotalYardsBefore,awayTotalYardsAvgBefore,awayFirstDownsBefore,awayFirstDownsAvgBefore,awayRushingTDsBefore,awayRushingTDsAvgBefore,awayPassingTDsBefore,awayPassingTDsAvgBefore,awayThirdDownConversionsBefore,awayThirdDownConversionsAvgBefore,awayThirdDownAttemptsBefore,awayThirdDownAttemptsAvgBefore,awayFourthDownConversionsBefore,awayFourthDownConversionsAvgBefore,awayFourthDownAttemptsBefore,awayFourthDownAttemptsAvgBefore,awayPenaltiesBefore,awayPenaltiesAvgBefore,awayPenaltyYardsBefore,awayPenaltyYardsAvgBefore,awayPossessionSecondsBefore,awayPossessionSecondsAvgBefore,awayTurnoversBefore,awayTurnoversAvgBefore,awayFumblesLostBefore,awayFumblesLostAvgBefore,awayInterceptionsBefore,awayInterceptionsAvgBefore,awaySacksBefore,awaySacksAvgBefore,awayQbHurriesBefore,awayQbHurriesAvgBefore,awayPassesDeflectedBefore,awayPassesDeflectedAvgBefore,awayTacklesForLossBefore,awayTacklesForLossAvgBefore,awayDefensiveTDsBefore,awayDefensiveTDsAvgBefore,awayPointDifferentialBefore,awayPointDifferentialAvgBefore,awayCompletionPctBefore,awayThirdDownPctBefore,awayFourthDownPctBefore,awayYardsPerRushAttemptBefore,awayYardsPerPassAttemptBefore
0,401300998,2021,1,regular,Abilene Christian,Western Athletic,away,9,0,1.0,79.0,0.0,5.0,3.0,,,,0.0,3.0,6.0,0.0,50.0,0.0,1.0,3.0,28:00,3,1,4,6-38,4.3,28,119,5.9,15-36,213,332,1-2,5-16,15,7.0,0.0,2.0,2021-09-04 23:00:00+00:00,True,SMU,Abilene Christian,56,9,SMU,9,56,-47,0,15,36,0.4166666666666667,5,16,0.3125,1,2,0.5,6,38,1680,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,,
1,401310861,2021,1,regular,Air Force,Mountain West,home,35,5,0.0,,,,3.0,13.0,0.0,1.0,0.0,,7.0,0.0,25.0,3.0,1.0,4.0,34:21,0,0,0,5-45,5.5,67,370,10.0,3-5,50,420,3-3,8-14,24,,,,2021-09-04 18:00:00+00:00,True,Air Force,Lafayette,35,14,Lafayette,35,14,21,1,3,5,0.6,8,14,0.5714285714285714,3,3,1.0,5,45,2061,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,,
2,401301004,2021,2,regular,Air Force,Mountain West,away,23,3,0.0,47.0,0.0,2.0,3.0,,,,0.0,1.0,10.0,0.0,22.0,5.0,6.0,1.0,36:48,0,0,0,5-38,3.0,59,176,4.9,3-10,49,225,1-1,7-18,14,0.0,0.0,1.0,2021-09-11 19:30:00+00:00,True,Navy,Air Force,3,23,Navy,23,3,20,1,3,10,0.3,7,18,0.3888888888888889,1,1,1.0,5,38,2208,1,1,35,35.0,14,14.0,370,370.0,67,67.0,50,50.0,5,5.0,3,3.0,420,420.0,24,24.0,5,5.0,0.0,0.0,8,8.0,14,14.0,3,3.0,3,3.0,5,5.0,45,45.0,2061,2061.0,0,0.0,0,0.0,0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,7.0,7.0,0.0,0.0,21,21.0,0.6,0.5714285714285714,1.0,5.522388059701493,10.0,1.0,35.0,14.0,21.0,370.0,50.0,420.0,3.0,1.0,4.0,7.0,0.0,35.0,14.0,21.0,370.0,50.0,420.0,3.0,1.0,4.0,7.0,0.0,1.0,1.0,False,True,1,1,1.0,35,35.0,14,14.0,370,370.0,67,67.0,50,50.0,5,5.0,3,3.0,420,420.0,24,24.0,5,5.0,0.0,0.0,8,8.0,14,14.0,3,3.0,3,3.0,5,5.0,45,45.0,2061,2061.0,0,0.0,0,0.0,0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,7.0,7.0,0.0,0.0,21,21.0,0.6,0.5714285714285714,1.0,5.522388059701493,10.0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,,
3,401310704,2021,3,regular,Air Force,Mountain West,home,45,5,1.0,4.0,0.0,4.0,9.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,45.0,2.0,3.0,4.0,33:59,1,1,2,5-30,6.9,63,437,15.2,6-12,182,619,1-2,8-13,23,,,,2021-09-18 23:30:00+00:00,True,Air Force,Utah State,45,49,Utah State,45,49,-4,0,6,12,0.5,8,13,0.6153846153846154,1,2,0.5,5,30,2039,2,2,58,29.0,17,8.5,546,273.0,126,63.0,99,49.5,15,7.5,6,3.0,645,322.5,38,19.0,8,4.0,0.0,0.0,15,7.5,32,16.0,4,2.0,4,2.0,10,5.0,83,41.5,4269,2134.5,0,0.0,0,0.0,0,0.0,8.0,4.0,7.0,3.5,5.0,2.5,17.0,8.5,0.0,0.0,41,20.5,0.4,0.46875,1.0,4.333333333333333,6.6,1.0,29.0,8.5,20.5,273.0,49.5,322.5,4.0,3.5,2.5,8.5,0.0,29.0,8.5,20.5,273.0,49.5,322.5,4.0,3.5,2.5,8.5,0.0,1.0,1.0,True,False,1,1,1.0,35,35.0,14,14.0,370,370.0,67,67.0,50,50.0,5,5.0,3,3.0,420,420.0,24,24.0,5,5.0,0.0,0.0,8,8.0,14,14.0,3,3.0,3,3.0,5,5.0,45,45.0,2061,2061.0,0,0.0,0,0.0,0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,7.0,7.0,0.0,0.0,21,21.0,0.6,0.5714285714285714,1.0,5.522388059701493,10.0,1,1,1.0,23,23.0,3,3.0,176,176.0,59,59.0,49,49.0,10,10.0,3,3.0,225,225.0,14,14.0,3,3.0,0.0,0.0,7,7.0,18,18.0,1,1.0,1,1.0,5,5.0,38,38.0,2208,2208.0,0,0.0,0,0.0,0,0.0,5.0,5.0,6.0,6.0,1.0,1.0,10.0,10.0,0.0,0.0,20,20.0,0.3,0.3888888888888889,1.0,2.983050847457627,4.9
4,401282207,2021,4,regular,Air Force,Mountain West,home,31,4,0.0,,,,7.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,24.0,1.0,3.0,7.0,40:57,0,0,0,3-15,6.1,73,446,14.0,2-5,70,516,4-6,3-14,24,,,,2021-09-26 00:00:00+00:00,True,Air Force,Florida Atlantic,31,7,Florida Atlantic,31,7,24,1,2,5,0.4,3,14,0.21428571428571427,4,6,0.6666666666666666,3,15,2457,3,2,103,34.333333333333336,66,22.0,983,327.6666666666667,189,63.0,281,93.66666666666667,27,9.0,12,4.0,1264,421.3333333333333,61,20.333333333333332,13,4.333333333333333,1.0,0.3333333333333333,23,7.666666666666667,45,15.0,5,1.6666666666666667,6,2.0,15,5.0,113,37.666666666666664,6308,2102.6666666666665,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,10.0,3.3333333333333335,10.0,3.3333333333333335,9.0,3.0,17.0,5.666666666666667,0.0,0.0,37,12.333333333333334,0.4444444444444444,0.5111111111111111,0.8333333333333334,5.201058201058201,10.407407407407407,0.6666666666666666,34.333333333333336,22.0,12.333333333333334,327.6666666666667,93.66666666666667,421.3333333333333,3.3333333333333335,3.3333333333333335,3.0,5.666666666666667,0.6666666666666666,34.333333333333336,22.0,12.333333333333334,327.6666666666667,93.66666666666667,421.3333333333333,3.3333333333333335,3.3333333333333335,3.0,5.666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,True,False,2,1,0.5,80,40.0,63,31.5,807,403.5,130,65.0,232,116.0,17,8.5,9,4.5,1039,519.5,47,23.5,10,5.0,1.0,0.5,16,8.0,27,13.5,4,2.0,5,2.5,10,5.0,75,37.5,4100,2050.0,2,1.0,1,0.5,1,0.5,5.0,2.5,4.0,2.0,8.0,4.0,7.0,3.5,0.0,0.0,17,8.5,0.5294117647058824,0.5925925925925926,0.8,6.207692307692308,13.647058823529411,1,1,1.0,23,23.0,3,3.0,176,176.0,59,59.0,49,49.0,10,10.0,3,3.0,225,225.0,14,14.0,3,3.0,0.0,0.0,7,7.0,18,18.0,1,1.0,1,1.0,5,5.0,38,38.0,2208,2208.0,0,0.0,0,0.0,0,0.0,5.0,5.0,6.0,6.0,1.0,1.0,10.0,10.0,0.0,0.0,20,20.0,0.3,0.3888888888888889,1.0,2.983050847457627,4.9
5,401310710,2021,5,regular,Air Force,Mountain West,away,38,5,0.0,,,,8.0,18.0,0.0,1.0,4.0,2.0,4.0,0.0,24.0,4.0,3.0,0.0,41:53,0,0,0,6-55,5.6,73,408,16.5,1-2,33,441,3-3,9-15,24,,,,2021-10-02 22:30:00+00:00,True,New Mexico,Air Force,10,38,New Mexico,38,10,28,1,1,2,0.5,9,15,0.6,3,3,1.0,6,55,2513,4,3,134,33.5,73,18.25,1429,357.25,262,65.5,351,87.75,32,8.0,14,3.5,1780,445.0,85,21.25,17,4.25,1.0,0.25,26,6.5,59,14.75,9,2.25,12,3.0,18,4.5,128,32.0,8765,2191.25,2,0.5,1,0.25,1,0.25,11.0,2.75,13.0,3.25,16.0,4.0,20.0,5.0,0.0,0.0,61,15.25,0.4375,0.4406779661016949,0.75,5.4541984732824424,10.96875,0.75,33.0,19.666666666666668,13.333333333333334,353.0,100.33333333333333,453.3333333333333,2.6666666666666665,4.0,4.0,4.333333333333333,0.6666666666666666,33.5,18.25,15.25,357.25,87.75,445.0,2.75,3.25,4.0,5.0,0.5,0.6666666666666666,0.75,False,True,3,2,0.6666666666666666,111,37.0,70,23.333333333333332,1253,417.6666666666667,203,67.66666666666667,302,100.66666666666667,22,7.333333333333333,11,3.6666666666666665,1555,518.3333333333334,71,23.666666666666668,14,4.666666666666667,1.0,0.3333333333333333,19,6.333333333333333,41,13.666666666666666,8,2.6666666666666665,11,3.6666666666666665,13,4.333333333333333,90,30.0,6557,2185.6666666666665,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,6.0,2.0,7.0,2.3333333333333335,15.0,5.0,10.0,3.3333333333333335,0.0,0.0,41,13.666666666666666,0.5,0.4634146341463415,0.7272727272727273,6.172413793103448,13.727272727272727,1,1,1.0,23,23.0,3,3.0,176,176.0,59,59.0,49,49.0,10,10.0,3,3.0,225,225.0,14,14.0,3,3.0,0.0,0.0,7,7.0,18,18.0,1,1.0,1,1.0,5,5.0,38,38.0,2208,2208.0,0,0.0,0,0.0,0,0.0,5.0,5.0,6.0,6.0,1.0,1.0,10.0,10.0,0.0,0.0,20,20.0,0.3,0.3888888888888889,1.0,2.983050847457627,4.9
6,401310714,2021,6,regular,Air Force,Mountain West,home,24,2,1.0,0.0,0.0,1.0,6.0,,,,2.0,5.0,5.0,0.0,24.0,3.0,0.0,7.0,38:48,0,1,1,1-5,3.3,64,211,11.0,7-10,110,321,3-4,7-16,20,,,,2021-10-09 23:00:00+00:00,True,Air Force,Wyoming,24,14,Wyoming,24,14,10,1,7,10,0.7,7,16,0.4375,3,4,0.75,1,5,2328,5,4,172,34.4,83,16.6,1837,367.4,335,67.0,384,76.8,34,6.8,15,3.0,2221,444.2,109,21.8,22,4.4,1.0,0.2,35,7.0,74,14.8,12,2.4,15,3.0,24,4.8,183,36.6,11278,2255.6,2,0.4,1,0.2,1,0.2,15.0,3.0,16.0,3.2,16.0,3.2,24.0,4.8,0.0,0.0,89,17.8,0.4411764705882353,0.47297297297297297,0.8,5.483582089552239,11.294117647058824,0.8,38.0,22.0,16.0,430.3333333333333,95.0,525.3333333333334,2.3333333333333335,3.0,3.6666666666666665,2.3333333333333335,0.6666666666666666,34.4,16.6,17.8,367.4,76.8,444.2,3.0,3.2,3.2,4.8,0.4,0.6666666666666666,0.8,True,False,3,2,0.6666666666666666,111,37.0,70,23.333333333333332,1253,417.6666666666667,203,67.66666666666667,302,100.66666666666667,22,7.333333333333333,11,3.6666666666666665,1555,518.3333333333334,71,23.666666666666668,14,4.666666666666667,1.0,0.3333333333333333,19,6.333333333333333,41,13.666666666666666,8,2.6666666666666665,11,3.6666666666666665,13,4.333333333333333,90,30.0,6557,2185.6666666666665,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,6.0,2.0,7.0,2.3333333333333335,15.0,5.0,10.0,3.3333333333333335,0.0,0.0,41,13.666666666666666,0.5,0.4634146341463415,0.7272727272727273,6.172413793103448,13.727272727272727,2,2,1.0,61,30.5,13,6.5,584,292.0,132,66.0,82,41.0,12,6.0,4,2.0,666,333.0,38,19.0,8,4.0,0.0,0.0,16,8.0,33,16.5,4,2.0,4,2.0,11,5.5,93,46.5,4721,2360.5,0,0.0,0,0.0,0,0.0,9.0,4.5,9.0,4.5,1.0,0.5,14.0,7.0,0.0,0.0,48,24.0,0.3333333333333333,0.48484848484848486,1.0,4.424242424242424,6.833333333333333
7,401310718,2021,7,regular,Air Force,Mountain West,away,24,3,0.0,-2.0,0.0,3.0,6.0,8.0,0.0,1.0,1.0,1.0,2.0,0.0,35.0,2.0,4.0,1.0,36:59,0,1,1,4-43,4.9,63,307,11.8,1-5,59,366,2-2,7-15,19,,,,2021-10-17 01:00:00+00:00,True,Boise State,Air Force,17,24,Boise State,24,17,7,1,1,5,0.2,7,15,0.4666666666666667,2,2,1.0,4,43,2219,6,5,196,32.666666666666664,97,16.166666666666668,2048,341.3333333333333,399,66.5,494,82.33333333333333,44,7.333333333333333,22,3.6666666666666665,2542,423.6666666666667,129,21.5,24,4.0,2.0,0.3333333333333333,42,7.0,90,15.0,15,2.5,19,3.1666666666666665,25,4.166666666666667,188,31.333333333333332,13606,2267.6666666666665,3,0.5,2,0.3333333333333333,1,0.16666666666666666,18.0,3.0,16.0,2.6666666666666665,23.0,3.8333333333333335,29.0,4.833333333333333,0.0,0.0,99,16.5,0.5,0.4666666666666667,0.7894736842105263,5.132832080200501,11.227272727272727,0.8333333333333334,31.0,10.333333333333334,20.666666666666668,355.0,71.0,426.0,2.6666666666666665,2.0,4.666666666666667,4.0,0.3333333333333333,32.2,16.6,15.6,335.6,88.8,424.4,3.0,3.0,3.8,4.4,0.6,1.0,0.8,False,True,4,3,0.75,135,33.75,84,21.0,1464,366.0,267,66.75,412,103.0,32,8.0,18,4.5,1876,469.0,91,22.75,16,4.0,2.0,0.5,26,6.5,57,14.25,11,2.75,15,3.75,14,3.5,95,23.75,8885,2221.25,3,0.75,2,0.5,1,0.25,9.0,2.25,7.0,1.75,22.0,5.5,15.0,3.75,0.0,0.0,51,12.75,0.5625,0.45614035087719296,0.7333333333333333,5.48314606741573,12.875,2,2,1.0,61,30.5,13,6.5,584,292.0,132,66.0,82,41.0,12,6.0,4,2.0,666,333.0,38,19.0,8,4.0,0.0,0.0,16,8.0,33,16.5,4,2.0,4,2.0,11,5.5,93,46.5,4721,2360.5,0,0.0,0,0.0,0,0.0,9.0,4.5,9.0,4.5,1.0,0.5,14.0,7.0,0.0,0.0,48,24.0,0.3333333333333333,0.48484848484848486,1.0,4.424242424242424,6.833333333333333
8,401310724,2021,8,regular,Air Force,Mountain West,home,14,1,1.0,,,,2.0,,,,0.0,2.0,3.0,0.0,42.0,1.0,1.0,1.0,28:45,1,1,2,3-28,4.0,48,192,4.5,5-15,67,259,3-4,4-16,15,20.0,0.0,1.0,2021-10-23 23:00:00+00:00,True,Air Force,San Diego State,14,20,San Diego State,14,20,-6,0,5,15,0.3333333333333333,4,16,0.25,3,4,0.75,3,28,1725,7,6,220,31.428571428571427,114,16.285714285714285,2355,336.42857142857144,462,66.0,553,79.0,49,7.0,23,3.2857142857142856,2908,415.42857142857144,148,21.142857142857142,27,3.857142857142857,2.0,0.2857142857142857,49,7.0,105,15.0,17,2.4285714285714284,21,3.0,29,4.142857142857143,231,33.0,15825,2260.714285714286,4,0.5714285714285714,3,0.42857142857142855,1,0.14285714285714285,20.0,2.857142857142857,20.0,2.857142857142857,24.0,3.4285714285714284,31.0,4.428571428571429,0.0,0.0,106,15.142857142857142,0.46938775510204084,0.4666666666666667,0.8095238095238095,5.097402597402597,11.285714285714286,0.8571428571428571,28.666666666666668,13.666666666666666,15.0,308.6666666666667,67.33333333333333,376.0,3.0,2.3333333333333335,2.6666666666666665,3.6666666666666665,0.6666666666666666,32.4,19.4,13.0,361.8,90.8,452.6,2.4,2.6,3.8,2.8,0.8,1.0,0.8,True,False,4,3,0.75,135,33.75,84,21.0,1464,366.0,267,66.75,412,103.0,32,8.0,18,4.5,1876,469.0,91,22.75,16,4.0,2.0,0.5,26,6.5,57,14.25,11,2.75,15,3.75,14,3.5,95,23.75,8885,2221.25,3,0.75,2,0.5,1,0.25,9.0,2.25,7.0,1.75,22.0,5.5,15.0,3.75,0.0,0.0,51,12.75,0.5625,0.45614035087719296,0.7333333333333333,5.48314606741573,12.875,3,3,1.0,85,28.333333333333332,30,10.0,891,297.0,195,65.0,141,47.0,17,5.666666666666667,5,1.6666666666666667,1032,344.0,57,19.0,11,3.6666666666666665,0.0,0.0,23,7.666666666666667,48,16.0,6,2.0,6,2.0,15,5.0,136,45.333333333333336,6940,2313.3333333333335,1,0.3333333333333333,1,0.3333333333333333,0,0.0,11.0,3.6666666666666665,13.0,4.333333333333333,2.0,0.6666666666666666,16.0,5.333333333333333,0.0,0.0,55,18.333333333333332,0.29411764705882354,0.4791666666666667,1.0,4.569230769230769,8.294117647058824
9,401310253,2021,10,regular,Air Force,Mountain West,home,14,0,1.0,19.0,0.0,1.0,6.0,,,,0.0,2.0,7.0,0.0,43.0,1.0,3.0,2.0,30:57,1,0,1,4-30,3.5,50,175,9.8,13-23,226,401,2-5,6-16,22,,,,2021-11-06 15:30:00+00:00,True,Air Force,Army,14,21,Army,14,21,-7,0,13,23,0.5652173913043478,6,16,0.375,2,5,0.4,4,30,1857,8,6,234,29.25,134,16.75,2547,318.375,510,63.75,620,77.5,64,8.0,28,3.5,3167,395.875,163,20.375,28,3.5,3.0,0.375,53,6.625,121,15.125,20,2.5,25,3.125,32,4.0,259,32.375,17550,2193.75,6,0.75,4,0.5,2,0.25,21.0,2.625,21.0,2.625,25.0,3.125,34.0,4.25,0.0,0.0,100,12.5,0.4375,0.4380165289256198,0.8,4.9941176470588236,9.6875,0.75,20.666666666666668,17.0,3.6666666666666665,236.66666666666666,78.66666666666667,315.3333333333333,2.0,1.6666666666666667,3.0,3.3333333333333335,1.3333333333333333,26.2,13.6,12.6,312.8,67.8,380.6,2.2,2.2,3.2,3.4,0.8,0.6666666666666666,0.8,True,False,5,3,0.6,149,29.8,104,20.8,1656,331.2,315,63.0,479,95.8,47,9.4,23,4.6,2135,427.0,106,21.2,17,3.4,3.0,0.6,30,6.0,73,14.6,14,2.8,19,3.8,17,3.4,123,24.6,10610,2122.0,5,1.0,3,0.6,2,0.4,10.0,2.0,8.0,1.6,23.0,4.6,18.0,3.6,0.0,0.0,45,9.0,0.48936170212765956,0.410958904109589,0.7368421052631579,5.257142857142857,10.191489361702128,3,3,1.0,85,28.333333333333332,30,10.0,891,297.0,195,65.0,141,47.0,17,5.666666666666667,5,1.6666666666666667,1032,344.0,57,19.0,11,3.6666666666666665,0.0,0.0,23,7.666666666666667,48,16.0,6,2.0,6,2.0,15,5.0,136,45.333333333333336,6940,2313.3333333333335,1,0.3333333333333333,1,0.3333333333333333,0,0.0,11.0,3.6666666666666665,13.0,4.333333333333333,2.0,0.6666666666666666,16.0,5.333333333333333,0.0,0.0,55,18.333333333333332,0.29411764705882354,0.4791666666666667,1.0,4.569230769230769,8.294117647058824
