,gameId,season,week,seasonType,team,conference,homeAway,points,fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,startDate,completed,homeTeam,awayTeam,homePoints,awayPoints,opponent,pointsFor,pointsAgainst,pointDifferential,win,completions,passAttempts,completionPct,thirdDownConversions,thirdDownAttempts,thirdDownPct,fourthDownConversions,fourthDownAttempts,fourthDownPct,penalties,penaltyYards,possessionSeconds,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,gamesBefore,winsBefore,pointsForBefore,pointsForAvgBefore,pointsAgainstBefore,pointsAgainstAvgBefore,rushingYardsBefore,rushingYardsAvgBefore,rushingAttemptsBefore,rushingAttemptsAvgBefore,netPassingYardsBefore,netPassingYardsAvgBefore,passAttemptsBefore,passAttemptsAvgBefore,completionsBefore,completionsAvgBefore,totalYardsBefore,totalYardsAvgBefore,firstDownsBefore,firstDownsAvgBefore,rushingTDsBefore,rushingTDsAvgBefore,passingTDsBefore,passingTDsAvgBefore,thirdDownConversionsBefore,thirdDownConversionsAvgBefore,thirdDownAttemptsBefore,thirdDownAttemptsAvgBefore,fourthDownConversionsBefore,fourthDownConversionsAvgBefore,fourthDownAttemptsBefore,fourthDownAttemptsAvgBefore,penaltiesBefore,penaltiesAvgBefore,penaltyYardsBefore,penaltyYardsAvgBefore,possessionSecondsBefore,possessionSecondsAvgBefore,turnoversBefore,turnoversAvgBefore,fumblesLostBefore,fumblesLostAvgBefore,interceptionsBefore,interceptionsAvgBefore,sacksBefore,sacksAvgBefore,qbHurriesBefore,qbHurriesAvgBefore,passesDeflectedBefore,passesDeflectedAvgBefore,tacklesForLossBefore,tacklesForLossAvgBefore,defensiveTDsBefore,defensiveTDsAvgBefore,pointDifferentialBefore,pointDifferentialAvgBefore,completionPctBefore,thirdDownPctBefore,fourthDownPctBefore,yardsPerRushAttemptBefore,yardsPerPassAttemptBefore,winPctBefore,pointsForAvgLast3,pointsAgainstAvgLast3,pointDifferentialAvgLast3,rushingYardsAvgLast3,netPassingYardsAvgLast3,totalYardsAvgLast3,sacksAvgLast3,qbHurriesAvgLast3,passesDeflectedAvgLast3,tacklesForLossAvgLast3,turnoversAvgLast3,pointsForAvgLast5,pointsAgainstAvgLast5,pointDifferentialAvgLast5,rushingYardsAvgLast5,netPassingYardsAvgLast5,totalYardsAvgLast5,sacksAvgLast5,qbHurriesAvgLast5,passesDeflectedAvgLast5,tacklesForLossAvgLast5,turnoversAvgLast5,winPctLast3,winPctLast5,isHome,isAway,homeGamesBefore,homeWinsBefore,homeWinPctBefore,homePointsForBefore,homePointsForAvgBefore,homePointsAgainstBefore,homePointsAgainstAvgBefore,homeRushingYardsBefore,homeRushingYardsAvgBefore,homeRushingAttemptsBefore,homeRushingAttemptsAvgBefore,homeNetPassingYardsBefore,homeNetPassingYardsAvgBefore,homePassAttemptsBefore,homePassAttemptsAvgBefore,homeCompletionsBefore,homeCompletionsAvgBefore,homeTotalYardsBefore,homeTotalYardsAvgBefore,homeFirstDownsBefore,homeFirstDownsAvgBefore,homeRushingTDsBefore,homeRushingTDsAvgBefore,homePassingTDsBefore,homePassingTDsAvgBefore,homeThirdDownConversionsBefore,homeThirdDownConversionsAvgBefore,homeThirdDownAttemptsBefore,homeThirdDownAttemptsAvgBefore,homeFourthDownConversionsBefore,homeFourthDownConversionsAvgBefore,homeFourthDownAttemptsBefore,homeFourthDownAttemptsAvgBefore,homePenaltiesBefore,homePenaltiesAvgBefore,homePenaltyYardsBefore,homePenaltyYardsAvgBefore,homePossessionSecondsBefore,homePossessionSecondsAvgBefore,homeTurnoversBefore,homeTurnoversAvgBefore,homeFumblesLostBefore,homeFumblesLostAvgBefore,homeInterceptionsBefore,homeInterceptionsAvgBefore,homeSacksBefore,homeSacksAvgBefore,homeQbHurriesBefore,homeQbHurriesAvgBefore,homePassesDeflectedBefore,homePassesDeflectedAvgBefore,homeTacklesForLossBefore,homeTacklesForLossAvgBefore,homeDefensiveTDsBefore,homeDefensiveTDsAvgBefore,homePointDifferentialBefore,homePointDifferentialAvgBefore,homeCompletionPctBefore,homeThirdDownPctBefore,homeFourthDownPctBefore,homeYardsPerRushAttemptBefore,homeYardsPerPassAttemptBefore,awayGamesBefore,awayWinsBefore,awayWinPctBefore,awayPointsForBefore,awayPointsForAvgBefore,awayPointsAgainstBefore,awayPointsAgainstAvgBefore,awayRushingYardsBefore,awayRushingYardsAvgBefore,awayRushingAttemptsBefore,awayRushingAttemptsAvgBefore,awayNetPassingYardsBefore,awayNetPassingYardsAvgBefore,awayPassAttemptsBefore,awayPassAttemptsAvgBefore,awayCompletionsBefore,awayCompletionsAvgBefore,awayTotalYardsBefore,awayTotalYardsAvgBefore,awayFirstDownsBefore,awayFirstDownsAvgBefore,awayRushingTDsBefore,awayRushingTDsAvgBefore,awayPassingTDsBefore,awayPassingTDsAvgBefore,awayThirdDownConversionsBefore,awayThirdDownConversionsAvgBefore,awayThirdDownAttemptsBefore,awayThirdDownAttemptsAvgBefore,awayFourthDownConversionsBefore,awayFourthDownConversionsAvgBefore,awayFourthDownAttemptsBefore,awayFourthDownAttemptsAvgBefore,awayPenaltiesBefore,awayPenaltiesAvgBefore,awayPenaltyYardsBefore,awayPenaltyYardsAvgBefore,awayPossessionSecondsBefore,awayPossessionSecondsAvgBefore,awayTurnoversBefore,awayTurnoversAvgBefore,awayFumblesLostBefore,awayFumblesLostAvgBefore,awayInterceptionsBefore,awayInterceptionsAvgBefore,awaySacksBefore,awaySacksAvgBefore,awayQbHurriesBefore,awayQbHurriesAvgBefore,awayPassesDeflectedBefore,awayPassesDeflectedAvgBefore,awayTacklesForLossBefore,awayTacklesForLossAvgBefore,awayDefensiveTDsBefore,awayDefensiveTDsAvgBefore,awayPointDifferentialBefore,awayPointDifferentialAvgBefore,awayCompletionPctBefore,awayThirdDownPctBefore,awayFourthDownPctBefore,awayYardsPerRushAttemptBefore,awayYardsPerPassAttemptBefore
0,400799923,2015,1,regular,Abilene Christian,Southland,away,13,1,1,,,,1,29.0,0.0,2.0,1.0,46.0,0.0,2.0,33:56,2,0,2,6-40,1.2,29,34,4.7,30-45,213,247,2-4,5-17,15,2015-09-04 02:00:00+00:00,True,Fresno State,Abilene Christian,34,13,Fresno State,13,34,-21,0,30,45,0.6666666666666666,5,17,0.29411764705882354,2,4,0.5,6,40,2036.0,,,,,,,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,
1,400787111,2015,1,regular,Air Force,Mountain West,home,63,1,5,83.0,1.0,2.0,2,,,,9.0,22.0,1.0,1.0,29:52,0,0,0,6-57,6.3,63,394,17.0,4-7,119,513,0-0,8-10,29,2015-09-05 19:30:00+00:00,True,Air Force,Morgan State,63,7,Morgan State,63,7,56,1,4,7,0.5714285714285714,8,10,0.8,0,0,,6,57,1792.0,,,,,,,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,
2,400787117,2015,2,regular,Air Force,Mountain West,home,37,0,5,17.0,0.0,1.0,0,,,,7.0,1.0,0.0,2.0,36:05,1,0,1,5-48,6.2,69,428,2.2,3-11,24,452,3-3,6-17,23,2015-09-13 02:15:00+00:00,True,Air Force,San José State,37,16,San José State,37,16,21,1,3,11,0.2727272727272727,6,17,0.35294117647058826,3,3,1.0,5,48,2165.0,,,,,,,,1,1,63,63.0,7,7.0,394,394.0,63,63.0,119,119.0,7,7.0,4,4.0,513,513.0,29,29.0,5,5.0,2,2.0,8,8.0,10,10.0,0,0.0,0,0.0,6,6.0,57,57.0,1792.0,1792.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,56,56.0,0.5714285714285714,0.8,,6.253968253968254,17.0,1.0,63.0,7.0,56.0,394.0,119.0,513.0,,,,,0.0,63.0,7.0,56.0,394.0,119.0,513.0,,,,,0.0,1.0,1.0,True,False,1,1,1.0,63,63.0,7,7.0,394,394.0,63,63.0,119,119.0,7,7.0,4,4.0,513,513.0,29,29.0,5,5.0,2,2.0,8,8.0,10,10.0,0,0.0,0,0.0,6,6.0,57,57.0,1792.0,1792.0,0,0.0,0,0.0,0,0.0,,,,,,,,,,,56,56.0,0.5714285714285714,0.8,,6.253968253968254,17.0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,
3,400763512,2015,3,regular,Air Force,Mountain West,away,21,0,2,1.0,0.0,1.0,1,47.0,0.0,4.0,3.0,,,,26:59,1,2,3,7-95,5.5,51,279,16.6,6-9,149,428,0-1,3-9,24,2015-09-19 16:00:00+00:00,True,Michigan State,Air Force,35,21,Michigan State,21,35,-14,0,6,9,0.6666666666666666,3,9,0.3333333333333333,0,1,0.0,7,95,1619.0,,,,,,,,2,2,100,50.0,23,11.5,822,411.0,132,66.0,143,71.5,18,9.0,7,3.5,965,482.5,52,26.0,10,5.0,2,1.0,14,7.0,27,13.5,3,1.5,3,1.5,11,5.5,105,52.5,3957.0,1978.5,1,0.5,0,0.0,1,0.5,,,,,,,,,,,77,38.5,0.3888888888888889,0.5185185185185185,1.0,6.2272727272727275,7.944444444444445,1.0,50.0,11.5,38.5,411.0,71.5,482.5,,,,,0.5,50.0,11.5,38.5,411.0,71.5,482.5,,,,,0.5,1.0,1.0,False,True,2,2,1.0,100,50.0,23,11.5,822,411.0,132,66.0,143,71.5,18,9.0,7,3.5,965,482.5,52,26.0,10,5.0,2,1.0,14,7.0,27,13.5,3,1.5,3,1.5,11,5.5,105,52.5,3957.0,1978.5,1,0.5,0,0.0,1,0.5,,,,,,,,,,,77,38.5,0.3888888888888889,0.5185185185185185,1.0,6.2272727272727275,7.944444444444445,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0,,,,,,,,,,,,0,,,,,,
4,400764876,2015,5,regular,Air Force,Mountain West,away,11,0,1,15.0,0.0,1.0,0,116.0,0.0,5.0,3.0,,,,27:30,1,3,4,3-25,3.6,56,204,6.1,5-12,73,277,2-3,5-16,15,2015-10-03 19:30:00+00:00,True,Navy,Air Force,33,11,Navy,11,33,-22,0,5,12,0.4166666666666667,5,16,0.3125,2,3,0.6666666666666666,3,25,1650.0,,,,,,,,3,2,121,40.333333333333336,58,19.333333333333332,1101,367.0,183,61.0,292,97.33333333333333,27,9.0,13,4.333333333333333,1393,464.3333333333333,76,25.333333333333332,12,4.0,3,1.0,17,5.666666666666667,36,12.0,3,1.0,4,1.3333333333333333,18,6.0,200,66.66666666666667,5576.0,1858.6666666666667,4,1.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,,,,,,,,,,,63,21.0,0.48148148148148145,0.4722222222222222,0.75,6.016393442622951,10.814814814814815,0.6666666666666666,40.333333333333336,19.333333333333332,21.0,367.0,97.33333333333333,464.3333333333333,,,,,1.3333333333333333,40.333333333333336,19.333333333333332,21.0,367.0,97.33333333333333,464.3333333333333,,,,,1.3333333333333333,0.6666666666666666,0.6666666666666666,False,True,2,2,1.0,100,50.0,23,11.5,822,411.0,132,66.0,143,71.5,18,9.0,7,3.5,965,482.5,52,26.0,10,5.0,2,1.0,14,7.0,27,13.5,3,1.5,3,1.5,11,5.5,105,52.5,3957.0,1978.5,1,0.5,0,0.0,1,0.5,,,,,,,,,,,77,38.5,0.3888888888888889,0.5185185185185185,1.0,6.2272727272727275,7.944444444444445,1,0,0.0,21,21.0,35,35.0,279,279.0,51,51.0,149,149.0,9,9.0,6,6.0,428,428.0,24,24.0,2,2.0,1,1.0,3,3.0,9,9.0,0,0.0,1,1.0,7,7.0,95,95.0,1619.0,1619.0,3,3.0,2,2.0,1,1.0,,,,,,,,,,,-14,-14.0,0.6666666666666666,0.3333333333333333,0.0,5.470588235294118,16.555555555555557
5,400787254,2015,6,regular,Air Force,Mountain West,home,31,2,3,6.0,0.0,1.0,1,24.0,0.0,1.0,7.0,0.0,0.0,2.0,30:37,1,1,2,2-30,5.2,58,299,8.0,5-10,80,379,0-0,5-14,16,2015-10-11 02:26:00+00:00,True,Air Force,Wyoming,31,17,Wyoming,31,17,14,1,5,10,0.5,5,14,0.35714285714285715,0,0,,2,30,1837.0,,,,,,,,4,2,132,33.0,91,22.75,1305,326.25,239,59.75,365,91.25,39,9.75,18,4.5,1670,417.5,91,22.75,13,3.25,3,0.75,22,5.5,52,13.0,5,1.25,7,1.75,21,5.25,225,56.25,7226.0,1806.5,8,2.0,5,1.25,3,0.75,,,,,,,,,,,41,10.25,0.46153846153846156,0.4230769230769231,0.7142857142857143,5.460251046025105,9.35897435897436,0.5,23.0,28.0,-5.0,303.6666666666667,82.0,385.6666666666667,,,,,2.6666666666666665,33.0,22.75,10.25,326.25,91.25,417.5,,,,,2.0,0.3333333333333333,0.5,True,False,2,2,1.0,100,50.0,23,11.5,822,411.0,132,66.0,143,71.5,18,9.0,7,3.5,965,482.5,52,26.0,10,5.0,2,1.0,14,7.0,27,13.5,3,1.5,3,1.5,11,5.5,105,52.5,3957.0,1978.5,1,0.5,0,0.0,1,0.5,,,,,,,,,,,77,38.5,0.3888888888888889,0.5185185185185185,1.0,6.2272727272727275,7.944444444444445,2,0,0.0,32,16.0,68,34.0,483,241.5,107,53.5,222,111.0,21,10.5,11,5.5,705,352.5,39,19.5,3,1.5,1,0.5,8,4.0,25,12.5,2,1.0,4,2.0,10,5.0,120,60.0,3269.0,1634.5,7,3.5,5,2.5,2,1.0,,,,,,,,,,,-36,-18.0,0.5238095238095238,0.32,0.5,4.514018691588785,10.571428571428571
6,400787260,2015,7,regular,Air Force,Mountain West,away,23,0,3,6.0,0.0,1.0,0,85.0,0.0,3.0,5.0,21.0,0.0,1.0,31:35,1,1,2,5-45,4.8,56,269,8.6,10-16,137,406,2-5,9-17,21,2015-10-17 19:30:00+00:00,True,Colorado State,Air Force,38,23,Colorado State,23,38,-15,0,10,16,0.625,9,17,0.5294117647058824,2,5,0.4,5,45,1895.0,,,,,,,,5,3,163,32.6,108,21.6,1604,320.8,297,59.4,445,89.0,49,9.8,23,4.6,2049,409.8,107,21.4,16,3.2,4,0.8,27,5.4,66,13.2,5,1.0,7,1.4,23,4.6,255,51.0,9063.0,1812.6,10,2.0,6,1.2,4,0.8,,,,,,,,,,,55,11.0,0.46938775510204084,0.4090909090909091,0.7142857142857143,5.4006734006734005,9.081632653061224,0.6,21.0,28.333333333333332,-7.333333333333333,260.6666666666667,100.66666666666667,361.3333333333333,,,,,3.0,32.6,21.6,11.0,320.8,89.0,409.8,,,,,2.0,0.3333333333333333,0.6,False,True,3,3,1.0,131,43.666666666666664,40,13.333333333333334,1121,373.6666666666667,190,63.333333333333336,223,74.33333333333333,28,9.333333333333334,12,4.0,1344,448.0,68,22.666666666666668,13,4.333333333333333,3,1.0,19,6.333333333333333,41,13.666666666666666,3,1.0,3,1.0,13,4.333333333333333,135,45.0,5794.0,1931.3333333333333,3,1.0,1,0.3333333333333333,2,0.6666666666666666,,,,,,,,,,,91,30.333333333333332,0.42857142857142855,0.4634146341463415,1.0,5.9,7.964285714285714,2,0,0.0,32,16.0,68,34.0,483,241.5,107,53.5,222,111.0,21,10.5,11,5.5,705,352.5,39,19.5,3,1.5,1,0.5,8,4.0,25,12.5,2,1.0,4,2.0,10,5.0,120,60.0,3269.0,1634.5,7,3.5,5,2.5,2,1.0,,,,,,,,,,,-36,-18.0,0.5238095238095238,0.32,0.5,4.514018691588785,10.571428571428571
7,400787266,2015,8,regular,Air Force,Mountain West,home,42,0,5,-3.0,0.0,2.0,1,,,,6.0,17.0,0.0,1.0,42:38,0,1,1,5-38,5.8,79,458,11.6,6-11,128,586,3-5,8-18,26,2015-10-24 18:00:00+00:00,True,Air Force,Fresno State,42,14,Fresno State,42,14,28,1,6,11,0.5454545454545454,8,18,0.4444444444444444,3,5,0.6,5,38,2558.0,,,,,,,,6,3,186,31.0,146,24.333333333333332,1873,312.1666666666667,353,58.833333333333336,582,97.0,65,10.833333333333334,33,5.5,2455,409.1666666666667,128,21.333333333333332,19,3.1666666666666665,4,0.6666666666666666,36,6.0,83,13.833333333333334,7,1.1666666666666667,12,2.0,28,4.666666666666667,300,50.0,10958.0,1826.3333333333333,12,2.0,7,1.1666666666666667,5,0.8333333333333334,,,,,,,,,,,40,6.666666666666667,0.5076923076923077,0.43373493975903615,0.5833333333333334,5.305949008498583,8.953846153846154,0.5,21.666666666666668,29.333333333333332,-7.666666666666667,257.3333333333333,96.66666666666667,354.0,,,,,2.6666666666666665,24.6,27.8,-3.2,295.8,92.6,388.4,,,,,2.4,0.3333333333333333,0.4,True,False,3,3,1.0,131,43.666666666666664,40,13.333333333333334,1121,373.6666666666667,190,63.333333333333336,223,74.33333333333333,28,9.333333333333334,12,4.0,1344,448.0,68,22.666666666666668,13,4.333333333333333,3,1.0,19,6.333333333333333,41,13.666666666666666,3,1.0,3,1.0,13,4.333333333333333,135,45.0,5794.0,1931.3333333333333,3,1.0,1,0.3333333333333333,2,0.6666666666666666,,,,,,,,,,,91,30.333333333333332,0.42857142857142855,0.4634146341463415,1.0,5.9,7.964285714285714,3,0,0.0,55,18.333333333333332,106,35.333333333333336,752,250.66666666666666,163,54.333333333333336,359,119.66666666666667,37,12.333333333333334,21,7.0,1111,370.3333333333333,60,20.0,6,2.0,1,0.3333333333333333,17,5.666666666666667,42,14.0,4,1.3333333333333333,9,3.0,15,5.0,165,55.0,5164.0,1721.3333333333333,9,3.0,6,2.0,3,1.0,,,,,,,,,,,-51,-17.0,0.5675675675675675,0.40476190476190477,0.4444444444444444,4.613496932515337,9.702702702702704
8,400787271,2015,9,regular,Air Force,Mountain West,away,58,2,7,-4.0,0.0,2.0,0,,,,16.0,22.0,0.0,2.0,45:06,0,0,0,3-26,6.0,82,492,8.9,3-9,80,572,2-2,9-18,31,2015-11-01 02:30:00+00:00,True,Hawai'i,Air Force,7,58,Hawai'i,58,7,51,1,3,9,0.3333333333333333,9,18,0.5,2,2,1.0,3,26,2706.0,,,,,,,,7,4,228,32.57142857142857,160,22.857142857142858,2331,333.0,432,61.714285714285715,710,101.42857142857143,76,10.857142857142858,39,5.571428571428571,3041,434.42857142857144,154,22.0,24,3.4285714285714284,5,0.7142857142857143,44,6.285714285714286,101,14.428571428571429,10,1.4285714285714286,17,2.4285714285714284,33,4.714285714285714,338,48.285714285714285,13516.0,1930.857142857143,13,1.8571428571428572,8,1.1428571428571428,5,0.7142857142857143,,,,,,,,,,,68,9.714285714285714,0.5131578947368421,0.43564356435643564,0.5882352941176471,5.395833333333333,9.342105263157896,0.5714285714285714,32.0,23.0,9.0,342.0,115.0,457.0,,,,,1.6666666666666667,25.6,27.4,-1.8,301.8,113.4,415.2,,,,,2.4,0.6666666666666666,0.4,False,True,4,4,1.0,173,43.25,54,13.5,1579,394.75,269,67.25,351,87.75,39,9.75,18,4.5,1930,482.5,94,23.5,18,4.5,4,1.0,27,6.75,59,14.75,6,1.5,8,2.0,18,4.5,173,43.25,8352.0,2088.0,4,1.0,2,0.5,2,0.5,,,,,,,,,,,119,29.75,0.46153846153846156,0.4576271186440678,0.75,5.869888475836431,9.0,3,0,0.0,55,18.333333333333332,106,35.333333333333336,752,250.66666666666666,163,54.333333333333336,359,119.66666666666667,37,12.333333333333334,21,7.0,1111,370.3333333333333,60,20.0,6,2.0,1,0.3333333333333333,17,5.666666666666667,42,14.0,4,1.3333333333333333,9,3.0,15,5.0,165,55.0,5164.0,1721.3333333333333,9,3.0,6,2.0,3,1.0,,,,,,,,,,,-51,-17.0,0.5675675675675675,0.40476190476190477,0.4444444444444444,4.613496932515337,9.702702702702704
9,400760497,2015,10,regular,Air Force,Mountain West,home,20,0,0,,,,2,,,,8.0,,,,30:08,0,0,0,2-20,4.2,47,196,15.6,7-10,156,352,0-0,7-15,14,2015-11-07 20:30:00+00:00,True,Air Force,Army,20,3,Army,20,3,17,1,7,10,0.7,7,15,0.4666666666666667,0,0,,2,20,1808.0,,,,,,,,8,5,286,35.75,167,20.875,2823,352.875,514,64.25,790,98.75,85,10.625,42,5.25,3613,451.625,185,23.125,31,3.875,5,0.625,53,6.625,119,14.875,12,1.5,19,2.375,36,4.5,364,45.5,16222.0,2027.75,13,1.625,8,1.0,5,0.625,,,,,,,,,,,119,14.875,0.49411764705882355,0.44537815126050423,0.631578947368421,5.492217898832685,9.294117647058824,0.625,41.0,19.666666666666668,21.333333333333332,406.3333333333333,115.0,521.3333333333334,,,,,1.0,33.0,21.8,11.2,344.4,99.6,444.0,,,,,1.8,0.6666666666666666,0.6,True,False,4,4,1.0,173,43.25,54,13.5,1579,394.75,269,67.25,351,87.75,39,9.75,18,4.5,1930,482.5,94,23.5,18,4.5,4,1.0,27,6.75,59,14.75,6,1.5,8,2.0,18,4.5,173,43.25,8352.0,2088.0,4,1.0,2,0.5,2,0.5,,,,,,,,,,,119,29.75,0.46153846153846156,0.4576271186440678,0.75,5.869888475836431,9.0,4,1,0.25,113,28.25,113,28.25,1244,311.0,245,61.25,439,109.75,46,11.5,24,6.0,1683,420.75,91,22.75,13,3.25,1,0.25,26,6.5,60,15.0,6,1.5,11,2.75,18,4.5,191,47.75,7870.0,1967.5,9,2.25,6,1.5,3,0.75,,,,,,,,,,,0,0.0,0.5217391304347826,0.43333333333333335,0.5454545454545454,5.077551020408163,9.543478260869565
