,gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,sacks,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,tacklesForLoss,defensiveTDs,tackles,qbHurries,passesDeflected,startDate,completed,homeTeam,awayTeam,homePoints,awayPoints,opponent,pointsFor,pointsAgainst,pointDifferential,win,completions,passAttempts,completionPct,thirdDownConversions,thirdDownAttempts,thirdDownPct,fourthDownConversions,fourthDownAttempts,fourthDownPct,penalties,penaltyYards,possessionSeconds,gamesBefore,winsBefore,pointsForBefore,pointsForAvgBefore,pointsAgainstBefore,pointsAgainstAvgBefore,rushingYardsBefore,rushingYardsAvgBefore,rushingAttemptsBefore,rushingAttemptsAvgBefore,netPassingYardsBefore,netPassingYardsAvgBefore,passAttemptsBefore,passAttemptsAvgBefore,completionsBefore,completionsAvgBefore,totalYardsBefore,totalYardsAvgBefore,firstDownsBefore,firstDownsAvgBefore,rushingTDsBefore,rushingTDsAvgBefore,passingTDsBefore,passingTDsAvgBefore,thirdDownConversionsBefore,thirdDownConversionsAvgBefore,thirdDownAttemptsBefore,thirdDownAttemptsAvgBefore,fourthDownConversionsBefore,fourthDownConversionsAvgBefore,fourthDownAttemptsBefore,fourthDownAttemptsAvgBefore,penaltiesBefore,penaltiesAvgBefore,penaltyYardsBefore,penaltyYardsAvgBefore,possessionSecondsBefore,possessionSecondsAvgBefore,turnoversBefore,turnoversAvgBefore,fumblesLostBefore,fumblesLostAvgBefore,interceptionsBefore,interceptionsAvgBefore,sacksBefore,sacksAvgBefore,qbHurriesBefore,qbHurriesAvgBefore,passesDeflectedBefore,passesDeflectedAvgBefore,tacklesForLossBefore,tacklesForLossAvgBefore,defensiveTDsBefore,defensiveTDsAvgBefore,pointDifferentialBefore,pointDifferentialAvgBefore,completionPctBefore,thirdDownPctBefore,fourthDownPctBefore,yardsPerRushAttemptBefore,yardsPerPassAttemptBefore,winPctBefore,pointsForAvgLast3,pointsAgainstAvgLast3,pointDifferentialAvgLast3,rushingYardsAvgLast3,netPassingYardsAvgLast3,totalYardsAvgLast3,sacksAvgLast3,qbHurriesAvgLast3,passesDeflectedAvgLast3,tacklesForLossAvgLast3,turnoversAvgLast3,pointsForAvgLast5,pointsAgainstAvgLast5,pointDifferentialAvgLast5,rushingYardsAvgLast5,netPassingYardsAvgLast5,totalYardsAvgLast5,sacksAvgLast5,qbHurriesAvgLast5,passesDeflectedAvgLast5,tacklesForLossAvgLast5,turnoversAvgLast5,winPctLast3,winPctLast5,isHome,isAway,homeGamesBefore,homeWinsBefore,homeWinPctBefore,homePointsForBefore,homePointsForAvgBefore,homePointsAgainstBefore,homePointsAgainstAvgBefore,homeRushingYardsBefore,homeRushingYardsAvgBefore,homeRushingAttemptsBefore,homeRushingAttemptsAvgBefore,homeNetPassingYardsBefore,homeNetPassingYardsAvgBefore,homePassAttemptsBefore,homePassAttemptsAvgBefore,homeCompletionsBefore,homeCompletionsAvgBefore,homeTotalYardsBefore,homeTotalYardsAvgBefore,homeFirstDownsBefore,homeFirstDownsAvgBefore,homeRushingTDsBefore,homeRushingTDsAvgBefore,homePassingTDsBefore,homePassingTDsAvgBefore,homeThirdDownConversionsBefore,homeThirdDownConversionsAvgBefore,homeThirdDownAttemptsBefore,homeThirdDownAttemptsAvgBefore,homeFourthDownConversionsBefore,homeFourthDownConversionsAvgBefore,homeFourthDownAttemptsBefore,homeFourthDownAttemptsAvgBefore,homePenaltiesBefore,homePenaltiesAvgBefore,homePenaltyYardsBefore,homePenaltyYardsAvgBefore,homePossessionSecondsBefore,homePossessionSecondsAvgBefore,homeTurnoversBefore,homeTurnoversAvgBefore,homeFumblesLostBefore,homeFumblesLostAvgBefore,homeInterceptionsBefore,homeInterceptionsAvgBefore,homeSacksBefore,homeSacksAvgBefore,homeQbHurriesBefore,homeQbHurriesAvgBefore,homePassesDeflectedBefore,homePassesDeflectedAvgBefore,homeTacklesForLossBefore,homeTacklesForLossAvgBefore,homeDefensiveTDsBefore,homeDefensiveTDsAvgBefore,homePointDifferentialBefore,homePointDifferentialAvgBefore,homeCompletionPctBefore,homeThirdDownPctBefore,homeFourthDownPctBefore,homeYardsPerRushAttemptBefore,homeYardsPerPassAttemptBefore,awayGamesBefore,awayWinsBefore,awayWinPctBefore,awayPointsForBefore,awayPointsForAvgBefore,awayPointsAgainstBefore,awayPointsAgainstAvgBefore,awayRushingYardsBefore,awayRushingYardsAvgBefore,awayRushingAttemptsBefore,awayRushingAttemptsAvgBefore,awayNetPassingYardsBefore,awayNetPassingYardsAvgBefore,awayPassAttemptsBefore,awayPassAttemptsAvgBefore,awayCompletionsBefore,awayCompletionsAvgBefore,awayTotalYardsBefore,awayTotalYardsAvgBefore,awayFirstDownsBefore,awayFirstDownsAvgBefore,awayRushingTDsBefore,awayRushingTDsAvgBefore,awayPassingTDsBefore,awayPassingTDsAvgBefore,awayThirdDownConversionsBefore,awayThirdDownConversionsAvgBefore,awayThirdDownAttemptsBefore,awayThirdDownAttemptsAvgBefore,awayFourthDownConversionsBefore,awayFourthDownConversionsAvgBefore,awayFourthDownAttemptsBefore,awayFourthDownAttemptsAvgBefore,awayPenaltiesBefore,awayPenaltiesAvgBefore,awayPenaltyYardsBefore,awayPenaltyYardsAvgBefore,awayPossessionSecondsBefore,awayPossessionSecondsAvgBefore,awayTurnoversBefore,awayTurnoversAvgBefore,awayFumblesLostBefore,awayFumblesLostAvgBefore,awayInterceptionsBefore,awayInterceptionsAvgBefore,awaySacksBefore,awaySacksAvgBefore,awayQbHurriesBefore,awayQbHurriesAvgBefore,awayPassesDeflectedBefore,awayPassesDeflectedAvgBefore,awayTacklesForLossBefore,awayTacklesForLossAvgBefore,awayDefensiveTDsBefore,awayDefensiveTDsAvgBefore,awayPointDifferentialBefore,awayPointDifferentialAvgBefore,awayCompletionPctBefore,awayThirdDownPctBefore,awayFourthDownPctBefore,awayYardsPerRushAttemptBefore,awayYardsPerPassAttemptBefore
0,401114241,2019,1,regular,Abilene Christian,Southland,away,31,3,,,,1,72.0,0.0,4.0,7.0,0.0,0.0,1.0,0,4.0,2.0,27:27,0,1,1,5-35,5.1,36,183,7.8,24-35,273,456,0-0,9-17,20,6.0,0,84,6,1,2019-08-31 23:30:00+00:00,True,North Texas,Abilene Christian,51,31,North Texas,31,51,-20,0,24,35,0.6857142857142857,9,17,0.5294117647058824,0,0,,5,35,1647,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,
1,401110860,2019,13,regular,Abilene Christian,Southland,away,7,0,,,,1,79.0,0.0,4.0,1.0,,,,0,,1.0,33:06,2,0,2,5-25,1.0,28,27,6.1,25-42,255,282,3-4,5-15,18,5.0,0,30,2,4,2019-11-24 00:30:00+00:00,True,Mississippi State,Abilene Christian,45,7,Mississippi State,7,45,-38,0,25,42,0.5952380952380952,5,15,0.3333333333333333,3,4,0.75,5,25,1986,1,0,31,31.0,51,51.0,183,183.0,36,36.0,273,273.0,35,35.0,24,24.0,456,456.0,20,20.0,3,3.0,1,1.0,9,9.0,17,17.0,0,0.0,0,0.0,5,5.0,35,35.0,1647,1647.0,1,1.0,1,1.0,0,0.0,2.0,2.0,6,6.0,1,1.0,6.0,6.0,0,0.0,-20,-20.0,0.6857142857142857,0.5294117647058824,,5.083333333333333,7.8,0.0,31.0,51.0,-20.0,183.0,273.0,456.0,2.0,6.0,1.0,6.0,1.0,31.0,51.0,-20.0,183.0,273.0,456.0,2.0,6.0,1.0,6.0,1.0,0.0,0.0,False,True,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,,1,0,0.0,31,31.0,51,51.0,183,183.0,36,36.0,273,273.0,35,35.0,24,24.0,456,456.0,20,20.0,3,3.0,1,1.0,9,9.0,17,17.0,0,0.0,0,0.0,5,5.0,35,35.0,1647,1647.0,1,1.0,1,1.0,0,0.0,2.0,2.0,6,6.0,1,1.0,6.0,6.0,0,0.0,-20,-20.0,0.6857142857142857,0.5294117647058824,,5.083333333333333,7.8
2,401117494,2019,1,regular,Air Force,Mountain West,home,48,7,0.0,0.0,1.0,0,,,,6.0,7.0,0.0,1.0,2,6.0,4.0,32:38,0,1,1,2-25,6.5,65,423,41.0,1-1,41,464,1-1,4-7,24,6.0,0,18,8,3,2019-08-31 19:30:00+00:00,True,Air Force,Colgate,48,7,Colgate,48,7,41,1,1,1,1.0,4,7,0.5714285714285714,1,1,1.0,2,25,1958,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,
3,401114185,2019,3,regular,Air Force,Mountain West,away,30,2,4.0,0.0,2.0,2,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0,6.0,4.0,34:04,1,2,3,4-30,5.5,52,284,12.9,7-12,155,439,1-1,7-12,22,4.0,0,86,3,4,2019-09-14 17:00:00+00:00,True,Colorado,Air Force,23,30,Colorado,30,23,7,1,7,12,0.5833333333333334,7,12,0.5833333333333334,1,1,1.0,4,30,2044,1,1,48,48.0,7,7.0,423,423.0,65,65.0,41,41.0,1,1.0,1,1.0,464,464.0,24,24.0,7,7.0,0,0.0,4,4.0,7,7.0,1,1.0,1,1.0,2,2.0,25,25.0,1958,1958.0,1,1.0,1,1.0,0,0.0,4.0,4.0,8,8.0,3,3.0,6.0,6.0,0,0.0,41,41.0,1.0,0.5714285714285714,1.0,6.507692307692308,41.0,1.0,48.0,7.0,41.0,423.0,41.0,464.0,4.0,8.0,3.0,6.0,1.0,48.0,7.0,41.0,423.0,41.0,464.0,4.0,8.0,3.0,6.0,1.0,1.0,1.0,False,True,1,1,1.0,48,48.0,7,7.0,423,423.0,65,65.0,41,41.0,1,1.0,1,1.0,464,464.0,24,24.0,7,7.0,0,0.0,4,4.0,7,7.0,1,1.0,1,1.0,2,2.0,25,25.0,1958,1958.0,1,1.0,1,1.0,0,0.0,4.0,4.0,8,8.0,3,3.0,6.0,6.0,0,0.0,41,41.0,1.0,0.5714285714285714,1.0,6.507692307692308,41.0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.0,,0,,0,,0.0,,0,,0,,,,,,
4,401117506,2019,4,regular,Air Force,Mountain West,away,19,1,,,,1,,,,7.0,,,,0,2.0,1.0,34:12,1,0,1,2-10,4.7,51,242,8.7,8-13,113,355,0-1,6-13,19,10.0,0,70,0,6,2019-09-21 01:00:00+00:00,True,Boise State,Air Force,30,19,Boise State,19,30,-11,0,8,13,0.6153846153846154,6,13,0.46153846153846156,0,1,0.0,2,10,2052,2,2,78,39.0,30,15.0,707,353.5,117,58.5,196,98.0,13,6.5,8,4.0,903,451.5,46,23.0,9,4.5,2,1.0,11,5.5,19,9.5,2,1.0,2,1.0,6,3.0,55,27.5,4002,2001.0,4,2.0,3,1.5,1,0.5,8.0,4.0,11,5.5,7,3.5,10.0,5.0,0,0.0,48,24.0,0.6153846153846154,0.5789473684210527,1.0,6.042735042735043,15.076923076923077,1.0,39.0,15.0,24.0,353.5,98.0,451.5,4.0,5.5,3.5,5.0,2.0,39.0,15.0,24.0,353.5,98.0,451.5,4.0,5.5,3.5,5.0,2.0,1.0,1.0,False,True,1,1,1.0,48,48.0,7,7.0,423,423.0,65,65.0,41,41.0,1,1.0,1,1.0,464,464.0,24,24.0,7,7.0,0,0.0,4,4.0,7,7.0,1,1.0,1,1.0,2,2.0,25,25.0,1958,1958.0,1,1.0,1,1.0,0,0.0,4.0,4.0,8,8.0,3,3.0,6.0,6.0,0,0.0,41,41.0,1.0,0.5714285714285714,1.0,6.507692307692308,41.0,1,1,1.0,30,30.0,23,23.0,284,284.0,52,52.0,155,155.0,12,12.0,7,7.0,439,439.0,22,22.0,2,2.0,2,2.0,7,7.0,12,12.0,1,1.0,1,1.0,4,4.0,30,30.0,2044,2044.0,3,3.0,2,2.0,1,1.0,4.0,4.0,3,3.0,4,4.0,4.0,4.0,0,0.0,7,7.0,0.5833333333333334,0.5833333333333334,1.0,5.461538461538462,12.916666666666666
5,401117512,2019,5,regular,Air Force,Mountain West,home,41,5,,,,1,11.0,0.0,2.0,5.0,,,,0,4.0,1.0,33:10,0,2,2,8-76,5.5,69,382,13.1,5-10,131,513,1-2,10-13,24,6.0,0,58,8,8,2019-09-28 00:00:00+00:00,True,Air Force,San José State,41,24,San José State,41,24,17,1,5,10,0.5,10,13,0.7692307692307693,1,2,0.5,8,76,1990,3,2,97,32.333333333333336,60,20.0,949,316.3333333333333,168,56.0,309,103.0,26,8.666666666666666,16,5.333333333333333,1258,419.3333333333333,65,21.666666666666668,10,3.3333333333333335,3,1.0,17,5.666666666666667,32,10.666666666666666,2,0.6666666666666666,3,1.0,8,2.6666666666666665,65,21.666666666666668,6054,2018.0,5,1.6666666666666667,3,1.0,2,0.6666666666666666,9.0,3.0,11,3.6666666666666665,13,4.333333333333333,20.0,6.666666666666667,0,0.0,37,12.333333333333334,0.6153846153846154,0.53125,0.6666666666666666,5.648809523809524,11.884615384615385,0.6666666666666666,32.333333333333336,20.0,12.333333333333334,316.3333333333333,103.0,419.3333333333333,3.0,3.6666666666666665,4.333333333333333,6.666666666666667,1.6666666666666667,32.333333333333336,20.0,12.333333333333334,316.3333333333333,103.0,419.3333333333333,3.0,3.6666666666666665,4.333333333333333,6.666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,True,False,1,1,1.0,48,48.0,7,7.0,423,423.0,65,65.0,41,41.0,1,1.0,1,1.0,464,464.0,24,24.0,7,7.0,0,0.0,4,4.0,7,7.0,1,1.0,1,1.0,2,2.0,25,25.0,1958,1958.0,1,1.0,1,1.0,0,0.0,4.0,4.0,8,8.0,3,3.0,6.0,6.0,0,0.0,41,41.0,1.0,0.5714285714285714,1.0,6.507692307692308,41.0,2,1,0.5,49,24.5,53,26.5,526,263.0,103,51.5,268,134.0,25,12.5,15,7.5,794,397.0,41,20.5,3,1.5,3,1.5,13,6.5,25,12.5,1,0.5,2,1.0,6,3.0,40,20.0,4096,2048.0,4,2.0,2,1.0,2,1.0,5.0,2.5,3,1.5,10,5.0,14.0,7.0,0,0.0,-4,-2.0,0.6,0.52,0.5,5.106796116504855,10.72
6,401117516,2019,6,regular,Air Force,Mountain West,away,25,2,0.0,0.0,1.0,0,18.0,0.0,2.0,13.0,,,,6,6.0,1.0,32:09,1,2,3,1-12,2.4,45,108,9.5,11-26,246,354,1-3,5-17,15,10.0,0,35,0,2,2019-10-05 19:30:00+00:00,True,Navy,Air Force,34,25,Navy,25,34,-9,0,11,26,0.4230769230769231,5,17,0.29411764705882354,1,3,0.3333333333333333,1,12,1929,4,3,138,34.5,84,21.0,1331,332.75,237,59.25,440,110.0,36,9.0,21,5.25,1771,442.75,89,22.25,15,3.75,4,1.0,27,6.75,45,11.25,3,0.75,5,1.25,16,4.0,141,35.25,8044,2011.0,7,1.75,5,1.25,2,0.5,10.0,2.5,19,4.75,21,5.25,26.0,6.5,0,0.0,54,13.5,0.5833333333333334,0.6,0.6,5.616033755274262,12.222222222222221,0.75,30.0,25.666666666666668,4.333333333333333,302.6666666666667,133.0,435.6666666666667,2.0,3.6666666666666665,6.0,6.666666666666667,2.0,34.5,21.0,13.5,332.75,110.0,442.75,2.5,4.75,5.25,6.5,1.75,0.6666666666666666,0.75,False,True,2,2,1.0,89,44.5,31,15.5,805,402.5,134,67.0,172,86.0,11,5.5,6,3.0,977,488.5,48,24.0,12,6.0,1,0.5,14,7.0,20,10.0,2,1.0,3,1.5,10,5.0,101,50.5,3948,1974.0,3,1.5,3,1.5,0,0.0,5.0,2.5,16,8.0,11,5.5,12.0,6.0,0,0.0,58,29.0,0.5454545454545454,0.7,0.6666666666666666,6.007462686567164,15.636363636363637,2,1,0.5,49,24.5,53,26.5,526,263.0,103,51.5,268,134.0,25,12.5,15,7.5,794,397.0,41,20.5,3,1.5,3,1.5,13,6.5,25,12.5,1,0.5,2,1.0,6,3.0,40,20.0,4096,2048.0,4,2.0,2,1.0,2,1.0,5.0,2.5,3,1.5,10,5.0,14.0,7.0,0,0.0,-4,-2.0,0.6,0.52,0.5,5.106796116504855,10.72
7,401117520,2019,7,regular,Air Force,Mountain West,home,43,4,,,,1,,,,5.0,24.0,1.0,1.0,0,,1.0,39:29,0,0,0,1-5,4.9,69,340,27.0,2-3,81,421,4-4,5-10,28,4.0,2,54,2,3,2019-10-12 23:00:00+00:00,True,Air Force,Fresno State,43,24,Fresno State,43,24,19,1,2,3,0.6666666666666666,5,10,0.5,4,4,1.0,1,5,2369,5,3,163,32.6,118,23.6,1439,287.8,282,56.4,686,137.2,62,12.4,32,6.4,2125,425.0,104,20.8,17,3.4,4,0.8,32,6.4,62,12.4,4,0.8,8,1.6,17,3.4,153,30.6,9973,1994.6,10,2.0,7,1.4,3,0.6,11.0,2.2,19,3.8,23,4.6,36.0,7.2,0,0.0,45,9.0,0.5161290322580645,0.5161290322580645,0.5,5.102836879432624,11.064516129032258,0.6,28.333333333333332,29.333333333333332,-1.0,244.0,163.33333333333334,407.3333333333333,1.0,2.6666666666666665,5.333333333333333,8.666666666666666,2.0,32.6,23.6,9.0,287.8,137.2,425.0,2.2,3.8,4.6,7.2,2.0,0.3333333333333333,0.6,True,False,2,2,1.0,89,44.5,31,15.5,805,402.5,134,67.0,172,86.0,11,5.5,6,3.0,977,488.5,48,24.0,12,6.0,1,0.5,14,7.0,20,10.0,2,1.0,3,1.5,10,5.0,101,50.5,3948,1974.0,3,1.5,3,1.5,0,0.0,5.0,2.5,16,8.0,11,5.5,12.0,6.0,0,0.0,58,29.0,0.5454545454545454,0.7,0.6666666666666666,6.007462686567164,15.636363636363637,3,1,0.3333333333333333,74,24.666666666666668,87,29.0,634,211.33333333333334,148,49.333333333333336,514,171.33333333333334,51,17.0,26,8.666666666666666,1148,382.6666666666667,56,18.666666666666668,5,1.6666666666666667,3,1.0,18,6.0,42,14.0,2,0.6666666666666666,5,1.6666666666666667,7,2.3333333333333335,52,17.333333333333332,6025,2008.3333333333333,7,2.3333333333333335,4,1.3333333333333333,3,1.0,6.0,2.0,3,1.0,12,4.0,24.0,8.0,0,0.0,-13,-4.333333333333333,0.5098039215686274,0.42857142857142855,0.4,4.283783783783784,10.07843137254902
8,401117525,2019,8,regular,Air Force,Mountain West,away,56,6,,,,1,1.0,0.0,3.0,8.0,92.0,1.0,1.0,2,4.0,4.0,29:52,0,0,0,6-55,6.9,51,353,24.1,6-7,169,522,1-1,6-10,22,12.0,2,52,1,10,2019-10-20 03:00:00+00:00,True,Hawai'i,Air Force,26,56,Hawai'i,56,26,30,1,6,7,0.8571428571428571,6,10,0.6,1,1,1.0,6,55,1792,6,4,206,34.333333333333336,142,23.666666666666668,1779,296.5,351,58.5,767,127.83333333333333,65,10.833333333333334,34,5.666666666666667,2546,424.3333333333333,132,22.0,21,3.5,5,0.8333333333333334,37,6.166666666666667,72,12.0,8,1.3333333333333333,12,2.0,18,3.0,158,26.333333333333332,12342,2057.0,10,1.6666666666666667,7,1.1666666666666667,3,0.5,12.0,2.0,21,3.5,26,4.333333333333333,40.0,6.666666666666667,2,0.3333333333333333,64,10.666666666666666,0.5230769230769231,0.5138888888888888,0.6666666666666666,5.068376068376068,11.8,0.6666666666666666,36.333333333333336,27.333333333333332,9.0,276.6666666666667,152.66666666666666,429.3333333333333,1.0,3.3333333333333335,4.333333333333333,6.666666666666667,1.6666666666666667,31.6,27.0,4.6,271.2,145.2,416.4,1.6,2.6,4.6,6.8,1.8,0.6666666666666666,0.6,False,True,3,3,1.0,132,44.0,55,18.333333333333332,1145,381.6666666666667,203,67.66666666666667,253,84.33333333333333,14,4.666666666666667,8,2.6666666666666665,1398,466.0,76,25.333333333333332,16,5.333333333333333,2,0.6666666666666666,19,6.333333333333333,30,10.0,6,2.0,7,2.3333333333333335,11,3.6666666666666665,106,35.333333333333336,6317,2105.6666666666665,3,1.0,3,1.0,0,0.0,6.0,2.0,18,6.0,14,4.666666666666667,16.0,5.333333333333333,2,0.6666666666666666,77,25.666666666666668,0.5714285714285714,0.6333333333333333,0.8571428571428571,5.640394088669951,18.071428571428573,3,1,0.3333333333333333,74,24.666666666666668,87,29.0,634,211.33333333333334,148,49.333333333333336,514,171.33333333333334,51,17.0,26,8.666666666666666,1148,382.6666666666667,56,18.666666666666668,5,1.6666666666666667,3,1.0,18,6.0,42,14.0,2,0.6666666666666666,5,1.6666666666666667,7,2.3333333333333335,52,17.333333333333332,6025,2008.3333333333333,7,2.3333333333333335,4,1.3333333333333333,3,1.0,6.0,2.0,3,1.0,12,4.0,24.0,8.0,0,0.0,-13,-4.333333333333333,0.5098039215686274,0.42857142857142855,0.4,4.283783783783784,10.07843137254902
9,401117530,2019,9,regular,Air Force,Mountain West,home,31,4,,,,0,21.0,0.0,1.0,7.0,,,,0,6.0,2.0,45:43,0,2,2,4-40,5.7,78,448,4.0,2-6,24,472,0-0,10-13,30,3.0,0,34,4,2,2019-10-27 02:15:00+00:00,True,Air Force,Utah State,31,7,Utah State,31,7,24,1,2,6,0.3333333333333333,10,13,0.7692307692307693,0,0,,4,40,2743,7,5,262,37.42857142857143,168,24.0,2132,304.57142857142856,402,57.42857142857143,936,133.71428571428572,72,10.285714285714286,40,5.714285714285714,3068,438.2857142857143,154,22.0,27,3.857142857142857,6,0.8571428571428571,43,6.142857142857143,82,11.714285714285714,9,1.2857142857142858,13,1.8571428571428572,24,3.4285714285714284,213,30.428571428571427,14134,2019.142857142857,10,1.4285714285714286,7,1.0,3,0.42857142857142855,16.0,2.2857142857142856,22,3.142857142857143,36,5.142857142857143,52.0,7.428571428571429,4,0.5714285714285714,94,13.428571428571429,0.5555555555555556,0.524390243902439,0.6923076923076923,5.303482587064677,13.0,0.7142857142857143,41.333333333333336,28.0,13.333333333333334,267.0,165.33333333333334,432.3333333333333,2.0,1.0,5.0,8.666666666666666,1.0,36.8,27.6,9.2,285.0,148.0,433.0,1.6,2.2,5.8,8.4,1.2,0.6666666666666666,0.6,True,False,3,3,1.0,132,44.0,55,18.333333333333332,1145,381.6666666666667,203,67.66666666666667,253,84.33333333333333,14,4.666666666666667,8,2.6666666666666665,1398,466.0,76,25.333333333333332,16,5.333333333333333,2,0.6666666666666666,19,6.333333333333333,30,10.0,6,2.0,7,2.3333333333333335,11,3.6666666666666665,106,35.333333333333336,6317,2105.6666666666665,3,1.0,3,1.0,0,0.0,6.0,2.0,18,6.0,14,4.666666666666667,16.0,5.333333333333333,2,0.6666666666666666,77,25.666666666666668,0.5714285714285714,0.6333333333333333,0.8571428571428571,5.640394088669951,18.071428571428573,4,2,0.5,130,32.5,113,28.25,987,246.75,199,49.75,683,170.75,58,14.5,32,8.0,1670,417.5,78,19.5,11,2.75,4,1.0,24,6.0,52,13.0,3,0.75,6,1.5,13,3.25,107,26.75,7817,1954.25,7,1.75,4,1.0,3,0.75,10.0,2.5,4,1.0,22,5.5,36.0,9.0,2,0.5,17,4.25,0.5517241379310345,0.46153846153846156,0.5,4.959798994974874,11.775862068965518
