id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,playoff
400603840,2015,1,regular,2015-09-03 22:00:00+00:00,False,True,True,False,51664.0,3628.0,Bank of America Stadium,2579,South Carolina,fbs,SEC,17.0,"[0, 10, 0, 7]",0.3224593250523977,1646.0,1646.0,153,North Carolina,fbs,ACC,13.0,"[7, 6, 0, 0]",0.6775406749476023,1477.0,1477.0,7.94978585869999,,,
400763593,2015,1,regular,2015-09-03 22:00:00+00:00,False,True,False,False,39184.0,3652.0,FBC Mortgage Stadium,2116,UCF,fbs,American Athletic,14.0,"[7, 7, 0, 0]",0.1013173132244145,1626.0,1609.0,2229,Florida International,fbs,Conference USA,15.0,"[3, 0, 6, 6]",0.8986826867755855,1321.0,1338.0,5.3903379073,,,
400787299,2015,1,regular,2015-09-03 23:00:00+00:00,False,True,False,False,10473.0,3919.0,Scheumann Stadium,2050,Ball State,fbs,Mid-American,48.0,"[3, 17, 14, 14]",0.5333798288849951,,,2678,VMI,fcs,Southern,36.0,"[0, 10, 7, 19]",0.4666201711150048,,,4.7380781049,,,
400756896,2015,1,regular,2015-09-03 23:00:00+00:00,False,True,False,False,27126.0,3630.0,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,41.0,"[3, 21, 14, 3]",0.9999861779726812,,,2210,Elon,fcs,CAA,3.0,"[0, 0, 3, 0]",1.3822027318810548e-05,,,2.0872957646,,,
400763399,2015,1,regular,2015-09-03 23:00:00+00:00,False,True,False,False,19717.0,3786.0,Kelly/Shorts Stadium,2117,Central Michigan,fbs,Mid-American,13.0,"[3, 3, 7, 0]",0.0862950197835786,1417.0,1407.0,197,Oklahoma State,fbs,Big 12,24.0,"[3, 7, 7, 7]",0.9137049802164212,1567.0,1577.0,3.1885406359,,,
400756895,2015,1,regular,2015-09-03 23:30:00+00:00,False,True,False,False,49196.0,721.0,Bobby Dodd Stadium,59,Georgia Tech,fbs,ACC,69.0,"[34, 14, 14, 7]",0.9999971059852482,,,2016,Alcorn State,fcs,SWAC,6.0,"[0, 0, 6, 0]",2.8940147518419224e-06,,,1.04662376849999,,,
400764854,2015,1,regular,2015-09-03 23:30:00+00:00,False,True,False,False,26113.0,3892.0,Pratt & Whitney Stadium,41,UConn,fbs,American Athletic,20.0,"[6, 0, 7, 7]",0.9751954499165596,,,222,Villanova,fcs,CAA,15.0,"[0, 9, 0, 6]",0.0248045500834402,,,6.3109494228,,,
400603839,2015,1,regular,2015-09-04 00:00:00+00:00,False,True,False,False,30307.0,3973.0,FirstBank Stadium,238,Vanderbilt,fbs,SEC,12.0,"[0, 3, 0, 9]",0.6903780159152395,1365.0,1371.0,98,Western Kentucky,fbs,Conference USA,14.0,"[0, 0, 7, 7]",0.3096219840847605,1521.0,1515.0,5.6575509609,,,
400756883,2015,1,regular,2015-09-04 00:30:00+00:00,False,True,False,False,47825.0,587.0,Rice-Eccles Stadium,254,Utah,fbs,Pac-12,24.0,"[3, 7, 7, 7]",0.9017524508885087,1603.0,1610.0,130,Michigan,fbs,Big Ten,17.0,"[0, 3, 7, 7]",0.0982475491114911,1553.0,1546.0,4.6176711164,,,
400787302,2015,1,regular,2015-09-04 01:00:00+00:00,False,True,False,False,11587.0,3791.0,Kibbie Dome,70,Idaho,fbs,Sun Belt,28.0,"[3, 10, 0, 15]",0.0059225952391814,1167.0,1142.0,195,Ohio,fbs,Mid-American,45.0,"[21, 7, 3, 14]",0.9940774047608186,1321.0,1346.0,4.9746849037,,,
400787110,2015,1,regular,2015-09-04 01:00:00+00:00,False,True,False,False,21209.0,3905.0,Maverik Stadium,328,Utah State,fbs,Mountain West,12.0,"[5, 0, 0, 7]",0.2917642802052785,,,253,Southern Utah,fcs,Big Sky,9.0,"[6, 3, 0, 0]",0.7082357197947214,,,8.8452949667,,,
400763398,2015,1,regular,2015-09-04 01:00:00+00:00,False,True,False,False,54147.0,3953.0,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,17.0,"[0, 3, 7, 7]",0.0783707041327461,1633.0,1645.0,2628,TCU,fbs,Big 12,23.0,"[10, 0, 10, 3]",0.9216292958672538,1963.0,1951.0,2.7537930284,,,
400756894,2015,1,regular,2015-09-04 01:30:00+00:00,False,True,False,False,25470.0,4729.0,Yulman Stadium,2655,Tulane,fbs,American Athletic,7.0,"[0, 0, 0, 7]",0.0055301126514453,1311.0,1259.0,150,Duke,fbs,ACC,37.0,"[3, 10, 3, 21]",0.9944698873485548,1572.0,1624.0,2.7582590138,,,
400787109,2015,1,regular,2015-09-04 02:00:00+00:00,False,True,False,False,15198.0,3935.0,CEFCU Stadium,23,San José State,fbs,Mountain West,43.0,"[20, 6, 10, 7]",0.9992858856570888,,,160,New Hampshire,fcs,CAA,13.0,"[0, 7, 0, 6]",0.0007141143429111,,,2.0077161215,,,
400787108,2015,1,regular,2015-09-04 02:00:00+00:00,False,True,False,False,21483.0,3816.0,Mackay Stadium,2440,Nevada,fbs,Mountain West,31.0,"[7, 14, 3, 7]",0.9974701755161006,,,302,UC Davis,fcs,Big Sky,17.0,"[0, 3, 0, 14]",0.0025298244838993,,,2.4004603686,,,
400799923,2015,1,regular,2015-09-04 02:00:00+00:00,False,True,False,False,32547.0,3660.0,Valley Children's Stadium,278,Fresno State,fbs,Mountain West,34.0,"[14, 7, 10, 3]",0.9879852752659196,,,2000,Abilene Christian,fcs,Southland,13.0,"[7, 0, 0, 6]",0.0120147247340802,,,3.63336776399999,,,
400756882,2015,1,regular,2015-09-04 02:00:00+00:00,False,True,False,False,51111.0,3619.0,Arizona Stadium,12,Arizona,fbs,Pac-12,42.0,"[14, 7, 14, 7]",0.1537195028473562,1649.0,1642.0,2636,UTSA,fbs,Conference USA,32.0,"[0, 20, 6, 6]",0.8462804971526438,1294.0,1301.0,1.45698808729999,,,
400787107,2015,1,regular,2015-09-04 05:00:00+00:00,False,True,False,False,24255.0,3610.0,Aloha Stadium,62,Hawai'i,fbs,Mountain West,28.0,"[8, 10, 7, 3]",0.78293813326226,1347.0,1360.0,38,Colorado,fbs,Pac-12,20.0,"[0, 14, 3, 3]",0.21706186673774,1357.0,1344.0,,,,
