feature,bootstrap_mean,bootstrap_std,bootstrap_median,ci_2_5_pct,ci_97_5_pct,positive_pct,negative_pct,ci_crosses_zero
winPctDiff,0.11583865302953476,0.05984510648258866,0.11618458787861316,-0.001953452453326847,0.23862224524358122,96.6,3.4000000000000004,True
pointDifferentialAvgDiff,0.17117029670892173,0.998789837533309,0.2974269468935993,-1.6977510680391719,2.210934398867415,66.4,33.6,True
pointsForAvgDiff,0.23354894888436126,0.6442379155892013,0.1555355219703528,-1.0798070849551646,1.44552894731415,75.4,24.6,True
pointsAgainstAvgDiff,0.4551572415055623,0.6013345629351654,0.3756196539446379,-0.7674882113026159,1.606665858708868,76.4,23.599999999999998,True
yardsPerPassAttemptDiff,0.05939988296959008,0.047451992563298115,0.059850885220035406,-0.03238883784202933,0.15194644106009966,89.4,10.6,True
yardsPerRushAttemptDiff,0.03801973690165444,0.04847475724928259,0.03811541441976245,-0.050511724432032085,0.13276133468709053,76.4,23.599999999999998,True
pointsForTrendDiff,0.034734844311170986,0.03393697047183129,0.03485969268622673,-0.027440487202795284,0.10098640274177839,84.8,15.2,True
pointsAgainstTrendDiff,0.027775606610368576,0.02820208368960256,0.027392059723337366,-0.025814010208067763,0.08137724023785513,85.2,14.799999999999999,True
pointDifferentialTrendDiff,0.041047033506593666,0.020666741553756113,0.04237825044376731,-0.0007020199868939501,0.07874932917145164,97.2,2.8000000000000003,True
totalYardsTrendDiff,0.023578080649716702,0.053278260079464665,0.023330751455706254,-0.0817295787906087,0.12821169740227414,65.4,34.599999999999994,True
netPassingYardsTrendDiff,-0.010248602129514431,0.03865053007977832,-0.007365209090153847,-0.08540032304135264,0.058911210336944464,40.2,59.8,True
winPctTrendDiff,0.024475762322691677,0.038698863413422484,0.024555944138254966,-0.04874318570474733,0.10123100306833667,73.4,26.6,True
priorSOSWinPctDiff,0.0053406811408974455,0.049176299773891,0.00679659107258975,-0.1005188369056001,0.10030280409284323,54.6,45.4,True
priorSOSPointDiffDiff,0.2533281298041664,0.050886098765242,0.2540681298891847,0.1498101751502168,0.3482657208026734,100.0,0.0,False
turnoversAvgDiff,-0.009752152583762101,0.036932934899036714,-0.009097753755111633,-0.07773989379683194,0.06364545946872538,40.2,59.8,True
thirdDownPctDiff,0.031590711134037705,0.04459523887397128,0.030597918492880932,-0.05029372145841101,0.12344907542315407,76.4,23.599999999999998,True
sacksAvgDiff,0.09177678424933988,0.036290682368996144,0.09317468572436993,0.021432900516852926,0.1635015445577699,98.8,1.2,False
completionPctDiff,0.1403632552440159,0.0426678022709562,0.14150739444163424,0.059143782382265454,0.2174652231446762,100.0,0.0,False
totalYardsAvgDiff,0.09436621170305157,0.07438259880056303,0.09604289729117288,-0.05891086298954256,0.24055385702937127,90.4,9.6,True
possessionSecondsAvgDiff,-0.017456129066198707,0.03386289708163866,-0.015941410195334398,-0.08652513442092667,0.045468758759057946,33.2,66.8,True
penaltyYardsAvgDiff,0.019776851745312653,0.030524713207731258,0.02011395751901493,-0.04110771839164819,0.07611806724466261,75.2,24.8,True
