feature,seasons,positive_pct,negative_pct,near_zero_pct,dominant_sign
winPctDiff,11,54.54545454545454,45.45454545454545,0.0,positive
pointDifferentialAvgDiff,11,90.0,10.0,9.090909090909092,positive
pointsForAvgDiff,11,72.72727272727273,27.27272727272727,0.0,positive
pointsAgainstAvgDiff,11,100.0,0.0,0.0,positive
yardsPerPassAttemptDiff,11,63.63636363636363,36.36363636363637,0.0,positive
yardsPerRushAttemptDiff,11,63.63636363636363,36.36363636363637,0.0,positive
pointsForTrendDiff,11,50.0,50.0,9.090909090909092,negative
pointsAgainstTrendDiff,11,50.0,50.0,9.090909090909092,negative
pointDifferentialTrendDiff,11,62.5,37.5,27.27272727272727,positive
totalYardsTrendDiff,11,36.36363636363637,63.63636363636363,0.0,negative
netPassingYardsTrendDiff,11,63.63636363636363,36.36363636363637,0.0,positive
winPctTrendDiff,11,55.55555555555556,44.44444444444444,18.181818181818183,positive
priorSOSWinPctDiff,11,50.0,50.0,9.090909090909092,negative
priorSOSPointDiffDiff,11,90.9090909090909,9.090909090909092,0.0,positive
turnoversAvgDiff,11,40.0,60.0,9.090909090909092,negative
thirdDownPctDiff,11,33.33333333333333,66.66666666666666,18.181818181818183,negative
sacksAvgDiff,11,100.0,0.0,18.181818181818183,positive
completionPctDiff,11,81.81818181818183,18.181818181818183,0.0,positive
totalYardsAvgDiff,11,72.72727272727273,27.27272727272727,0.0,positive
possessionSecondsAvgDiff,11,50.0,50.0,9.090909090909092,negative
penaltyYardsAvgDiff,11,70.0,30.0,9.090909090909092,positive
