feature,seasons,mean_coefficient,std_coefficient,min_coefficient,max_coefficient,positive_pct,negative_pct,near_zero_pct
winPctDiff,11,0.08191765367324277,0.2428388809086208,-0.17846624365254898,0.639216206766814,54.54545454545454,45.45454545454545,0.0
pointDifferentialAvgDiff,11,0.25791066225972953,0.31125721478330814,-0.2703960137278525,0.858644701490175,90.0,10.0,9.090909090909092
pointsForAvgDiff,11,0.1767073555242834,0.23699020198866286,-0.087425904793839,0.6527891939104472,72.72727272727273,27.27272727272727,0.0
pointsAgainstAvgDiff,11,0.38961040499545213,0.2208611970548552,0.1381017527584386,0.9039759402526165,100.0,0.0,0.0
yardsPerPassAttemptDiff,11,0.07154974044061832,0.16788437512996593,-0.14742278398309036,0.37940280363773415,63.63636363636363,36.36363636363637,0.0
yardsPerRushAttemptDiff,11,0.02372652744567828,0.14791762886436907,-0.20701868385994554,0.23199763642321866,63.63636363636363,36.36363636363637,0.0
pointsForTrendDiff,11,0.016199431601937195,0.15128197141443844,-0.23013975332160277,0.24048408742075927,50.0,50.0,9.090909090909092
pointsAgainstTrendDiff,11,0.014053225671695575,0.0918002027188688,-0.13499908787261783,0.1963968760676588,50.0,50.0,9.090909090909092
pointDifferentialTrendDiff,11,0.02157247142785453,0.07586777876112175,-0.11920842253234609,0.15354619973801048,62.5,37.5,27.27272727272727
totalYardsTrendDiff,11,-0.023550935436697316,0.24704191839281817,-0.3110610736657925,0.2942207497007514,36.36363636363637,63.63636363636363,0.0
netPassingYardsTrendDiff,11,0.037125678187634466,0.14879630841315974,-0.2190699008273033,0.3123114079755093,63.63636363636363,36.36363636363637,0.0
winPctTrendDiff,11,0.07269712043008467,0.11433857347610293,-0.031035386348837277,0.3201480434312249,55.55555555555556,44.44444444444444,18.181818181818183
priorSOSWinPctDiff,11,-0.014500353334776143,0.14141161562173518,-0.27892940897115076,0.19738590862671548,50.0,50.0,9.090909090909092
priorSOSPointDiffDiff,11,0.25350361220287954,0.14933138173371474,-0.03367505841236611,0.49494261330168426,90.9090909090909,9.090909090909092,0.0
turnoversAvgDiff,11,0.021320309357220166,0.1615303818955555,-0.15547730385699396,0.3658045332536874,40.0,60.0,9.090909090909092
thirdDownPctDiff,11,-0.011735212168723636,0.09349801180370529,-0.10350491606414054,0.21198857624883902,33.33333333333333,66.66666666666666,18.181818181818183
sacksAvgDiff,11,0.12587061333391897,0.08489066124428168,0.0,0.24065658845929006,100.0,0.0,18.181818181818183
completionPctDiff,11,0.0998033052298206,0.11975845326834149,-0.16546456108462465,0.25908741887932024,81.81818181818183,18.181818181818183,0.0
totalYardsAvgDiff,11,0.19198284998485027,0.28607315939708583,-0.2158018846985607,0.6425821128925729,72.72727272727273,27.27272727272727,0.0
possessionSecondsAvgDiff,11,-0.0026521757523920316,0.12578039607915958,-0.23292248561557516,0.23172992086609315,50.0,50.0,9.090909090909092
penaltyYardsAvgDiff,11,0.060790702728932805,0.11544152671727574,-0.09283624365222241,0.32803360081077026,70.0,30.0,9.090909090909092
