feature_1,feature_2,correlation,absolute_correlation
pointsForAvgDiff,totalYardsAvgDiff,0.8389145664756975,0.8389145664756975
pointDifferentialAvgDiff,pointsForAvgDiff,0.8289908328141601,0.8289908328141601
winPctDiff,pointDifferentialAvgDiff,0.814728647134339,0.814728647134339
priorSOSWinPctDiff,priorSOSPointDiffDiff,0.7979110733264217,0.7979110733264217
pointDifferentialAvgDiff,pointsAgainstAvgDiff,0.7931558652631937,0.7931558652631937
pointsForTrendDiff,pointDifferentialTrendDiff,0.7644093624271648,0.7644093624271648
pointsAgainstTrendDiff,pointDifferentialTrendDiff,0.75781017180068,0.75781017180068
pointsForTrendDiff,totalYardsTrendDiff,0.7529680971834617,0.7529680971834617
pointDifferentialTrendDiff,winPctTrendDiff,0.7348499827398093,0.7348499827398093
totalYardsTrendDiff,netPassingYardsTrendDiff,0.6715650802616482,0.6715650802616482
winPctDiff,pointsAgainstAvgDiff,0.6642113161874161,0.6642113161874161
pointDifferentialAvgDiff,totalYardsAvgDiff,0.6611144601837894,0.6611144601837894
winPctDiff,pointsForAvgDiff,0.658869027623208,0.658869027623208
yardsPerPassAttemptDiff,totalYardsAvgDiff,0.6417887690428344,0.6417887690428344
pointsForAvgDiff,yardsPerPassAttemptDiff,0.638414035228083,0.638414035228083
yardsPerRushAttemptDiff,totalYardsAvgDiff,0.6157125696958433,0.6157125696958433
thirdDownPctDiff,totalYardsAvgDiff,0.6011183340743153,0.6011183340743153
pointsForAvgDiff,yardsPerRushAttemptDiff,0.5964714912366784,0.5964714912366784
pointsForAvgDiff,thirdDownPctDiff,0.5877926916953701,0.5877926916953701
pointsAgainstTrendDiff,winPctTrendDiff,0.5740784651511999,0.5740784651511999
pointDifferentialAvgDiff,yardsPerPassAttemptDiff,0.5615852986963336,0.5615852986963336
pointDifferentialTrendDiff,totalYardsTrendDiff,0.561466492967333,0.561466492967333
pointDifferentialAvgDiff,thirdDownPctDiff,0.5454802834413953,0.5454802834413953
pointsForTrendDiff,winPctTrendDiff,0.5447286909628944,0.5447286909628944
pointDifferentialAvgDiff,yardsPerRushAttemptDiff,0.5397709202556084,0.5397709202556084
winPctDiff,totalYardsAvgDiff,0.5223287667819552,0.5223287667819552
yardsPerPassAttemptDiff,completionPctDiff,0.516662429450954,0.516662429450954
completionPctDiff,totalYardsAvgDiff,0.5000512909388307,0.5000512909388307
pointsForAvgDiff,completionPctDiff,0.4894249690027755,0.4894249690027755
winPctDiff,yardsPerPassAttemptDiff,0.4750179098032903,0.4750179098032903
winPctDiff,thirdDownPctDiff,0.4569149852457624,0.4569149852457624
pointDifferentialAvgDiff,completionPctDiff,0.45317433695603876,0.45317433695603876
yardsPerPassAttemptDiff,thirdDownPctDiff,0.4531612957679749,0.4531612957679749
thirdDownPctDiff,completionPctDiff,0.4225325385603998,0.4225325385603998
pointsForTrendDiff,netPassingYardsTrendDiff,0.4218228411951067,0.4218228411951067
winPctDiff,yardsPerRushAttemptDiff,0.42078370729663983,0.42078370729663983
winPctDiff,completionPctDiff,0.40427783929785,0.40427783929785
yardsPerRushAttemptDiff,thirdDownPctDiff,0.39745002719768174,0.39745002719768174
totalYardsTrendDiff,winPctTrendDiff,0.372005145581569,0.372005145581569
winPctDiff,sacksAvgDiff,0.3426285387270281,0.3426285387270281
pointDifferentialAvgDiff,turnoversAvgDiff,0.3426167744076177,0.3426167744076177
winPctDiff,turnoversAvgDiff,0.33859578973905374,0.33859578973905374
pointDifferentialAvgDiff,sacksAvgDiff,0.3306591024753524,0.3306591024753524
pointsForAvgDiff,pointsAgainstAvgDiff,0.31691780995367924,0.31691780995367924
yardsPerPassAttemptDiff,yardsPerRushAttemptDiff,0.30884628268889924,0.30884628268889924
pointsAgainstAvgDiff,sacksAvgDiff,0.29118448069690395,0.29118448069690395
pointsForAvgDiff,turnoversAvgDiff,0.28541861263755824,0.28541861263755824
pointsAgainstAvgDiff,thirdDownPctDiff,0.28503484753432234,0.28503484753432234
thirdDownPctDiff,possessionSecondsAvgDiff,0.27927938946486325,0.27927938946486325
pointsAgainstAvgDiff,turnoversAvgDiff,0.2702262956627536,0.2702262956627536
pointsAgainstAvgDiff,yardsPerRushAttemptDiff,0.2658506553690054,0.2658506553690054
pointsAgainstAvgDiff,yardsPerPassAttemptDiff,0.25717130009762634,0.25717130009762634
pointsForAvgDiff,sacksAvgDiff,0.24844204467232564,0.24844204467232564
winPctDiff,possessionSecondsAvgDiff,0.24635342423666717,0.24635342423666717
pointsAgainstAvgDiff,possessionSecondsAvgDiff,0.24632458701952392,0.24632458701952392
pointsAgainstAvgDiff,completionPctDiff,0.23556306225509918,0.23556306225509918
pointDifferentialAvgDiff,possessionSecondsAvgDiff,0.22308431564433095,0.22308431564433095
pointDifferentialTrendDiff,netPassingYardsTrendDiff,0.21362607064129777,0.21362607064129777
pointsAgainstAvgDiff,totalYardsAvgDiff,0.20762294071044177,0.20762294071044177
yardsPerPassAttemptDiff,turnoversAvgDiff,0.2009813654690155,0.2009813654690155
turnoversAvgDiff,completionPctDiff,0.19151856182826596,0.19151856182826596
yardsPerRushAttemptDiff,turnoversAvgDiff,0.1894438292941025,0.1894438292941025
sacksAvgDiff,totalYardsAvgDiff,0.18003815352691682,0.18003815352691682
totalYardsAvgDiff,possessionSecondsAvgDiff,0.16865920716449487,0.16865920716449487
totalYardsAvgDiff,penaltyYardsAvgDiff,-0.16744602610355852,0.16744602610355852
pointsForTrendDiff,pointsAgainstTrendDiff,0.15860613907290444,0.15860613907290444
completionPctDiff,possessionSecondsAvgDiff,0.15669834726690426,0.15669834726690426
turnoversAvgDiff,thirdDownPctDiff,0.14648375763851398,0.14648375763851398
yardsPerRushAttemptDiff,sacksAvgDiff,0.13997860645268526,0.13997860645268526
turnoversAvgDiff,totalYardsAvgDiff,0.13177038599852536,0.13177038599852536
yardsPerRushAttemptDiff,completionPctDiff,0.12270364954332583,0.12270364954332583
pointsForAvgDiff,possessionSecondsAvgDiff,0.12114795540368993,0.12114795540368993
yardsPerPassAttemptDiff,sacksAvgDiff,0.11937120623186184,0.11937120623186184
sacksAvgDiff,completionPctDiff,0.11436261109420966,0.11436261109420966
turnoversAvgDiff,possessionSecondsAvgDiff,0.11373875445313596,0.11373875445313596
yardsPerPassAttemptDiff,possessionSecondsAvgDiff,0.10353852128447909,0.10353852128447909
pointDifferentialAvgDiff,priorSOSPointDiffDiff,-0.10238734839511236,0.10238734839511236
thirdDownPctDiff,sacksAvgDiff,0.10213557720801625,0.10213557720801625
pointsAgainstTrendDiff,netPassingYardsTrendDiff,-0.09988359802181668,0.09988359802181668
yardsPerRushAttemptDiff,priorSOSPointDiffDiff,-0.09771038121048825,0.09771038121048825
pointsAgainstTrendDiff,totalYardsTrendDiff,0.09757341743733824,0.09757341743733824
turnoversAvgDiff,sacksAvgDiff,0.09398166468235858,0.09398166468235858
pointsForAvgDiff,priorSOSPointDiffDiff,-0.08696349025341932,0.08696349025341932
pointsForAvgDiff,penaltyYardsAvgDiff,-0.08645021844786334,0.08645021844786334
winPctDiff,winPctTrendDiff,0.08287818050320694,0.08287818050320694
winPctDiff,priorSOSPointDiffDiff,-0.08205535164048472,0.08205535164048472
yardsPerRushAttemptDiff,priorSOSWinPctDiff,-0.08201179512691716,0.08201179512691716
pointsAgainstAvgDiff,priorSOSPointDiffDiff,-0.07705281443151932,0.07705281443151932
pointDifferentialAvgDiff,priorSOSWinPctDiff,-0.07071696973887157,0.07071696973887157
yardsPerRushAttemptDiff,penaltyYardsAvgDiff,-0.07014741364103212,0.07014741364103212
netPassingYardsTrendDiff,winPctTrendDiff,0.06930945977289409,0.06930945977289409
completionPctDiff,penaltyYardsAvgDiff,-0.06829670145561668,0.06829670145561668
pointsForAvgDiff,priorSOSWinPctDiff,-0.06515977245728168,0.06515977245728168
pointDifferentialAvgDiff,winPctTrendDiff,0.06514423886630441,0.06514423886630441
priorSOSWinPctDiff,thirdDownPctDiff,-0.06206805927149999,0.06206805927149999
priorSOSPointDiffDiff,thirdDownPctDiff,-0.062060411636741024,0.062060411636741024
sacksAvgDiff,possessionSecondsAvgDiff,0.061729345625273865,0.061729345625273865
winPctDiff,priorSOSWinPctDiff,-0.0611818992697125,0.0611818992697125
yardsPerPassAttemptDiff,priorSOSPointDiffDiff,-0.056233380740037836,0.056233380740037836
pointsForAvgDiff,winPctTrendDiff,0.05598733403471675,0.05598733403471675
priorSOSPointDiffDiff,totalYardsAvgDiff,-0.05587692540560703,0.05587692540560703
pointsAgainstAvgDiff,penaltyYardsAvgDiff,0.05573639703860312,0.05573639703860312
winPctTrendDiff,completionPctDiff,0.05509790325808463,0.05509790325808463
sacksAvgDiff,penaltyYardsAvgDiff,-0.05167266175619809,0.05167266175619809
winPctTrendDiff,sacksAvgDiff,0.05029710894534516,0.05029710894534516
pointsAgainstAvgDiff,winPctTrendDiff,0.0495097223808697,0.0495097223808697
priorSOSWinPctDiff,totalYardsAvgDiff,-0.04876087276948492,0.04876087276948492
yardsPerRushAttemptDiff,possessionSecondsAvgDiff,0.04864640813982918,0.04864640813982918
possessionSecondsAvgDiff,penaltyYardsAvgDiff,0.048342828085862294,0.048342828085862294
yardsPerRushAttemptDiff,winPctTrendDiff,0.048210722528270744,0.048210722528270744
pointsAgainstAvgDiff,priorSOSWinPctDiff,-0.047647481436183185,0.047647481436183185
winPctTrendDiff,turnoversAvgDiff,0.04546056191605679,0.04546056191605679
winPctTrendDiff,totalYardsAvgDiff,0.04463174066349745,0.04463174066349745
yardsPerPassAttemptDiff,priorSOSWinPctDiff,-0.04053962259729853,0.04053962259729853
yardsPerPassAttemptDiff,winPctTrendDiff,0.038661631228197865,0.038661631228197865
netPassingYardsTrendDiff,turnoversAvgDiff,0.03805888381148576,0.03805888381148576
winPctTrendDiff,thirdDownPctDiff,0.037188299931032974,0.037188299931032974
winPctTrendDiff,priorSOSWinPctDiff,-0.03568481652962792,0.03568481652962792
turnoversAvgDiff,penaltyYardsAvgDiff,0.035519876373643795,0.035519876373643795
yardsPerPassAttemptDiff,penaltyYardsAvgDiff,-0.0338470049944038,0.0338470049944038
pointDifferentialTrendDiff,priorSOSWinPctDiff,-0.03323733863261345,0.03323733863261345
winPctTrendDiff,possessionSecondsAvgDiff,0.03155012773126284,0.03155012773126284
priorSOSPointDiffDiff,completionPctDiff,-0.03086937684023649,0.03086937684023649
totalYardsTrendDiff,turnoversAvgDiff,0.02679669186942692,0.02679669186942692
netPassingYardsTrendDiff,penaltyYardsAvgDiff,0.026777800695098414,0.026777800695098414
priorSOSPointDiffDiff,possessionSecondsAvgDiff,-0.026602816197993658,0.026602816197993658
pointsForTrendDiff,priorSOSWinPctDiff,-0.026075008920545973,0.026075008920545973
pointDifferentialTrendDiff,completionPctDiff,0.025763900978177927,0.025763900978177927
priorSOSWinPctDiff,possessionSecondsAvgDiff,-0.024929355332113174,0.024929355332113174
pointsAgainstTrendDiff,possessionSecondsAvgDiff,0.024614881603305924,0.024614881603305924
pointsAgainstTrendDiff,priorSOSWinPctDiff,-0.02450139844312489,0.02450139844312489
pointDifferentialTrendDiff,priorSOSPointDiffDiff,-0.02442991106066892,0.02442991106066892
netPassingYardsTrendDiff,totalYardsAvgDiff,-0.023784369355854235,0.023784369355854235
pointsForTrendDiff,penaltyYardsAvgDiff,0.023691942006853057,0.023691942006853057
priorSOSPointDiffDiff,sacksAvgDiff,0.023612204856802866,0.023612204856802866
totalYardsTrendDiff,penaltyYardsAvgDiff,0.023215719720398008,0.023215719720398008
pointsForTrendDiff,completionPctDiff,0.02269564891822282,0.02269564891822282
pointDifferentialAvgDiff,penaltyYardsAvgDiff,-0.022646806290374764,0.022646806290374764
pointsAgainstTrendDiff,priorSOSPointDiffDiff,-0.02237255727399968,0.02237255727399968
pointDifferentialTrendDiff,turnoversAvgDiff,0.022336192721331187,0.022336192721331187
pointDifferentialTrendDiff,possessionSecondsAvgDiff,0.02174946022669116,0.02174946022669116
winPctDiff,penaltyYardsAvgDiff,-0.02172590182348597,0.02172590182348597
winPctTrendDiff,priorSOSPointDiffDiff,-0.021043574549757735,0.021043574549757735
netPassingYardsTrendDiff,priorSOSWinPctDiff,-0.020278825642587314,0.020278825642587314
pointsAgainstAvgDiff,pointsAgainstTrendDiff,0.020223829787854572,0.020223829787854572
pointsAgainstTrendDiff,sacksAvgDiff,0.01874649741708129,0.01874649741708129
totalYardsTrendDiff,priorSOSWinPctDiff,-0.01861505091051434,0.01861505091051434
winPctDiff,pointDifferentialTrendDiff,0.01832509920460064,0.01832509920460064
yardsPerRushAttemptDiff,netPassingYardsTrendDiff,-0.01819028060978679,0.01819028060978679
pointsForTrendDiff,turnoversAvgDiff,0.017911809173720313,0.017911809173720313
winPctDiff,pointsAgainstTrendDiff,0.01776892646037773,0.01776892646037773
