model,season,rows,auc,log_loss,brier_score,accuracy,home_win_rate,mean_predicted_home_win_prob
Model 4,2015,829,0.7747320136384821,0.5590477665135847,0.1863217383851612,0.7370325693606755,0.6127864897466827,0.6242489789443398
Model 4,2016,831,0.7536485263301468,0.579814631794374,0.19451559124442014,0.7087845968712395,0.628158844765343,0.6216157866340042
Model 4,2017,834,0.7670049127665131,0.5637686186968568,0.18848130076406386,0.7254196642685852,0.6151079136690647,0.6237433322440289
Model 4,2018,845,0.7618547400796774,0.5609303516070875,0.18722782431634924,0.727810650887574,0.6366863905325444,0.626723213641275
Model 4,2019,848,0.7668334891565383,0.5444636212418233,0.18061750448019837,0.7523584905660378,0.6497641509433962,0.6191042846028766
Model 4,2020,542,0.7493006452338444,0.5830733752290097,0.197175533344727,0.7011070110701108,0.5885608856088561,0.6330749354579198
Model 4,2021,849,0.7145538439779838,0.5968206233470621,0.20326708520833356,0.6996466431095406,0.6207302709069493,0.623658504317881
Model 4,2022,854,0.7214201462609104,0.5917227410221327,0.20089949111738312,0.7049180327868853,0.6323185011709602,0.6281805050613589
Model 4,2023,868,0.7625271583762151,0.5577369870614337,0.18695135253406286,0.7442396313364056,0.6336405529953917,0.6226937072344468
Model 4,2024,873,0.7158261936686134,0.5942315158607603,0.20229795599429898,0.693012600229095,0.6380297823596792,0.6298874304760187
Model 4,2025,888,0.7337211557106846,0.57592814445897,0.1966442573411896,0.6993243243243243,0.6452702702702703,0.6221990238470914
