period,seasons,feature,mean_coefficient,std_coefficient
early,"2015,2016,2017",winPctDiff,0.15245721613078322,0.4216058290690057
early,"2015,2016,2017",pointDifferentialAvgDiff,-0.03720736631683321,0.20788798393139835
early,"2015,2016,2017",pointsForAvgDiff,0.2849240057536057,0.37012792739624445
early,"2015,2016,2017",pointsAgainstAvgDiff,0.6083918241019818,0.25730286859802826
early,"2015,2016,2017",yardsPerPassAttemptDiff,0.02782884239013922,0.14899090929783348
early,"2015,2016,2017",yardsPerRushAttemptDiff,0.10962822091228504,0.09837915643313982
early,"2015,2016,2017",pointsForTrendDiff,0.05153437536340231,0.12621336032301272
early,"2015,2016,2017",pointsAgainstTrendDiff,-0.010088708492065697,0.11577474783974599
early,"2015,2016,2017",pointDifferentialTrendDiff,0.029844756502359154,0.04468618735249598
early,"2015,2016,2017",totalYardsTrendDiff,0.1399819317923462,0.21840121272162716
early,"2015,2016,2017",netPassingYardsTrendDiff,-0.060840723567948396,0.16599022372172137
early,"2015,2016,2017",winPctTrendDiff,0.061035699679205795,0.08061189934761408
early,"2015,2016,2017",priorSOSWinPctDiff,0.05754938785100842,0.12178174749658174
early,"2015,2016,2017",priorSOSPointDiffDiff,0.2724487311176525,0.14335711799577655
early,"2015,2016,2017",turnoversAvgDiff,-0.036326362856312695,0.0805957036659848
early,"2015,2016,2017",thirdDownPctDiff,-0.03244336852243847,0.03309112577092328
early,"2015,2016,2017",sacksAvgDiff,0.10430013363462907,0.09107656426838852
early,"2015,2016,2017",completionPctDiff,0.11953889423488628,0.07765069917595525
early,"2015,2016,2017",totalYardsAvgDiff,0.2202646501559992,0.3132698696845884
early,"2015,2016,2017",possessionSecondsAvgDiff,0.06655508379488699,0.152358065372782
early,"2015,2016,2017",penaltyYardsAvgDiff,0.01640364567983281,0.02715713166427227
middle,"2018,2019,2020",winPctDiff,0.031855243643140095,0.18246121856108966
middle,"2018,2019,2020",pointDifferentialAvgDiff,0.4932245071073207,0.3165204233453355
middle,"2018,2019,2020",pointsForAvgDiff,0.13914241802614524,0.20489734809574403
middle,"2018,2019,2020",pointsAgainstAvgDiff,0.35692684759938603,0.14703308113624636
middle,"2018,2019,2020",yardsPerPassAttemptDiff,0.23095723219903683,0.14418768721162423
middle,"2018,2019,2020",yardsPerRushAttemptDiff,0.043670937511593365,0.20391461533184937
middle,"2018,2019,2020",pointsForTrendDiff,-0.06704792354585055,0.14210910078557198
middle,"2018,2019,2020",pointsAgainstTrendDiff,0.07036527630514926,0.11790533188668384
middle,"2018,2019,2020",pointDifferentialTrendDiff,0.0022484276787912718,0.030843455383484385
middle,"2018,2019,2020",totalYardsTrendDiff,-0.02377681025626388,0.26568637827434033
middle,"2018,2019,2020",netPassingYardsTrendDiff,0.020707067973853934,0.09336127387790868
middle,"2018,2019,2020",winPctTrendDiff,0.03933436361711795,0.105128100392289
middle,"2018,2019,2020",priorSOSWinPctDiff,-0.1073501767564633,0.19673689228101293
middle,"2018,2019,2020",priorSOSPointDiffDiff,0.37108932343314965,0.11440110738271801
middle,"2018,2019,2020",turnoversAvgDiff,0.052159644867296046,0.2763366622055867
middle,"2018,2019,2020",thirdDownPctDiff,0.09080363083754282,0.10945644575607953
middle,"2018,2019,2020",sacksAvgDiff,0.06020811498213576,0.055358764993087936
middle,"2018,2019,2020",completionPctDiff,0.14614598037340795,0.054819535402221495
middle,"2018,2019,2020",totalYardsAvgDiff,-0.08481372651774481,0.17820152874561562
middle,"2018,2019,2020",possessionSecondsAvgDiff,-0.08269894562694784,0.1392234160990687
middle,"2018,2019,2020",penaltyYardsAvgDiff,-0.004826717950029845,0.09809247636437675
late,"2021,2022,2023,2024,2025",winPctDiff,0.06963136221678012,0.19001255810080986
late,"2021,2022,2023,2024,2025",pointDifferentialAvgDiff,0.2937931724971127,0.24908121728804733
late,"2021,2022,2023,2024,2025",pointsForAvgDiff,0.13431632788557293,0.19706435923705418
late,"2021,2022,2023,2024,2025",pointsAgainstAvgDiff,0.27795168796917386,0.1604764617630046
late,"2021,2022,2023,2024,2025",yardsPerPassAttemptDiff,0.0021377842158546876,0.14984823934086772
late,"2021,2022,2023,2024,2025",yardsPerRushAttemptDiff,-0.03978113467383483,0.13488906063535305
late,"2021,2022,2023,2024,2025",pointsForTrendDiff,0.04494687843373078,0.17884673004017385
late,"2021,2022,2023,2024,2025",pointsAgainstTrendDiff,-0.005248844210119869,0.06429884046227789
late,"2021,2022,2023,2024,2025",pointDifferentialTrendDiff,0.028203526632589702,0.1119346325027742
late,"2021,2022,2023,2024,2025",totalYardsTrendDiff,-0.12153513088238348,0.24773309728312515
late,"2021,2022,2023,2024,2025",netPassingYardsTrendDiff,0.10575668536925246,0.15468776185802002
late,"2021,2022,2023,2024,2025",winPctTrendDiff,0.099711626968392,0.14852322847171748
late,"2021,2022,2023,2024,2025",priorSOSWinPctDiff,-0.0020203039932345846,0.11256612480127183
late,"2021,2022,2023,2024,2025",priorSOSPointDiffDiff,0.17158511411585367,0.14107773540788568
late,"2021,2022,2023,2024,2025",turnoversAvgDiff,0.03740471137929435,0.14238087640070332
late,"2021,2022,2023,2024,2025",thirdDownPctDiff,-0.06083362416025462,0.06400178390760936
late,"2021,2022,2023,2024,2025",sacksAvgDiff,0.17821040016456283,0.0730023330856175
late,"2021,2022,2023,2024,2025",completionPctDiff,0.06015634674062877,0.16574108466072449
late,"2021,2022,2023,2024,2025",totalYardsAvgDiff,0.34109171578371794,0.2319348231846615
late,"2021,2022,2023,2024,2025",possessionSecondsAvgDiff,0.0038515304439740326,0.09900999903269006
late,"2021,2022,2023,2024,2025",penaltyYardsAvgDiff,0.1267933893657704,0.13410707481577838
