season,first_name,last_name,position,origin,destination,transfer_date,transfer_year,eligibility,is_withdrawn,has_destination,is_nonwithdrawn_destination,rating,has_rating,stars,has_stars
2022,Michael,Edwards,LB,Georgia Southern,East Carolina,2022-04-26 16:02:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Ray,Rose,WR,East Carolina,Tennessee State,2022-05-23 19:41:00+00:00,2022,Immediate,False,True,True,,False,4.0,True
2022,Isaiah,Johnson,CB,Dartmouth,Syracuse,2022-02-07 16:48:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Malachi,Ledbetter,EDGE,Simon Fraser,Washington State,2022-01-10 06:00:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Eyabi,Anoma,EDGE,UT Martin,Michigan,2022-08-15 17:09:00+00:00,2022,Immediate,False,True,True,0.89,True,3.0,True
2022,Marcus,Clarke,CB,Miami,Missouri,2022-08-21 01:26:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Jahzion,Harris,EDGE,Texas A&M,Rutgers,2022-07-28 17:29:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Joel,Williams,CB,Kentucky,Memphis,2022-08-08 15:45:00+00:00,2022,Immediate,False,True,True,0.86,True,3.0,True
2022,CamRon,Jackson,DL,Memphis,Memphis,2022-01-19 12:42:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Maurice,White,DL,Memphis,Central Michigan,2022-08-08 13:42:00+00:00,2022,Immediate,False,True,True,0.78,True,2.0,True
2022,Emeka,Megwa,RB,Washington,,2022-08-02 14:06:00+00:00,2022,Immediate,False,False,False,0.85,True,3.0,True
2022,Demarquez,Trotter,S,Western Kentucky,,2022-08-26 15:28:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,George,Reid,LB,Temple,,2022-02-09 14:14:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Mike,Evans,WR,Robert Morris,West Virginia,2021-12-04 06:00:00+00:00,2021,Immediate,False,True,True,,False,,False
2022,Xavier,Hamlett,CB,Nevada,,2021-12-01 15:43:00+00:00,2021,Immediate,False,False,False,,False,,False
2022,Ivan,Escobar,DL,New Mexico State,,2022-07-01 22:42:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Kobe,Baynes,OT,Louisville,Kansas,2022-08-16 18:04:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Sammy,Solomon,DL,Massachusetts,Misericordia,2022-01-01 06:00:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Micah,Davis,WR,Air Force,Iowa Western C.C.,2022-07-01 16:05:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Jerrell,Boykins Jr.,DL,Louisiana Tech,Hutchinson C.C.,2022-01-02 00:18:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Jalen,Hampton,RB,Virginia Tech,Elon,2022-04-29 13:49:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Dajeun,Gibson,S,Middle Tennessee,,2022-07-28 13:14:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Ian,Hover,IOL,Campbell,Texas State,2022-04-06 22:49:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Da'Shawn,Elder,S,Virginia Tech,Middle Tennessee,2022-04-25 17:30:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Luke,Collinsworth,OT,Cincinnati,,2022-07-28 13:11:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Kamo'i,Latu,S,Utah,Wisconsin,2022-04-28 20:13:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Jalil,Muhammad,IOL,Arkansas State,,2022-07-25 17:31:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Jaden,Hullaby,RB,Texas,New Mexico,2022-04-29 02:50:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Spencer,Arceneaux,QB,Nebraska,,2022-05-05 17:26:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,J'Marick,Woods,S,Duke,,2022-07-10 14:20:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Omar,Sims,DL,Jacksonville State,,2022-06-06 23:04:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Markese,Stepp,RB,Nebraska,,2022-07-12 19:33:00+00:00,2022,Immediate,False,False,False,,False,4.0,True
2022,Jacobe,Covington,CB,Washington,USC,2022-05-02 17:54:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Patrick,Maddox,S,Utah State,,2022-02-22 17:11:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Demarkcus,Bowman,RB,Florida,UCF,2022-06-27 19:04:00+00:00,2022,TBD,False,True,True,0.88,True,3.0,True
2022,Kyle,Mann,DL,Alabama,Alabama A&M,2022-07-06 19:26:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Caleb,Fox,DT,Stephen F. Austin,TCU,2022-04-28 18:02:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Marcus,Washington,WR,Texas,Nebraska,2022-05-03 14:11:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Mordecai,McDaniel,S,Florida,,2022-07-02 15:01:00+00:00,2022,Immediate,False,False,False,0.87,True,3.0,True
2022,Justin,Rogers,QB,UNLV,,2022-01-24 18:53:00+00:00,2022,Immediate,False,False,False,0.84,True,3.0,True
2022,John,Brunner,IOL,North Texas,,2022-01-19 22:30:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Ridge,Jacobs,QB,South Florida,,2022-06-16 14:39:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Elisha,Guidry,S,UCLA,San José State,2022-04-22 05:00:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Jakelyn,Morgan,CB,Arizona,Louisiana Tech,2022-03-28 17:49:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Darius,Edmonds,WR,Houston,,2022-04-18 21:18:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Jack,Buford,OT,Arizona,Lindenwood University,2022-07-16 18:50:00+00:00,2022,Immediate,False,True,True,,False,4.0,True
2022,Carson,Lee,IOL,Colorado,,2022-04-08 22:18:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,William,Rogers,DL,South Carolina,McNeese,2022-04-19 13:11:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Garrett,Williams,CB,Temple,Fordham,2022-04-22 22:01:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Cody,Goatley,LB,Kentucky,Murray State,2022-04-21 17:26:00+00:00,2022,Immediate,False,True,True,,False,2.0,True
2022,Jakai,Torres,RB,San José State,College of the Canyons,2022-06-20 05:00:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Cameron,Cooper,OT,UTEP,,2022-04-26 15:42:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,David,Afari,RB,Miami (OH),,2022-04-28 17:48:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Evan,Davis,K,Toledo,,2022-01-19 15:23:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Tyler,Williams,LS,Washington State,,2022-02-03 16:16:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Damir,Collins,RB,Oregon State,Idaho State,2022-04-29 21:17:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Malik,Welch,S,San José State,McNeese,2022-03-08 06:00:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Malik,Williams,OT,Wyoming,San José State,2022-03-22 05:00:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Steven,Krajewski,QB,UConn,Georgia State,2022-04-26 15:51:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Odua,Isibor,EDGE,UCLA,California,2022-04-21 18:23:00+00:00,2022,Immediate,False,True,True,0.85,True,3.0,True
2022,Antonio,Montero,LB,Rice,Villanova,2021-11-29 00:37:00+00:00,2021,Immediate,False,True,True,0.82,True,3.0,True
2022,Amarius,Mims,OT,Georgia,,2022-04-10 20:22:00+00:00,2022,Immediate,False,False,False,0.94,True,4.0,True
2022,Jordan,Yates,QB,Georgia Tech,Sam Houston,2021-11-30 16:29:00+00:00,2021,Immediate,False,True,True,0.81,True,3.0,True
2022,Alex,Stadthaus,K,USC,,2021-12-06 12:03:00+00:00,2021,Immediate,False,False,False,,False,2.0,True
2022,Quinton,Cage,S,LSU,UTSA,2022-03-30 13:43:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Christian,Pedersen,TE,Louisville,,2022-07-26 09:11:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Tyler,Baron,EDGE,Tennessee,,2022-01-06 14:05:00+00:00,2022,Immediate,False,False,False,,False,4.0,True
2022,Beau,Allen,QB,Kentucky,Tarleton State,2022-07-27 17:14:00+00:00,2022,Immediate,False,True,True,0.84,True,3.0,True
2022,JT,Daniels,QB,Georgia,West Virginia,2022-01-19 20:37:00+00:00,2022,Immediate,False,True,True,0.89,True,3.0,True
2022,Malik,Feaster,CB,Jacksonville State,Florida State,2022-07-13 13:59:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Darrell,Jackson,DL,Maryland,Miami,2022-04-07 20:20:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Cole,Spencer,OT,Western Kentucky,Texas Tech,2022-02-14 21:58:00+00:00,2022,Immediate,False,True,True,0.91,True,4.0,True
2022,Daryl,Porter,CB,West Virginia,Miami,2022-02-17 02:40:00+00:00,2022,Immediate,False,True,True,0.89,True,3.0,True
2022,Jarek,Broussard,RB,Colorado,Michigan State,2022-01-13 20:23:00+00:00,2022,Immediate,False,True,True,0.89,True,3.0,True
2022,Tyrone,Hopper,LB,North Carolina,Missouri,2021-12-22 18:15:00+00:00,2021,Immediate,False,True,True,0.87,True,3.0,True
2022,Darrell,Simpson,OT,Oklahoma,Tulsa,2022-05-24 22:06:00+00:00,2022,Immediate,False,True,True,,False,4.0,True
2022,Wesley,Walker,S,Georgia Tech,Tennessee,2022-02-21 17:56:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Cole,Harrity,WR,New Mexico State,Buffalo,2022-04-18 19:11:00+00:00,2022,Immediate,False,True,True,,False,2.0,True
2022,Bobby,Holmes,CB,Louisiana,,2021-11-19 20:14:00+00:00,2021,Immediate,False,False,False,0.79,True,2.0,True
2022,Troy,dela Vega,TE,Utah State,,2022-05-01 02:49:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Thomas,Shelmire,IOL,SMU,,2022-05-20 19:46:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,DJ,Johnson,OLB,Illinois,Louisiana Tech,2022-06-02 22:16:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Ryan,Wills,OT,Penn State,,2022-03-25 12:14:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Liridon,Mujezinovic,OT,Maryland,,2022-05-01 14:07:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Vidal,Scott,DL,Arkansas State,,2022-04-01 19:25:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,TQ,Jackson,CB,SMU,,2022-04-21 17:25:00+00:00,2022,Immediate,False,False,False,0.86,True,3.0,True
2022,Jordan,Young,WR,Florida State,Florida Atlantic,2022-04-15 02:05:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Shemar,Thornton,ATH,Florida International,Northern Illinois,2021-12-15 06:10:00+00:00,2021,Immediate,False,True,True,,False,2.0,True
2022,Devan,Barrett,CB,Troy,,2022-02-09 15:44:00+00:00,2022,Immediate,False,False,False,0.84,True,3.0,True
2022,Cruz,Temple,LB,East Carolina,Arkansas State,2022-04-14 18:57:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Micah,Mariteragi,OT,Virginia,,2021-12-27 14:43:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Joseph,Evans,DL,LSU,UTSA,2022-04-26 17:59:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Darrius,Smith,RB,Arizona,,2021-12-07 20:54:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Ke'Andre,Street,WR,Houston,,2022-04-04 13:24:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Billy,Pospisil III,WR,Washington State,Colorado School of Mines,2022-01-10 18:02:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Javin,Burke,S,Virginia,,2022-06-10 18:24:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Jaylen,Moody,LB,Alabama,,2022-01-13 10:44:00+00:00,2022,Immediate,False,False,False,0.82,True,3.0,True
2022,Stone,Eby,SDE,SMU,,2022-01-06 15:51:00+00:00,2022,Immediate,False,False,False,0.83,True,3.0,True
2022,Chase,Monroe,LB,Wake Forest,Charlotte,2022-04-05 16:32:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Dylan,Davis,OT,Furman,Illinois,2022-04-30 19:23:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,AJ,Watts,CB,Akron,,2022-01-19 16:57:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Logan,Sagapolu,IOL,Oregon,Miami,2022-01-18 06:00:00+00:00,2022,Immediate,False,True,True,0.85,True,3.0,True
2022,Clay,Millen,QB,Nevada,Colorado State,2021-12-10 17:06:00+00:00,2021,Immediate,False,True,True,0.85,True,3.0,True
2022,Corey,Rucker,WR,Arkansas State,South Carolina,2022-03-07 22:51:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Tyler,Harrell,WR,Louisville,Alabama,2022-04-12 19:16:00+00:00,2022,Immediate,False,True,True,0.91,True,4.0,True
2022,Edward,Haralson,DL,UL Monroe,,2021-10-28 18:36:00+00:00,2021,Immediate,False,False,False,0.75,True,2.0,True
2022,Leon,Williams,LB,Kent State,,2022-05-02 16:55:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Akheem,Mesidor,DL,West Virginia,Miami,2022-03-31 18:26:00+00:00,2022,Immediate,False,True,True,0.92,True,4.0,True
2022,Raiqwon,O'Neal,OT,Rutgers,UCLA,2022-01-20 19:37:00+00:00,2022,Immediate,False,True,True,0.89,True,3.0,True
2022,Kylan,Watkins,WR,Memphis,,2022-01-14 20:12:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Dar'jarri,Coleman,EDGE,Jacksonville State,,2022-03-09 15:01:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Enoch,Nawahine,RB,Utah State,,2022-03-08 16:32:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Ricky,Pearsall,WR,Arizona State,Florida,2022-04-21 17:27:00+00:00,2022,Immediate,False,True,True,0.89,True,3.0,True
2022,Jalik,Yancey,CB,Eastern Michigan,,2022-04-22 14:53:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Ezra,Dotson-Oyetade,IOL,Arizona State,TCU,2022-04-29 17:19:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Meki,Pei,S,Washington,,2022-04-25 19:13:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Kelsen,Hennessy,DL,Oregon State,,2021-11-09 22:42:00+00:00,2021,Immediate,False,False,False,0.79,True,2.0,True
2022,Ryan,Keeler,DL,Rutgers,,2022-04-30 19:45:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Fred,Martin,CB,Oregon State,,2022-06-30 16:20:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Josh,Brown,CB,Troy,,2022-06-20 14:36:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Chris,Akporoghene,IOL,Tennessee,Tulsa,2022-01-24 16:27:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Ryan,Peppins,WR,Utah,,2022-04-15 18:38:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Kolby,White,WR,Baylor,,2021-12-16 20:23:00+00:00,2021,Immediate,False,False,False,,False,,False
2022,Frederik,Antoine,WR,Old Dominion,,2022-02-03 16:13:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Kajuan,Robinson,DL,Memphis,,2022-01-18 15:50:00+00:00,2022,Immediate,False,False,False,0.83,True,3.0,True
2022,Jessie,Parson III,WR,Rutgers,,2021-11-01 20:19:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Eric,Reed,CB,Auburn,Georgia Tech,2022-03-28 18:52:00+00:00,2022,Immediate,False,True,True,0.86,True,3.0,True
2022,Braedon,Wissler,RB,Utah,,2022-04-28 14:22:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Cameron,Williams,EDGE,Miami,,2022-04-29 14:17:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Parker,Rickert,WR,Iowa State,,2022-04-26 20:30:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Aaron,McLaughlin,QB,NC State,Jacksonville State,2022-02-18 16:55:00+00:00,2022,Immediate,False,True,True,0.85,True,3.0,True
2022,Avarius,Sparrow,RB,West Virginia,Middle Tennessee,2021-10-30 03:48:00+00:00,2021,Immediate,False,True,True,0.8,True,3.0,True
2022,Alex,Zayed,LB,Louisiana Tech,,2021-08-26 20:55:00+00:00,2021,Immediate,False,False,False,,False,2.0,True
2022,Donavann,Collins,CB,TCU,,2021-12-14 20:29:00+00:00,2021,Immediate,False,False,False,0.85,True,3.0,True
2022,Eric,Randall,S,Memphis,,2022-03-24 16:33:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Kyle,Helbig,TE,Colorado State,,2021-09-08 17:04:00+00:00,2021,Immediate,False,False,False,0.8,True,3.0,True
2022,Jaylen,Rivers,ATH,Northwestern,,2021-11-29 18:32:00+00:00,2021,Immediate,False,False,False,0.8,True,3.0,True
2022,Matthew,Duncan,QB,Temple,Trinity Valley C.C.,2022-04-22 00:47:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Dylan,Walker,TE,Colorado State,,2021-12-21 20:54:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Nick,Okeke,LB,Louisville,Southern Illinois,2021-12-08 21:45:00+00:00,2021,Immediate,False,True,True,,False,2.0,True
2022,James,Ziglor III,RB,Vanderbilt,Buffalo,2022-07-07 20:47:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Cameron,Kinnie,IOL,Georgia,UCF,2022-04-29 17:47:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Tiaoalii,Savea,DL,UCLA,Arizona,2022-01-07 14:47:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Jojuan,Claiborne,CB,Nevada,,2021-12-29 17:29:00+00:00,2021,Immediate,False,False,False,,False,2.0,True
2022,Jamel,Thomas,WR,South Alabama,,2021-10-27 18:19:00+00:00,2021,Immediate,False,False,False,0.79,True,2.0,True
2022,Camden,Price,K,Miami,Temple,2022-01-06 23:57:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Caden,Clark,TE,Alabama,Akron,2022-04-07 19:35:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Gaberiel,Fuster,LB,Liberty,,2021-10-14 19:04:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Tyson,Thompson,WR,Houston Christian,Rice,2022-04-30 00:23:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Marcus,Hooker,S,Ohio State,Youngstown State,2022-04-26 18:39:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Christian,Curatolo,OT,Lehigh,Boston College,2022-03-01 06:00:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Tony,Wallace,CB,TCU,UTSA,2021-11-16 06:00:00+00:00,2021,TBD,False,True,True,,False,3.0,True
2022,Gabriel,Murphy,EDGE,North Texas,UCLA,2022-01-27 20:53:00+00:00,2022,Immediate,False,True,True,0.89,True,3.0,True
2022,Javian,Hester,WR,Missouri,Oklahoma,2022-04-28 16:45:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Cooper,Darling,IOL,Oregon State,,2022-03-30 14:55:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Lonyatta,Alexander,WR,Arizona State,Washington,2022-01-15 18:04:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Matt,Landers,WR,Toledo,Arkansas,2022-05-03 13:53:00+00:00,2022,Immediate,False,True,True,0.88,True,3.0,True
2022,Marshall,Gill,IOL,VMI,New Mexico,2021-11-22 20:53:00+00:00,2021,Immediate,False,True,True,,False,,False
2022,Alex,Bales,K,Cincinnati,,2022-03-09 16:23:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,AJ,Davis,WR,UAB,,2022-05-20 16:05:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Sione,Veikoso,IOL,Arizona State,,2022-05-03 18:41:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
2022,Stacy,Brown,S,Missouri,,2022-04-30 19:43:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Jordan,Brunson,RB,Virginia Tech,Miami (OH),2022-04-19 14:04:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Caden,McNeese,P,North Texas,,2022-04-14 17:34:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,La'Dareyen,Craig,CB,South Carolina,,2022-06-23 19:58:00+00:00,2022,Immediate,False,False,False,0.88,True,3.0,True
2022,Junior,Walling,LB,Oregon State,,2022-04-27 13:47:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Kayode,Oladele,DL,Memphis,,2022-06-13 14:40:00+00:00,2022,Immediate,False,False,False,,False,4.0,True
2022,Zack,Merrill,QB,Indiana,,2022-01-11 18:55:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Sean,Berry,S,UTSA,,2021-12-16 20:20:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Parker,Hughes,ATH,Middle Tennessee,,2022-04-28 19:36:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Reid,Pulliam,LB,Virginia Tech,Holmes C.C.,2022-06-07 18:10:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Ethan,Bullock,QB,Oklahoma State,,2022-04-06 13:38:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Daran,Branch,S,Georgia,,2022-04-02 13:18:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Dominick,Puni,IOL,Central Missouri,Kansas,2022-03-01 20:26:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Myron,Warren,DL,Texas,Texas State,2022-04-26 05:00:00+00:00,2022,Immediate,False,True,True,,False,4.0,True
2022,DeAmonte,King,ATH,Toledo,,2021-12-21 20:23:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Isaiah,Land,EDGE,Florida A&M,Florida A&M,2022-05-01 15:46:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Nate,Adkins,TE,East Tennessee State,South Carolina,2022-04-22 20:18:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Andre,Turrentine,CB,Ohio State,Tennessee,2022-04-25 15:48:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Jazston,Turnetine,OT,South Carolina,Florida State,2022-04-29 20:20:00+00:00,2022,Immediate,False,True,True,0.86,True,3.0,True
2022,Kendall,Smith,S,Illinois,,2021-11-29 10:28:00+00:00,2021,Immediate,False,False,False,,False,3.0,True
2022,Ja'Varrius,Johnson,WR,Auburn,Auburn,2022-02-02 20:53:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Isaiah,Wright,IOL,Rutgers,Buffalo,2022-05-02 18:54:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Sean,Ryan,WR,West Virginia,Rutgers,2022-01-07 16:47:00+00:00,2022,Immediate,False,True,True,0.85,True,3.0,True
2022,Jahmin,Muse,S,Boston College,Buffalo,2021-11-30 16:54:00+00:00,2021,Immediate,False,True,True,0.84,True,3.0,True
2022,Daemon,Hill,CB,Central Michigan,Florida Atlantic,2022-05-02 16:23:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Jaylon,Robinson,WR,UCF,Ole Miss,2022-04-21 17:28:00+00:00,2022,Immediate,False,True,True,0.9,True,4.0,True
2022,Dmitri,Emmanuel,IOL,Charlotte,Florida State,2022-05-02 21:00:00+00:00,2022,Immediate,False,True,True,0.86,True,3.0,True
2022,RJ,Sneed,WR,Baylor,Colorado,2022-01-04 16:49:00+00:00,2022,Immediate,False,True,True,0.87,True,3.0,True
2022,Viliami,Tausinga,LB,BYU,,2022-03-28 20:37:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Kamryn,Waites,OT,Louisiana,Florida,2021-12-21 19:01:00+00:00,2021,Immediate,False,True,True,0.91,True,4.0,True
2022,Tyler,Steen,OT,Vanderbilt,Alabama,2022-01-11 16:31:00+00:00,2022,Immediate,False,True,True,0.91,True,4.0,True
2022,Demond,Demas,WR,Texas A&M,,2022-03-29 15:29:00+00:00,2022,Immediate,False,False,False,,False,5.0,True
2022,Kaymar,Mimes,TE,Pittsburgh,,2022-04-15 13:31:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Malik,Matthew,LB,Syracuse,,2022-06-16 14:38:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Ramon,Jefferson,RB,Sam Houston,Kentucky,2022-01-31 19:22:00+00:00,2022,Immediate,False,True,True,0.9,True,4.0,True
2022,Jayson,Jones,DL,Oregon,Auburn,2021-12-15 21:46:00+00:00,2021,Immediate,False,True,True,0.89,True,3.0,True
2022,Keitha,Jones,TE,Tulane,,2022-04-27 21:35:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Colby,Richardson,CB,LSU,LSU,2022-06-01 14:56:00+00:00,2022,Immediate,False,True,True,,False,,False
2022,Sione,Finau,RB,BYU,,2022-03-29 01:26:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Brennan,Sweeney,LB,Iowa,,2022-05-04 17:14:00+00:00,2022,Immediate,False,False,False,,False,,False
2022,Tylan,Morton,QB,South Alabama,Southwestern Oklahoma State,2022-01-10 15:32:00+00:00,2022,Immediate,False,True,True,,False,3.0,True
2022,Anthony,Torres,TE,Western Michigan,Toledo,2021-12-15 22:53:00+00:00,2021,Immediate,False,True,True,,False,3.0,True
2022,Spencer,Curtis,WR,Oregon,Nevada,2022-01-11 15:09:00+00:00,2022,Immediate,False,True,True,,False,2.0,True
2022,Grayson,Cook,LB,Air Force,,2021-09-07 16:40:00+00:00,2021,Immediate,False,False,False,,False,,False
2022,Parker,Eichenberger,TE,Houston,,2022-04-06 17:37:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Jeremy,Tate,WR,Memphis,,2022-04-18 17:03:00+00:00,2022,Immediate,False,False,False,,False,3.0,True
2022,Larry,Robbins,CB,Buffalo,,2021-10-21 17:36:00+00:00,2021,Immediate,False,False,False,,False,2.0,True
2022,Ke'Andre,Collins,WR,Central Michigan,,2022-04-26 15:52:00+00:00,2022,Immediate,False,False,False,,False,2.0,True
