season,team,incoming_count,incoming_rated_count,incoming_rating_sum,incoming_rating_mean,incoming_star_count,incoming_stars_sum,incoming_stars_mean,incoming_2star_count,incoming_3star_count,incoming_4star_count,incoming_5star_count,outgoing_count,outgoing_rated_count,outgoing_rating_sum,outgoing_rating_mean,outgoing_star_count,outgoing_stars_sum,outgoing_stars_mean,outgoing_2star_count,outgoing_3star_count,outgoing_4star_count,outgoing_5star_count
2025,Abilene Christian,17,1,0.86,0.86,15,45.0,3.0,2,11,2,0,7,5,4.32,0.8640000000000001,7,21.0,3.0,0,7,0,0
2025,Adams State,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Air Force,0,0,,,0,,,0,0,0,0,12,3,2.5,0.8333333333333334,8,23.0,2.875,1,7,0,0
2025,Akron,17,12,9.9,0.8250000000000001,15,45.0,3.0,1,13,1,0,20,9,7.57,0.8411111111111111,17,50.0,2.9411764705882355,1,16,0,0
2025,Alabama,11,11,9.67,0.879090909090909,11,37.0,3.3636363636363638,0,7,4,0,26,23,20.31,0.8830434782608695,24,76.0,3.1666666666666665,0,20,4,0
2025,Alabama A&M,2,0,0.0,,2,6.0,3.0,0,2,0,0,10,6,5.05,0.8416666666666667,8,23.0,2.875,1,7,0,0
2025,Alabama State,6,0,0.0,,3,9.0,3.0,0,3,0,0,6,1,0.82,0.82,2,6.0,3.0,0,2,0,0
2025,Albany,4,0,0.0,,3,7.0,2.3333333333333335,2,1,0,0,6,3,2.56,0.8533333333333334,4,12.0,3.0,0,4,0,0
2025,Alcorn State,4,1,0.82,0.82,3,8.0,2.6666666666666665,1,2,0,0,3,2,1.68,0.84,2,6.0,3.0,0,2,0,0
2025,American River C.C.,1,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2025,Anderson,2,0,0.0,,0,0.0,,0,0,0,0,0,0,,,0,,,0,0,0,0
2025,Angelo State,0,0,,,0,,,0,0,0,0,2,1,0.83,0.83,1,3.0,3.0,0,1,0,0
2025,App State,32,27,22.43,0.8307407407407408,28,83.0,2.9642857142857144,1,27,0,0,43,18,15.29,0.8494444444444444,37,109.0,2.945945945945946,3,33,1,0
2025,Arizona,30,29,24.78,0.8544827586206897,30,89.0,2.966666666666667,1,29,0,0,38,18,15.35,0.8527777777777777,37,111.0,3.0,2,33,2,0
2025,Arizona State,17,17,14.51,0.8535294117647059,17,51.0,3.0,0,17,0,0,22,13,10.79,0.83,20,59.0,2.95,2,17,1,0
2025,Arkansas,31,29,25.11,0.8658620689655172,30,94.0,3.1333333333333333,0,26,4,0,43,27,23.21,0.8596296296296296,36,111.0,3.0833333333333335,1,31,4,0
2025,Arkansas State,32,21,17.34,0.8257142857142857,28,83.0,2.9642857142857144,2,25,1,0,29,10,8.41,0.841,23,67.0,2.9130434782608696,2,21,0,0
2025,Arkansas-Pine Bluff,1,0,0.0,,1,3.0,3.0,0,1,0,0,6,3,2.54,0.8466666666666667,3,9.0,3.0,0,3,0,0
2025,Army,0,0,,,0,,,0,0,0,0,11,5,4.3,0.86,6,19.0,3.1666666666666665,0,5,1,0
2025,Ashland University,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2025,Auburn,21,20,17.51,0.8755000000000001,21,68.0,3.238095238095238,1,14,6,0,27,23,19.64,0.8539130434782609,24,72.0,3.0,1,22,1,0
2025,Austin Peay,23,6,4.99,0.8316666666666667,21,62.0,2.9523809523809526,2,18,1,0,8,6,5.03,0.8383333333333334,6,18.0,3.0,0,6,0,0
2025,BYU,13,13,10.93,0.8407692307692307,13,39.0,3.0,0,13,0,0,29,14,11.79,0.8421428571428571,28,84.0,3.0,3,22,3,0
2025,Ball State,24,14,11.61,0.8292857142857143,19,56.0,2.9473684210526314,1,18,0,0,34,11,9.34,0.8490909090909091,30,85.0,2.8333333333333335,5,25,0,0
2025,Barton,0,0,,,0,,,0,0,0,0,1,1,0.87,0.87,1,3.0,3.0,0,1,0,0
2025,Baylor,23,22,18.83,0.8559090909090908,22,67.0,3.0454545454545454,0,21,1,0,17,6,5.109999999999999,0.8516666666666666,14,44.0,3.142857142857143,0,12,2,0
2025,Bemidji State,0,0,,,0,,,0,0,0,0,1,1,0.86,0.86,1,3.0,3.0,0,1,0,0
2025,Benedict,1,0,0.0,,1,4.0,4.0,0,0,1,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Bethel,0,0,,,0,,,0,0,0,0,1,1,0.87,0.87,1,3.0,3.0,0,1,0,0
2025,Bethune-Cookman,5,1,0.85,0.85,5,14.0,2.8,1,4,0,0,5,4,3.31,0.8275,5,14.0,2.8,1,4,0,0
2025,Boise State,12,6,5.1,0.85,11,33.0,3.0,0,11,0,0,19,6,5.04,0.84,19,55.0,2.8947368421052633,2,17,0,0
2025,Boston College,15,14,11.93,0.8521428571428571,15,45.0,3.0,0,15,0,0,19,11,9.29,0.8445454545454545,19,58.0,3.0526315789473686,0,18,1,0
2025,Bowie State,0,0,,,0,,,0,0,0,0,1,0,0.0,,0,0.0,,0,0,0,0
2025,Bowling Green,21,19,15.85,0.8342105263157894,20,60.0,3.0,0,20,0,0,29,12,10.18,0.8483333333333333,24,69.0,2.875,4,19,1,0
2025,British Columbia,1,0,0.0,,1,3.0,3.0,0,1,0,0,0,0,,,0,,,0,0,0,0
2025,Brown,0,0,,,0,,,0,0,0,0,3,3,2.48,0.8266666666666667,3,9.0,3.0,0,3,0,0
