season,team,conference,returning_total_ppa,returning_passing_ppa,returning_receiving_ppa,returning_rushing_ppa,returning_percent_ppa,returning_percent_passing_ppa,returning_percent_receiving_ppa,returning_percent_rushing_ppa,returning_usage,returning_passing_usage,returning_receiving_usage,returning_rushing_usage
2021,Air Force,Mountain West,127.1,35.0,20.8,71.3,0.77,1.0,0.54,0.777,0.724,1.0,0.745,0.662
2021,Akron,Mid-American,27.7,-19.8,23.1,24.5,0.63,0.756,0.545,0.888,0.805,0.902,0.694,0.788
2021,Alabama,SEC,141.0,16.7,87.3,37.0,0.192,0.058,0.262,0.327,0.26,0.072,0.349,0.368
2021,App State,Sun Belt,274.6,12.1,163.8,98.7,0.654,0.127,0.942,0.655,0.584,0.03,0.953,0.734
2021,Arizona,Pac-12,40.2,-15.2,41.4,14.0,0.484,-2.98,0.704,0.749,0.478,0.427,0.648,0.371
2021,Arizona State,Pac-12,127.9,29.9,47.2,50.8,0.976,1.0,0.948,1.0,0.966,1.0,0.855,1.0
2021,Arkansas,SEC,157.6,-7.7,134.4,30.9,0.505,-0.081,0.77,0.737,0.423,0.019,0.749,0.511
2021,Arkansas State,Sun Belt,358.4,198.4,158.3,1.8,0.696,0.952,0.543,0.118,0.661,0.992,0.364,0.548
2021,Army,FBS Independents,161.0,13.6,31.6,115.9,0.861,1.0,0.921,0.835,0.858,1.0,0.894,0.838
2021,Auburn,SEC,169.5,71.6,27.7,70.1,0.605,0.994,0.21,0.918,0.714,0.997,0.277,0.81
2021,BYU,FBS Independents,262.4,18.3,161.4,82.7,0.48,0.101,0.663,0.682,0.557,0.13,0.711,0.791
2021,Ball State,Mid-American,234.0,95.9,111.2,27.0,0.799,1.0,0.753,0.547,0.838,1.0,0.741,0.767
2021,Baylor,Big 12,92.8,-3.2,103.7,-7.7,0.619,-0.093,0.927,-2.333,0.45,0.031,0.929,0.512
2021,Boise State,Mountain West,176.5,67.1,97.3,12.1,0.964,0.908,0.965,1.44,0.917,0.871,0.92,0.966
2021,Boston College,ACC,316.3,156.3,161.0,-1.0,0.876,1.0,0.79,-1.25,0.801,1.0,0.736,0.614
2021,Bowling Green,Mid-American,5.3,-19.7,-4.3,29.3,0.331,1.0,-0.426,1.145,0.582,1.0,0.208,0.489
2021,Buffalo,Mid-American,130.8,66.7,15.4,48.6,0.479,1.0,0.179,0.405,0.602,1.0,0.323,0.517
2021,California,Pac-12,54.7,7.2,30.4,17.2,0.977,1.029,0.884,1.147,0.904,0.993,0.782,0.915
2021,Central Michigan,Mid-American,120.4,24.7,57.0,38.8,0.772,0.855,0.71,0.824,0.768,0.618,0.724,0.921
2021,Charlotte,Conference USA,120.7,39.0,75.6,6.1,0.856,1.0,0.889,0.347,0.815,1.0,0.882,0.57
