gameId,season,week,seasonType,team,conference,homeAway,points,fumblesRecovered,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
400603830,2015,1,regular,Florida,SEC,home,61,0,4,30,0,3,4,46,0,2,13,43,0,1,37:56,0,1,1,1-10,5.4,41,222,10.1,31-38,384,606,2-2,10-15,28
400603830,2015,1,regular,New Mexico State,Sun Belt,away,13,1,1,,,,1,22,0,1,1,,,,22:04,1,0,1,1-9,2.9,22,64,4.7,15-29,136,200,2-3,1-12,8
400787302,2015,1,regular,Ohio,Mid-American,away,45,1,2,0,0,1,3,17,0,1,9,54,1,2,29:23,0,1,1,10-92,5.4,38,205,11.4,20-25,284,489,0-0,5-10,23
400787302,2015,1,regular,Idaho,Sun Belt,home,28,1,2,-1,0,1,1,157,0,8,8,,,,30:37,2,1,3,3-30,3.6,28,100,6.2,36-48,297,397,4-5,4-14,25
400603831,2015,1,regular,UL Monroe,Sun Belt,away,14,0,0,,,,2,62,0,4,2,,,,26:40,1,0,1,5-30,1.7,26,45,7.1,23-29,206,251,0-0,5-14,12
400603831,2015,1,regular,Georgia,SEC,home,51,0,4,37,0,3,3,61,0,3,7,26,0,1,23:26,0,0,0,4-30,6.4,38,243,13.7,10-14,192,435,0-0,5-9,19
400834350,2015,1,regular,Bowling Green,Mid-American,away,30,0,1,23,0,2,2,52,0,4,12,,,,26:09,0,1,1,12-128,3.6,34,124,8.5,29-51,433,557,3-3,4-18,24
400834350,2015,1,regular,Tennessee,SEC,home,59,1,6,102,0,3,2,86,0,2,11,,,,33:51,0,0,0,4-40,6.2,64,399,8.9,15-23,205,604,0-0,9-16,29
400603840,2015,1,regular,North Carolina,ACC,away,13,0,0,-1,0,1,1,,,,7,,,,24:22,3,0,3,6-30,6.3,33,208,7.5,19-31,232,440,0-2,5-13,20
400603840,2015,1,regular,South Carolina,SEC,home,17,0,1,,,,1,24,0,1,5,2,0,3,35:38,0,0,0,8-60,5.4,47,254,5.2,12-27,140,394,1-2,7-15,22
400603832,2015,1,regular,Louisiana,Sun Belt,away,33,0,4,-2,0,2,0,77,0,4,5,1,0,1,37:05,2,2,4,7-70,5.3,47,247,5.7,26-41,232,479,3-4,7-19,27
400603832,2015,1,regular,Kentucky,SEC,home,40,2,2,16,0,1,3,127,0,4,10,0,0,2,22:55,1,0,1,4-54,6.8,26,178,7.6,16-34,257,435,1-1,5-14,18
400603839,2015,1,regular,Western Kentucky,Conference USA,away,14,1,1,,,,1,45,0,2,2,0,0,2,23:21,0,0,0,9-70,1.6,23,37,7.0,19-30,209,246,0-0,2-12,11
400603839,2015,1,regular,Vanderbilt,SEC,home,12,0,0,12,0,3,1,61,0,3,6,,,,36:39,2,1,3,5-40,4.0,42,168,6.4,18-34,217,385,2-3,7-18,20
400763399,2015,1,regular,Central Michigan,Mid-American,home,13,0,1,,,,0,62,0,3,7,,,,33:32,1,0,1,6-30,2.8,28,78,6.3,29-42,265,343,0-0,8-18,18
400763399,2015,1,regular,Oklahoma State,Big 12,away,24,0,2,0,0,3,1,42,0,2,6,3,0,1,26:28,0,0,0,4-35,4.4,35,153,8.3,22-32,266,419,0-0,6-14,19
400763402,2015,1,regular,South Dakota,MVFC,away,0,1,0,4,0,2,0,58,0,4,0,,,,30:45,0,1,1,2-11,1.7,36,61,6.8,18-30,205,266,0-2,8-18,16
400763402,2015,1,regular,Kansas State,Big 12,home,34,1,2,52,0,3,1,100,1,1,10,,,,29:15,0,1,1,8-70,4.6,41,189,8.2,9-18,147,336,0-0,5-12,16
400764855,2015,1,regular,SMU,American Athletic,home,21,0,1,,,,2,144,0,6,3,32,0,1,37:52,2,0,2,5-40,3.8,54,203,6.9,16-24,166,369,1-2,7-15,22
400764855,2015,1,regular,Baylor,Big 12,away,56,0,2,5,0,1,6,24,0,1,8,37,0,2,22:08,1,0,1,13-105,8.1,37,300,13.2,17-32,423,723,2-3,4-10,27
400763400,2015,1,regular,Northern Iowa,MVFC,away,7,2,0,0,0,3,1,43,0,4,1,,,,33:10,1,1,2,10-74,3.1,41,126,5.2,20-34,176,302,0-1,3-16,16
400763400,2015,1,regular,Iowa State,Big 12,home,31,1,1,193,1,8,2,,,,7,24,0,1,26:50,0,2,2,5-48,2.4,32,77,8.0,21-29,233,310,0-0,3-13,15
400763406,2015,1,regular,Sam Houston,Southland,away,45,0,5,-3,0,2,1,9,0,1,9,27,0,1,31:59,2,2,4,5-47,6.9,46,317,6.2,36-52,320,637,0-1,9-15,34
400763406,2015,1,regular,Texas Tech,Big 12,home,59,2,2,18,0,3,4,139,1,4,11,47,1,2,28:01,1,0,1,10-69,5.6,31,174,7.7,34-57,437,611,0-1,9-16,29
400763401,2015,1,regular,South Dakota State,MVFC,away,41,1,2,2,0,1,3,42,0,2,11,53,0,1,29:56,0,0,0,3-25,4.4,39,170,8.9,17-33,293,463,2-2,5-14,25
400763401,2015,1,regular,Kansas,Big 12,home,38,0,3,25,0,2,1,142,1,6,8,,,,30:04,1,1,2,7-75,5.6,51,285,7.3,25-40,291,576,4-5,7-16,29
400763398,2015,1,regular,Minnesota,Big Ten,home,17,1,1,,,,1,20,0,1,5,5,0,1,25:10,0,2,2,7-60,3.7,39,144,5.6,19-35,197,341,1-2,4-15,18
400763398,2015,1,regular,TCU,Big 12,away,23,2,1,13,0,3,1,57,0,3,11,,,,34:50,1,1,2,9-50,4.6,44,203,5.9,26-42,246,449,0-0,7-19,25
400763407,2015,1,regular,Georgia Southern,Sun Belt,away,0,0,0,,,,0,96,0,5,,,,,34:07,4,1,5,1-15,3.4,57,195,2.2,2-13,29,224,0-4,5-16,14
400763407,2015,1,regular,West Virginia,Big 12,home,44,1,3,,,,2,,,,14,0,0,4,25:53,0,0,0,5-37,4.6,40,185,13.8,16-26,359,544,1-2,3-12,21
400603828,2015,1,regular,Arkansas,SEC,home,48,2,2,12,0,2,4,55,0,2,12,12,0,1,29:19,0,0,0,6-68,5.4,34,182,15.4,14-20,308,490,2-2,5-11,18
