gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,puntReturnYards,puntReturnTDs,puntReturns,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns
400935247,2017,1,regular,Arizona State,Pac-12,home,37,2,6,0,2,2,51,0,1,7,49,1,2,0,1,8,1,56,6,0,3,29:40,0,0,0,1-10,2.0,40,79,10.7,24-30,321,400,1-1,5-15,19
400935247,2017,1,regular,New Mexico State,Sun Belt,away,31,2,0,0,1,3,27,0,1,1,,,,0,1,14,0,64,7,0,0,30:20,2,0,2,6-59,5.0,30,151,6.9,40-58,398,549,0-1,11-18,27
400944827,2017,1,regular,Sacramento State,Big Sky,away,6,0,12,0,3,0,77,0,3,6,0,0,2,2,1,8,0,45,4,0,1,29:06,0,0,0,1-2,2.7,35,95,3.8,10-25,95,190,0-1,1-15,8
400944827,2017,1,regular,Idaho,Sun Belt,home,28,2,23,0,3,2,,,,4,,,,0,2,6,0,37,4,0,2,30:54,2,1,3,3-20,4.5,44,197,8.6,14-19,163,360,2-3,2-11,15
400933831,2017,1,regular,App State,Sun Belt,away,10,1,,,,0,15,0,1,4,26,0,2,0,1,6,0,28,1,0,3,31:04,0,0,0,11-105,4.3,32,136,4.6,21-32,148,284,0-1,7-18,12
400933831,2017,1,regular,Georgia,SEC,home,31,3,6,0,2,1,42,0,2,7,,,,0,,7,0,33,1,0,1,28:56,2,0,2,8-46,5.0,44,221,7.3,11-20,147,368,1-1,5-14,18
400933830,2017,1,regular,Michigan,Big Ten,away,33,1,40,0,5,1,,,,15,,,,3,0,11,0,32,6,5,6,34:13,2,0,2,7-55,4.4,49,215,8.4,12-26,218,433,1-1,6-18,19
400933830,2017,1,regular,Florida,SEC,home,17,0,,,,0,71,0,4,5,89,2,2,0,5,11,2,54,5,4,0,25:47,0,3,3,5-45,0.4,27,11,7.0,14-26,181,192,1-2,2-13,9
400933840,2017,1,regular,Georgia Tech,ACC,home,41,6,7,0,2,0,30,0,2,5,,,,0,3,1,0,21,0,0,3,41:27,0,2,2,4-37,6.2,86,535,12.0,5-10,120,655,0-0,13-18,33
400933840,2017,1,regular,Tennessee,SEC,away,42,4,,,,2,109,0,4,6,,,,2,0,1,0,45,0,0,1,18:33,0,0,0,2-20,6.7,22,148,6.0,20-37,221,369,0-1,5-12,18
400933837,2017,1,regular,NC State,ACC,away,28,2,40,0,3,2,39,0,2,4,0,0,1,0,2,7,0,21,3,2,3,36:54,0,2,2,8-65,2.5,35,89,6.5,45-64,415,504,2-4,9-20,29
400933837,2017,1,regular,South Carolina,SEC,home,35,1,26,0,3,3,141,1,4,5,,,,2,0,11,1,48,4,5,4,23:06,1,0,1,6-45,1.5,21,31,7.4,17-29,215,246,0-0,5-12,12
400933832,2017,1,regular,Southern Miss,Conference USA,home,17,0,7,0,1,2,35,0,2,5,,,,0,4,5,0,29,1,0,3,30:59,0,3,3,8-69,1.4,38,55,7.7,22-40,309,364,2-4,4-17,19
400933832,2017,1,regular,Kentucky,SEC,away,24,1,,,,1,78,0,3,6,,,,0,1,8,0,35,2,1,1,29:01,0,1,1,8-60,2.2,35,78,8.8,11-20,176,254,0-0,3-13,12
400933839,2017,1,regular,Middle Tennessee,Conference USA,home,6,0,20,0,3,1,,,,0,,,,0,1,5,0,43,1,1,4,23:27,1,0,1,4-14,1.9,26,49,5.4,18-31,166,215,0-2,0-12,14
400933839,2017,1,regular,Vanderbilt,SEC,away,28,1,,,,3,,,,4,28,0,1,0,1,10,0,40,5,4,7,36:33,0,0,0,6-69,2.0,35,71,10.6,20-28,296,367,0-0,8-16,15
400938887,2017,1,regular,Hawai'i,Mountain West,away,38,2,0,0,1,3,159,0,6,8,1,0,1,1,2,7,0,34,5,0,1,31:24,1,0,1,9-88,3.2,35,112,10.3,25-38,391,503,2-4,6-15,19
400938887,2017,1,regular,Massachusetts,FBS Independents,home,35,3,4,0,2,2,120,0,7,5,0,0,1,0,2,5,0,32,4,0,5,28:36,1,1,2,5-55,2.8,41,115,8.8,22-34,298,413,3-3,8-16,20
400938888,2017,1,regular,Coastal Carolina,Sun Belt,home,38,4,46,0,4,1,71,0,5,8,,,,1,1,6,0,40,1,2,4,34:45,0,0,0,6-68,6.8,47,321,4.4,10-18,80,401,2-2,1-11,20
400938888,2017,1,regular,Massachusetts,FBS Independents,away,28,3,4,0,3,1,168,0,7,4,,,,0,3,2,0,42,0,1,3,25:15,0,2,2,7-64,3.0,26,79,8.0,27-45,362,441,1-1,5-13,23
400934493,2017,1,regular,Tulsa,American Athletic,away,24,2,0,0,1,0,45,0,3,6,,,,1,3,9,0,48,2,1,1,36:40,0,2,2,6-48,4.1,60,244,4.9,20-38,188,432,1-2,16-26,26
400934493,2017,1,regular,Oklahoma State,Big 12,home,59,4,3,0,2,3,67,0,3,11,,,,0,2,9,0,69,1,3,4,23:20,0,2,2,5-51,9.0,37,332,11.8,21-26,308,640,0-0,5-9,25
400934491,2017,1,regular,Central Arkansas,Southland,away,19,1,,,,1,35,0,2,7,,,,0,2,4,0,39,1,0,0,37:13,1,2,3,3-15,4.1,55,223,5.7,27-35,198,421,2-3,10-19,28
400934491,2017,1,regular,Kansas State,Big 12,home,55,2,62,1,1,4,156,0,5,13,7,0,1,2,,9,1,74,4,0,1,22:47,0,0,0,6-58,6.0,31,186,20.8,10-16,333,519,0-1,5-9,16
400934489,2017,1,regular,Liberty,Big South,away,48,1,,,,3,44,0,2,16,30,1,2,0,2,1,1,33,0,4,2,38:16,0,0,0,8-95,3.2,43,138,7.4,44-60,447,585,2-2,15-24,31
400934489,2017,1,regular,Baylor,Big 12,home,45,3,,,,3,53,0,3,9,,,,0,1,10,0,71,1,2,7,21:44,2,0,2,7-61,7.5,34,254,9.3,14-30,278,532,2-2,4-12,22
400934488,2017,1,regular,Northern Iowa,MVFC,away,24,0,7,0,2,3,81,0,4,6,11,0,1,0,,4,0,42,0,1,2,29:04,3,0,3,8-71,5.4,22,119,6.8,23-38,259,378,0-0,3-11,21
400934488,2017,1,regular,Iowa State,Big 12,home,42,2,11,0,3,2,58,0,2,6,34,2,3,0,,6,2,38,2,2,3,30:56,1,0,1,7-74,3.8,35,134,7.5,27-36,271,405,2-2,7-15,24
400934496,2017,1,regular,Eastern Washington,Big Sky,away,10,0,,,,1,60,0,3,4,,,,0,1,7,0,57,2,1,1,27:21,2,1,3,5-55,2.3,36,81,6.1,23-36,220,301,1-2,6-15,19
