gameId,season,week,seasonType,team,conference,homeAway,points,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,fumblesRecovered,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,totalFumbles
401239884,2020,1,regular,Stephen F. Austin,Southland,away,14,5,0,38,1,2,3,1,1,1,39,0,3,2,0,0,1,23:13,1,1,2,5-45,4.2,23,97,6.3,14-21,133,230,1-1,3-8,14,,,,
401239884,2020,1,regular,UTEP,Conference USA,home,24,5,0,25,1,3,0,1,2,1,19,0,2,6,0,0,1,36:47,1,1,2,4-40,4.1,37,152,7.6,17-28,212,364,1-2,8-13,19,,,,
401234576,2020,1,regular,Navy,American Athletic,home,3,4,0,33,0,1,1,0,0,0,20,0,1,3,9,0,1,22:40,0,1,1,6-54,3.1,39,119,3.8,4-8,30,149,0-2,2-12,7,12,0,1,
401234576,2020,1,regular,BYU,FBS Independents,away,55,8,0,32,5,3,2,1,5,2,38,0,2,13,,,,37:20,1,0,1,1-5,6.1,49,301,12.7,16-22,279,580,1-2,6-11,28,-2,0,1,
401235700,2020,1,regular,Army,FBS Independents,home,42,6,1,31,1,3,2,2,5,0,15,0,1,6,43,1,2,35:29,0,0,0,7-74,5.5,62,340,7.0,2-4,28,368,1-1,13-15,24,,,,
401235700,2020,1,regular,Middle Tennessee,Conference USA,away,0,2,0,38,0,1,1,0,0,0,82,0,5,,,,,24:31,2,2,4,5-53,3.1,24,75,4.5,16-24,109,184,2-2,3-9,13,,,,
401207098,2020,1,regular,Houston Christian,Southland,away,31,1,0,41,0,1,4,0,1,3,63,0,5,7,0,0,1,31:41,0,0,0,9-78,3.7,24,89,7.7,39-62,480,569,1-2,8-18,28,0,0,1,
401207098,2020,1,regular,North Texas,Conference USA,home,57,5,0,38,1,4,2,0,4,4,,,,9,,,,22:43,1,0,1,6-48,6.9,52,360,10.6,21-34,361,721,3-3,11-17,33,5,0,2,
401238035,2020,1,regular,Central Arkansas,Southland,away,35,8,1,61,0,1,0,2,1,3,116,0,4,5,34,0,1,,1,2,3,0-0,4.8,21,100,4.2,25-46,193,293,0-0,0-0,0,2,0,2,
401238035,2020,1,regular,UAB,Conference USA,home,45,5,0,39,2,5,5,2,3,3,49,0,3,9,19,0,1,,1,2,3,0-0,4.8,49,233,6.6,24-34,226,459,0-0,0-0,0,-2,0,1,
401237353,2020,1,regular,Eastern Kentucky,OVC,away,0,3,0,40,2,1,2,0,0,0,65,0,4,0,,,,25:37,1,0,1,6-40,2.8,31,86,5.0,10-16,80,166,0-2,3-12,7,,,,
401237353,2020,1,regular,Marshall,Conference USA,home,59,4,0,18,2,3,0,0,3,5,24,0,1,11,-7,0,1,34:03,0,0,0,2-15,5.2,54,282,11.9,22-29,345,627,2-2,7-10,34,12,0,3,
401207101,2020,1,regular,South Alabama,Sun Belt,away,32,5,0,23,2,3,2,0,1,3,27,0,2,8,,,,29:08,2,0,2,4-38,4.3,38,163,12.1,18-30,363,526,2-2,7-12,23,,,,
401207101,2020,1,regular,Southern Miss,Conference USA,home,21,2,0,23,0,1,1,0,2,0,61,0,2,7,23,0,2,30:52,0,0,0,7-49,2.6,37,95,9.8,22-32,314,409,1-2,5-14,20,,,,
401212553,2020,1,regular,Memphis,American Athletic,home,37,5,0,49,3,4,5,1,1,4,24,0,2,7,0,0,2,33:48,1,0,1,12-102,4.7,47,223,7.6,26-36,275,498,1-1,9-17,29,,,,
401212553,2020,1,regular,Arkansas State,Sun Belt,away,24,5,0,49,0,0,1,0,2,1,38,0,2,6,0,0,1,25:27,2,1,3,5-50,3.6,35,125,6.8,28-44,299,424,2-3,6-15,25,,,,
401212484,2020,1,regular,SMU,American Athletic,away,31,7,0,42,2,4,6,1,3,1,43,0,2,7,2,0,1,31:23,2,1,3,7-63,4.0,44,177,10.2,26-36,367,544,0-1,6-14,26,30,0,1,
401212484,2020,1,regular,Texas State,Sun Belt,home,24,5,0,43,1,2,2,1,1,2,19,0,1,6,45,0,2,27:57,1,1,2,4-43,5.0,38,189,5.8,21-39,227,416,2-3,6-16,22,,,,
401236053,2020,2,regular,Arkansas State,Sun Belt,away,35,8,0,44,2,4,3,0,0,5,78,0,2,5,,,,25:44,1,1,2,4-58,4.8,33,159,8.7,25-38,330,489,0-0,6-13,26,,,,
401236053,2020,2,regular,Kansas State,Big 12,home,31,5,0,50,3,2,5,1,2,2,60,0,5,7,0,0,1,34:16,0,0,0,8-85,2.3,39,91,9.4,18-30,283,374,2-2,1-11,21,26,0,3,
401236221,2020,2,regular,Louisiana,Sun Belt,away,31,4,2,46,1,3,5,1,1,1,137,1,3,7,0,0,1,27:41,0,0,0,2-20,3.4,35,118,7.3,13-21,154,272,1-1,6-14,14,89,1,3,
401236221,2020,2,regular,Iowa State,Big 12,home,14,7,0,32,3,1,2,0,2,0,77,0,4,2,,,,32:19,1,1,2,3-24,4.4,36,158,4.1,16-35,145,303,1-3,7-16,18,-3,0,4,
401236039,2020,2,regular,Houston Christian,Southland,away,33,3,0,56,0,2,4,0,0,4,37,0,2,9,15,0,1,26:56,1,0,1,10-60,1.2,24,28,11.2,31-51,572,600,1-2,7-15,28,,,,
401236039,2020,2,regular,Texas Tech,Big 12,home,35,6,0,37,3,8,7,0,3,2,,,,5,1,0,1,33:04,1,0,1,13-104,4.5,43,194,8.3,38-52,430,624,0-1,10-15,35,,,,
401236658,2020,2,regular,Coastal Carolina,Sun Belt,away,38,12,0,53,3,1,3,1,2,3,17,0,1,8,11,0,2,30:25,0,0,0,4-48,4.4,42,185,7.4,11-18,133,318,1-1,8-14,19,,,,
401236658,2020,2,regular,Kansas,Big 12,home,23,2,0,45,0,0,3,0,1,2,95,0,4,3,,,,29:35,2,1,3,5-35,4.7,38,178,5.4,21-35,189,367,2-3,4-11,23,,,,
401236038,2020,2,regular,Eastern Kentucky,OVC,away,10,5,0,63,0,0,2,0,0,1,101,0,6,4,,,,24:17,1,0,1,8-65,2.3,32,75,7.7,9-17,131,206,0-0,1-11,9,,,,
401236038,2020,2,regular,West Virginia,Big 12,home,56,9,0,33,4,0,1,0,5,3,45,0,2,8,0,0,1,35:43,0,0,0,8-85,6.5,51,329,8.4,25-35,295,624,1-2,8-13,31,21,0,6,
401236222,2020,2,regular,Texas,Big 12,home,59,8,0,36,2,2,5,0,1,7,22,0,1,11,0,0,1,24:33,0,0,0,6-60,6.7,31,209,11.7,29-41,481,690,0-1,5-10,28,18,0,4,
401236222,2020,2,regular,UTEP,Conference USA,away,3,2,0,33,0,1,2,0,0,0,13,0,1,3,,,,34:17,1,0,1,7-44,1.7,32,53,4.9,19-39,190,243,1-3,3-16,14,-1,0,1,
401207113,2020,2,regular,Texas State,Sun Belt,home,48,8,1,43,1,0,2,0,2,4,115,0,5,6,,,,28:28,2,0,2,6-55,3.4,37,125,8.7,27-40,349,474,1-2,5-15,26,149,1,4,
401207113,2020,2,regular,UTSA,Conference USA,away,51,14,1,40,5,3,1,0,4,1,30,0,2,15,84,1,2,30:16,0,0,0,11-126,6.5,51,330,5.5,23-31,169,499,0-0,7-17,24,16,0,3,
401234564,2020,2,regular,Louisville,ACC,home,35,10,0,32,3,3,2,1,2,3,17,0,2,5,,,,32:33,1,1,2,3-30,3.8,38,144,10.1,19-34,343,487,1-3,9-16,22,7,0,1,
401234564,2020,2,regular,Western Kentucky,Conference USA,away,21,10,0,45,1,2,2,1,2,1,39,0,2,3,0,0,1,27:27,0,1,1,4-23,3.4,35,119,5.6,10-23,129,248,1-3,4-12,12,23,0,1,
401236081,2020,2,regular,App State,Sun Belt,home,35,6,0,28,1,5,7,0,4,1,,,,5,44,0,2,31:23,1,2,3,7-65,6.2,50,308,9.7,14-21,204,512,0-1,6-10,29,1,0,2,
401236081,2020,2,regular,Charlotte,Conference USA,away,20,5,1,32,0,0,0,2,1,0,147,1,5,8,-2,0,1,28:37,2,0,2,5-63,4.9,30,146,4.7,11-30,140,286,0-1,4-14,16,7,0,1,
401234559,2020,2,regular,Miami,ACC,home,31,6,0,22,1,6,7,0,3,1,41,0,2,7,,,,30:09,0,1,1,3-30,6.8,51,345,5.9,18-27,158,503,2-2,7-17,25,20,0,3,
401234559,2020,2,regular,UAB,Conference USA,away,14,8,0,50,2,2,1,1,1,1,,,,2,,,,29:04,0,0,0,11-74,3.1,26,80,5.9,19-35,205,285,0-0,3-15,14,,,,
401240233,2020,2,regular,Pittsburgh,ACC,home,55,8,1,33,3,3,5,0,6,1,9,0,1,7,0,0,2,34:45,0,0,0,4-30,4.2,35,147,11.0,19-28,309,456,0-1,6-10,20,39,1,2,
401240233,2020,2,regular,Austin Peay,OVC,away,0,6,0,37,1,1,2,0,0,0,93,0,5,0,,,,29:47,2,0,2,5-28,0.5,21,10,4.1,16-33,136,146,1-1,4-16,7,8,0,1,
401215298,2020,2,regular,Georgia Southern,Sun Belt,home,27,5,0,30,2,2,1,0,2,1,43,0,2,9,,,,33:49,0,1,1,5-27,5.8,49,284,4.1,8-15,62,346,1-2,4-11,20,0,0,1,
