gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns
401281946,2021,1,regular,Clemson,ACC,home,3,0,0,18,0,1,3,3,0,1,1,2,4,0,35,1,2,3,28:31,1,0,1,7-59,0.1,23,2,4.8,19-37,178,180,0-1,5-16,14,,,
401281946,2021,1,regular,Georgia,SEC,away,10,0,0,25,0,1,4,74,1,1,0,2,8,1,27,7,2,4,31:29,1,1,2,10-94,3.9,31,121,4.5,22-30,135,256,0-0,7-15,15,13,0,2
401281945,2021,1,regular,Florida Atlantic,Conference USA,away,14,1,1,61,0,3,2,0,0,2,0,2,4,0,35,0,0,4,29:42,0,2,2,6-28,2.5,37,92,7.9,19-33,261,353,0-2,5-12,23,-1,0,1
401281945,2021,1,regular,Florida,SEC,home,35,4,1,0,0,1,5,,,,2,0,6,0,35,6,8,1,30:18,2,0,2,9-91,8.7,46,400,4.4,20-35,153,553,1-2,10-16,26,50,0,3
401281952,2021,1,regular,Bowling Green,Mid-American,away,6,0,0,96,0,5,6,,,,2,1,4,0,56,3,0,0,33:53,0,0,0,11-80,1.4,23,32,4.9,25-38,187,219,0-2,2-14,11,,,
401281952,2021,1,regular,Tennessee,SEC,home,38,4,1,71,0,3,8,,,,0,2,11,0,32,2,3,6,26:07,0,2,2,5-45,5.2,64,331,6.0,12-24,144,475,1-3,7-15,31,12,0,3
401281951,2021,1,regular,Eastern Illinois,OVC,away,0,0,0,21,0,1,,,,,1,0,5,0,45,1,2,1,25:20,2,0,2,5-41,1.4,22,31,3.5,13-22,78,109,1-1,0-9,9,,,
401281951,2021,1,regular,South Carolina,SEC,home,46,1,4,3,0,1,8,66,1,2,0,1,5,1,28,2,3,1,34:40,0,1,1,8-61,5.4,47,254,6.9,18-27,185,439,3-3,7-13,22,3,0,2
401281947,2021,1,regular,UL Monroe,Sun Belt,away,10,1,0,,,,4,0,0,1,3,0,4,0,35,4,3,2,28:13,0,0,0,3-25,0.4,43,17,3.5,11-20,70,87,1-1,6-19,12,,,
401281947,2021,1,regular,Kentucky,SEC,home,45,2,4,28,0,2,9,,,,0,5,14,0,37,6,2,2,31:47,1,2,3,7-65,4.3,34,145,12.7,22-33,419,564,0-1,6-11,24,9,0,3
401282054,2021,1,regular,East Tennessee State,Southern,away,23,0,1,,,,11,95,0,2,2,0,4,0,41,2,3,5,32:47,0,0,0,7-75,4.8,37,179,6.1,13-22,135,314,0-1,6-15,13,,,
401282054,2021,1,regular,Vanderbilt,SEC,home,3,0,0,51,0,3,3,,,,0,1,4,0,36,0,2,4,27:13,2,1,3,8-70,2.7,31,85,5.4,24-44,236,321,1-2,5-15,23,,,
401282612,2021,1,regular,Pittsburgh,ACC,home,51,5,2,47,0,1,9,,,,1,3,6,0,32,5,9,4,30:48,0,2,2,3-30,5.4,41,223,8.3,34-45,375,598,1-2,8-13,35,-1,0,5
401282612,2021,1,regular,Massachusetts,FBS Independents,away,7,1,0,67,0,5,1,,,,2,1,3,0,50,1,1,4,29:12,0,1,1,6-66,1.6,27,42,5.4,14-31,167,209,0-0,3-13,11,,,
401287890,2021,1,regular,Missouri State,MVFC,away,16,0,1,68,0,3,10,0,0,1,1,0,6,0,31,1,4,3,35:30,0,2,2,8-57,2.8,37,102,5.1,24-46,234,336,0-2,6-18,23,5,0,2
401287890,2021,1,regular,Oklahoma State,Big 12,home,23,2,1,36,0,2,5,,,,2,2,9,0,43,5,11,3,24:30,1,1,2,10-68,1.9,28,54,7.9,22-40,315,369,0-1,7-16,16,15,0,3
401287889,2021,1,regular,Stanford,Pac-12,away,7,0,1,21,0,1,1,0,0,1,0,1,6,0,31,3,1,0,32:53,2,0,2,9-65,1.8,22,39,6.5,23-30,194,233,1-1,4-12,14,,,
401287889,2021,1,regular,Kansas State,Big 12,home,24,3,0,,,,6,37,0,2,0,,8,0,33,4,0,2,27:07,1,0,1,9-80,6.5,31,200,10.3,9-14,144,344,1-1,2-7,15,9,0,2
401287893,2021,1,regular,Texas State,Sun Belt,home,20,1,1,,,,8,,,,1,1,5,0,38,0,2,0,25:12,3,0,3,3-25,2.9,27,79,3.9,20-40,156,235,1-1,4-14,20,,,
401287893,2021,1,regular,Baylor,Big 12,away,29,2,0,40,0,2,9,40,1,3,0,2,7,1,24,1,5,3,34:48,0,1,1,11-99,5.3,45,238,6.2,15-24,148,386,1-2,5-13,22,-1,0,1
401287887,2021,1,regular,Northern Iowa,MVFC,away,10,0,1,16,0,1,4,,,,0,,4,0,37,1,1,0,28:48,2,0,2,5-28,1.7,26,45,6.8,21-34,230,275,1-2,8-17,13,9,0,1
401287887,2021,1,regular,Iowa State,Big 12,home,16,1,0,21,0,1,10,15,0,2,0,2,5,0,35,2,8,2,31:12,0,0,0,4-31,4.0,34,136,7.7,21-26,199,335,0-0,5-14,17,,,
401287886,2021,1,regular,Houston,American Athletic,home,21,1,2,66,0,3,3,,,,1,1,5,0,37,3,4,2,36:37,4,0,4,6-50,2.2,35,77,4.6,27-38,174,251,5-5,6-18,15,13,0,2
401287886,2021,1,regular,Texas Tech,Big 12,away,38,3,1,28,0,2,8,13,1,4,0,2,9,1,53,4,0,3,23:23,0,1,1,6-47,5.2,28,145,9.6,17-24,231,376,0-0,4-10,15,32,0,4
401287888,2021,1,regular,South Dakota,MVFC,away,14,2,0,23,0,1,2,,,,0,3,9,0,48,1,0,2,25:53,0,0,0,8-40,4.0,41,165,4.5,10-22,98,263,0-3,3-13,14,,,
401287888,2021,1,regular,Kansas,Big 12,home,17,0,2,110,0,2,5,,,,0,,4,0,43,1,2,5,34:09,0,0,0,7-51,2.0,41,82,6.3,17-26,163,245,1-3,5-17,13,,,
401287891,2021,1,regular,Duquesne,NEC,away,3,0,0,12,0,1,3,1,0,1,0,1,2,0,34,0,0,2,29:19,1,1,2,5-41,2.1,29,61,6.3,3-12,76,137,0-1,3-11,6,2,0,1
401287891,2021,1,regular,TCU,Big 12,home,45,4,2,69,0,2,9,0,0,1,1,0,6,0,26,1,3,2,30:41,1,0,1,5-45,4.7,38,178,10.5,18-24,253,431,1-1,6-11,26,23,0,2
401282764,2021,1,regular,Maryland,Big Ten,home,30,0,3,45,0,3,12,5,0,2,2,1,5,0,36,3,3,6,34:03,0,0,0,5-39,3.7,44,164,9.2,26-36,332,496,1-2,8-20,22,2,0,1
401282764,2021,1,regular,West Virginia,Big 12,away,24,2,1,217,0,5,6,,,,0,3,9,0,53,1,1,4,25:57,2,2,4,4-20,2.3,21,48,6.9,24-40,277,325,1-1,6-14,18,-2,0,2
401282049,2021,1,regular,New Mexico State,FBS Independents,home,3,0,0,,,,3,37,0,2,0,2,5,0,35,0,2,1,27:31,0,1,1,9-85,2.7,34,91,2.8,9-33,92,183,2-6,3-15,20,,,
401282049,2021,1,regular,UTEP,Conference USA,away,30,2,1,,,,12,,,,2,0,7,0,29,4,4,5,32:29,2,0,2,12-145,4.8,42,203,12.5,11-20,249,452,2-3,3-12,19,6,0,2
401282178,2021,1,regular,Bethune-Cookman,SWAC,away,28,2,2,24,0,2,4,,,,2,2,5,0,48,2,1,2,24:26,1,1,2,12-102,4.7,25,118,9.8,15-22,215,333,0-0,2-8,12,-4,0,2
401282178,2021,1,regular,UTEP,Conference USA,home,38,2,3,50,0,3,8,27,0,1,2,2,6,0,29,2,1,2,35:34,0,1,1,12-113,5.7,51,289,8.0,14-23,183,472,2-2,4-11,24,-4,0,1
401281943,2021,1,regular,Arkansas,SEC,home,38,4,1,108,0,4,8,88,0,3,0,2,6.5,0,24,2,5,3,26:06,1,0,1,13-117,5.6,44,245,6.1,12-21,128,373,0-1,3-11,18,4,0,1
401281943,2021,1,regular,Rice,Conference USA,away,17,1,1,16,0,1,5,0,0,1,0,1,3,0,30,2,2,1,33:54,3,0,3,10-60,2.1,39,81,6.7,17-34,227,308,1-2,4-15,19,19,0,2
401309838,2021,1,regular,Fresno State,Mountain West,away,24,1,1,15,0,1,10,,,,1,5,8,0,43,3,0,3,30:33,0,3,3,8-63,2.6,30,77,6.9,30-43,298,375,0-1,7-15,23,,,
401309838,2021,1,regular,Oregon,Pac-12,home,31,3,1,107,0,6,7,,,,4,2,8,0,35,4,0,0,29:27,0,1,1,8-87,3.8,49,186,7.2,15-24,172,358,2-3,7-16,20,17,0,1
401309839,2021,1,regular,Montana,Big Sky,away,13,1,0,23,0,1,7,3,0,3,0,,8,0,39,3,0,2,28:32,0,0,0,7-81,3.7,34,127,4.6,12-23,105,232,0-1,2-13,10,45,0,2
401309839,2021,1,regular,Washington,Pac-12,home,7,1,0,52,0,4,1,,,,0,,5,0,39,1,0,5,31:28,3,0,3,3-30,2.4,27,65,4.9,27-46,226,291,1-3,4-14,21,9,0,1
