gameId,season,week,seasonType,team,conference,homeAway,points,rushingTDs,passingTDs,kickReturnYards,kickReturnTDs,kickReturns,kickingPoints,interceptionYards,interceptionTDs,passesIntercepted,fumblesRecovered,totalFumbles,possessionTime,interceptions,fumblesLost,turnovers,totalPenaltiesYards,yardsPerRushAttempt,rushingAttempts,rushingYards,yardsPerPass,completionAttempts,netPassingYards,totalYards,fourthDownEff,thirdDownEff,firstDowns,puntReturnYards,puntReturnTDs,puntReturns,tacklesForLoss,defensiveTDs,tackles,sacks,qbHurries,passesDeflected
401540244,2023,1,regular,Lamar,Southland,home,17,1,1,82,0,4,5,0,0,1,1,1,29:44,1,0,1,5-35,2.3,31,71,5.0,15-24,119,190,0-0,6-13,16,,,,,,,,,
401540244,2023,1,regular,Idaho,Big Sky,away,42,2,4,0,0,1,4,13,0,1,0,3,30:16,1,1,2,8-101,7.6,36,273,10.7,16-21,224,497,0-0,6-9,20,26,0,3,,,,,,
401520154,2023,1,regular,UT Martin,Big South-OVC,away,7,0,1,7,0,1,1,,,,0,1,29:35,1,0,1,10-72,4.6,29,134,3.9,18-33,128,262,1-1,2-14,15,,,,4,0,45,0,0,3
401520154,2023,1,regular,Georgia,SEC,home,48,3,2,31,0,1,12,26,1,1,0,1,30:25,0,0,0,5-42,5.3,30,159,10.3,26-39,400,559,0-0,5-12,28,19,0,2,4,1,28,1,0,2
401520176,2023,1,regular,Utah,Pac-12,home,24,2,1,16,0,1,6,2,0,1,0,1,28:08,0,0,0,5-37,3.5,30,105,7.2,15-23,165,270,0-0,3-13,14,5,0,3,7,0,37,5,0,4
401520176,2023,1,regular,Florida,SEC,away,11,0,1,47,0,2,3,,,,0,1,31:52,1,0,1,9-46,0.6,21,13,7.6,31-44,333,346,2-5,1-13,17,5,0,2,4,0,29,0,2,2
401520179,2023,1,regular,Virginia,ACC,away,13,1,0,21,0,1,7,,,,1,0,32:54,0,0,0,2-10,2.4,40,95,4.4,11-24,106,201,0-1,5-18,12,,,,1,0,54,1,0,5
401520179,2023,1,regular,Tennessee,SEC,home,49,5,2,34,0,1,7,,,,0,1,27:06,0,1,1,4-35,5.5,52,287,6.4,23-33,212,499,2-3,5-13,29,105,0,3,11,0,32,4,2,5
401520167,2023,1,regular,North Carolina,ACC,home,31,2,2,16,0,1,7,,,,0,,32:37,2,0,2,7-49,4.3,39,168,8.4,24-32,269,437,1-2,8-13,21,,,,16,0,46,9,0,1
401520167,2023,1,regular,South Carolina,SEC,away,17,2,0,43,0,2,5,22,0,2,0,,27:23,0,0,0,6-35,-0.1,31,-2,9.1,30-39,353,351,0-4,4-14,20,,,,1,0,32,0,2,1
401520159,2023,1,regular,Ball State,Mid-American,away,14,1,1,,,,2,0,0,1,0,3,38:16,0,2,2,4-26,1.8,41,72,7.4,22-30,223,295,1-2,9-17,18,3,0,1,3,0,27,1,2,2
401520159,2023,1,regular,Kentucky,SEC,home,44,2,1,117,1,2,14,,,,2,0,21:44,1,0,1,7-51,5.7,20,113,7.8,18-31,241,354,0-1,4-9,17,27,0,2,8,1,44,3,1,1
401520147,2023,1,regular,Hawai'i,Mountain West,away,28,1,3,90,0,4,4,,,,0,1,31:22,2,0,2,7-59,1.6,25,40,10.0,27-35,351,391,3-4,3-11,19,,,,9,0,35,3,2,6
401520147,2023,1,regular,Vanderbilt,SEC,home,35,1,3,97,1,1,3,9,0,2,0,,28:38,0,0,0,8-72,1.5,26,39,8.6,19-30,258,297,1-3,5-12,17,27,0,1,8,1,37,3,4,4
401520178,2023,1,regular,Alabama A&M,SWAC,away,13,0,1,50,0,3,7,8,0,1,0,,32:22,1,0,1,9-50,4.1,33,135,4.2,18-34,143,278,1-1,6-18,14,,,,4,0,37,1,1,6
401520178,2023,1,regular,Vanderbilt,SEC,home,47,3,3,69,0,3,9,5,0,1,0,,27:38,1,0,1,3-20,6.3,34,215,7.9,17-31,246,461,0-1,9-14,24,96,0,6,7,0,30,2,3,2
401525450,2023,1,regular,New Mexico State,Conference USA,home,30,1,3,38,0,2,6,,,,0,1,31:45,2,1,3,3-40,5.8,38,222,9.2,16-27,248,470,1-1,2-9,22,7,0,1,4,0,33,0,2,4
401525450,2023,1,regular,Massachusetts,FBS Independents,away,41,4,0,6,0,1,11,55,1,2,1,0,28:15,0,0,0,8-69,5.3,37,197,11.3,10-17,192,389,1-1,4-12,17,,,,4,1,42,3,0,2
401520151,2023,1,regular,Auburn,SEC,home,59,6,1,86,0,3,11,50,1,1,1,0,30:35,0,0,0,4-40,6.6,44,289,8.1,14-25,203,492,0-1,6-10,27,67,0,2,7,1,32,4,6,0
401520151,2023,1,regular,Massachusetts,FBS Independents,away,14,1,1,55,0,3,2,,,,0,1,29:25,1,1,2,9-73,5.2,27,140,6.7,14-24,161,301,0-2,1-9,11,17,0,1,4,0,42,1,2,4
401525823,2023,1,regular,Central Arkansas,UAC,away,13,0,2,31,0,2,1,0,0,1,0,1,27:30,0,1,1,9-63,4.4,28,123,7.2,24-37,268,391,0-0,5-13,19,5,0,2,4,0,35,1,4,3
401525823,2023,1,regular,Oklahoma State,Big 12,home,27,2,1,25,0,2,9,,,,1,0,32:30,1,0,1,5-41,4.8,31,149,6.3,30-48,304,453,1-2,6-15,24,0,0,1,9,0,42,5,1,5
401525821,2023,1,regular,Southeast Missouri State,Big South-OVC,away,0,0,0,37,0,2,,20,0,1,0,,30:35,0,0,0,5-65,0.2,26,6,6.0,25-37,221,227,0-2,4-14,13,,,,3,0,45,0,1,1
