id,athleteId,recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country,hometownInfo
106192,5141741,HighSchool,2025,1.0,Bryce Underwood,Belleville,Michigan,QB,75.5,205.0,5.0,0.9998,Belleville,MI,USA,"{'latitude': 42.2048414, 'longitude': -83.4852106, 'fipsCode': '17163'}"
106193,5141629,HighSchool,2025,2.0,Keelon Russell,Duncanville,Alabama,QB,75.0,175.0,5.0,0.9997,Duncanville,TX,USA,"{'latitude': 32.6518004, 'longitude': -96.9083366, 'fipsCode': '48113'}"
106194,5141464,HighSchool,2025,3.0,Elijah Griffin,Savannah Christian Prep,Georgia,DL,77.0,300.0,5.0,0.9992,Savannah,GA,USA,"{'latitude': 32.0809263, 'longitude': -81.0911768, 'fipsCode': '13051'}"
106195,5141586,HighSchool,2025,4.0,Dakorien Moore,Duncanville,Oregon,WR,71.0,182.0,5.0,0.9981,Duncanville,TX,USA,"{'latitude': 32.6518004, 'longitude': -96.9083366, 'fipsCode': '48113'}"
106196,5141430,HighSchool,2025,5.0,Michael Fasusi,Lewisville,Oklahoma,OT,77.0,295.0,5.0,0.9977,Lewisville,TX,USA,"{'latitude': 33.046233, 'longitude': -96.994174, 'fipsCode': '48121'}"
106197,5141662,HighSchool,2025,6.0,David Sanders Jr.,Providence Day School,Tennessee,OT,78.0,290.0,5.0,0.9973,Charlotte,NC,USA,"{'latitude': 35.2272, 'longitude': -80.843083, 'fipsCode': '37119'}"
106198,5146824,HighSchool,2025,7.0,Tavien St. Clair,Bellefontaine,Ohio State,QB,76.0,225.0,5.0,0.9968,Bellefontaine,OH,USA,"{'latitude': 40.3611643, 'longitude': -83.7596557, 'fipsCode': '39091'}"
106199,5141635,HighSchool,2025,8.0,Devin Sanchez,North Shore,Ohio State,CB,74.0,180.0,5.0,0.9965,Houston,TX,USA,"{'latitude': 29.7589382, 'longitude': -95.3676974, 'fipsCode': '48201'}"
106200,5142611,HighSchool,2025,9.0,Isaiah Gibson,Warner Robins,Georgia,EDGE,75.5,270.0,5.0,0.9962,Warner Robins,GA,USA,"{'latitude': 32.6200973, 'longitude': -83.606568, 'fipsCode': '13153'}"
106201,5141717,HighSchool,2025,10.0,Jonah Williams,Galveston Ball,Texas,S,75.0,203.0,5.0,0.9962,Galveston,TX,USA,"{'latitude': 29.299328, 'longitude': -94.7945882, 'fipsCode': '48167'}"
106202,5141632,HighSchool,2025,11.0,DJ Pickett,Zephyrhills,LSU,CB,76.0,178.0,5.0,0.9943,Tampa,FL,USA,"{'latitude': 27.9477595, 'longitude': -82.458444, 'fipsCode': '12057'}"
106203,5141732,HighSchool,2025,12.0,Justus Terry,Manchester,Texas,DL,77.0,290.0,5.0,0.9939,Manchester,GA,USA,"{'latitude': 32.8598538, 'longitude': -84.6199251, 'fipsCode': '13199'}"
106204,5141617,HighSchool,2025,13.0,Na'eem Offord,Parker,Oregon,CB,73.0,185.0,5.0,0.9936,Birmingham,AL,USA,"{'latitude': 33.5206824, 'longitude': -86.8024326, 'fipsCode': '01073'}"
106205,5141562,HighSchool,2025,14.0,Dijon Lee Jr.,Mission Viejo,Alabama,CB,76.0,190.0,5.0,0.9926,Mission Viejo,CA,USA,"{'latitude': 33.5965685, 'longitude': -117.659405, 'fipsCode': '06059'}"
106206,5122231,HighSchool,2025,15.0,Harlem Berry,St. Martin's Episcopal School,LSU,RB,71.0,175.0,5.0,0.9919,Metairie,LA,USA,"{'latitude': 30.001852, 'longitude': -90.1767149159888, 'fipsCode': '22051'}"
106207,5142589,HighSchool,2025,16.0,Andrew Babalola,Blue Valley Northwest,Michigan,OT,78.0,290.0,5.0,0.9914,Overland Park,KS,USA,"{'latitude': 38.9742502, 'longitude': -94.6851702, 'fipsCode': '20091'}"
106208,5164635,HighSchool,2025,17.0,Michael Carroll,IMG Academy,Alabama,IOL,78.0,315.0,5.0,0.9909,Bradenton,FL,USA,"{'latitude': 27.4989278, 'longitude': -82.5748194, 'fipsCode': '12081'}"
106209,5141524,HighSchool,2025,18.0,Kaliq Lockett,Sachse,Texas,WR,74.0,175.0,5.0,0.9908,Sachse,TX,USA,"{'latitude': 32.9762327, 'longitude': -96.5952703, 'fipsCode': '48113'}"
106210,5148650,HighSchool,2025,19.0,Jerome Myles,Corner Canyon,Texas A&M,WR,75.0,215.0,5.0,0.9884,Draper,UT,USA,"{'latitude': 40.5246711, 'longitude': -111.8638226, 'fipsCode': '49035'}"
