season,team,conference,totalPPA,totalPassingPPA,totalReceivingPPA,totalRushingPPA,percentPPA,percentPassingPPA,percentReceivingPPA,percentRushingPPA,usage,passingUsage,receivingUsage,rushingUsage
2020,Air Force,Mountain West,99.1,0.0,2.4,96.7,0.243,0.0,0.019,0.518,0.365,0.0,0.095,0.469
2020,Akron,Mid-American,83.1,8.6,80.4,-6.0,1.511,-0.796,0.763,0.153,0.811,0.93,0.827,0.588
2020,Alabama,SEC,343.4,106.4,154.9,82.1,0.501,0.412,0.474,0.816,0.593,0.368,0.532,0.877
2020,App State,Sun Belt,358.7,140.0,148.2,70.5,0.804,0.978,0.822,0.575,0.757,0.992,0.836,0.557
2020,Arizona,Pac-12,247.7,35.6,166.4,45.7,0.64,0.371,0.846,0.483,0.516,0.373,0.77,0.458
2020,Arizona State,Pac-12,195.0,104.1,61.4,29.4,0.596,0.921,0.327,1.122,0.511,0.893,0.322,0.278
2020,Arkansas,SEC,110.7,-17.9,87.8,40.9,0.667,-0.877,0.834,1.023,0.505,0.222,0.653,0.726
2020,Arkansas State,Sun Belt,314.8,164.4,111.2,39.2,0.633,0.983,0.384,0.973,0.8,0.988,0.43,0.929
2020,Army,FBS Independents,174.6,4.0,43.7,126.9,0.654,0.889,0.817,0.607,0.515,0.4,0.806,0.498
2020,Auburn,SEC,285.6,119.8,117.0,48.9,0.73,0.983,0.626,0.595,0.71,0.98,0.711,0.496
2020,Ball State,Mid-American,319.1,120.6,127.9,70.7,0.763,1.0,0.676,0.652,0.776,1.0,0.614,0.707
2020,Baylor,Big 12,340.2,128.1,140.1,72.1,0.791,0.942,0.652,0.905,0.781,0.994,0.554,0.755
2020,Boise State,Mountain West,335.9,95.8,178.3,61.8,0.693,0.617,0.728,0.731,0.73,0.688,0.632,0.861
2020,Boston College,ACC,191.3,44.8,109.3,37.2,0.465,0.358,0.621,0.339,0.514,0.559,0.658,0.438
2020,Bowling Green,Mid-American,91.2,-8.8,97.6,2.4,0.829,0.793,1.0,0.103,0.723,0.394,1.0,0.808
2020,Buffalo,Mid-American,303.5,46.4,111.8,145.3,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,BYU,FBS Independents,293.0,129.8,102.8,60.4,0.669,0.913,0.453,0.878,0.728,0.963,0.487,0.689
2020,California,Pac-12,250.9,66.1,130.7,54.1,0.887,1.0,0.807,0.989,0.906,1.0,0.798,0.894
2020,Central Michigan,Mid-American,347.4,123.4,191.3,32.7,0.888,1.0,0.99,0.442,0.862,1.0,0.901,0.641
2020,Charlotte,Conference USA,338.7,107.8,166.6,64.4,0.836,0.984,0.856,0.636,0.696,0.91,0.843,0.466
2020,Cincinnati,American Athletic,237.4,70.7,85.8,80.8,0.673,0.888,0.514,0.761,0.612,0.993,0.378,0.464
2020,Clemson,ACC,521.0,166.8,155.1,199.1,0.764,0.852,0.561,0.95,0.849,0.833,0.717,0.972
2020,Coastal Carolina,Sun Belt,279.2,92.1,112.4,74.7,0.798,1.0,0.665,0.836,0.82,1.0,0.602,0.819
2020,Colorado,Pac-12,89.6,2.3,70.5,16.9,0.258,0.022,0.389,0.28,0.443,0.007,0.547,0.815
2020,Colorado State,Mountain West,338.7,131.1,204.4,3.2,0.773,0.778,0.836,0.129,0.751,0.785,0.813,0.639
2020,Duke,ACC,59.2,-5.0,70.9,-6.8,0.377,-0.362,0.615,-0.243,0.476,0.047,0.741,0.667
2020,East Carolina,American Athletic,366.3,150.2,222.5,-6.4,1.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Eastern Michigan,Mid-American,161.8,22.1,135.4,4.3,0.364,0.132,0.56,0.123,0.297,0.15,0.535,0.222
2020,Florida,SEC,297.3,154.7,126.3,16.3,0.572,0.777,0.441,0.475,0.631,0.845,0.442,0.559
2020,Florida Atlantic,Conference USA,135.2,8.6,64.6,61.9,0.272,0.05,0.252,0.9,0.385,0.061,0.289,0.802
2020,Florida International,Conference USA,56.9,3.5,38.1,15.3,0.178,0.034,0.255,0.231,0.233,0.072,0.385,0.261
2020,Florida State,ACC,244.8,80.8,140.8,23.2,0.623,0.704,0.639,0.401,0.527,0.689,0.606,0.271
2020,Fresno State,Mountain West,163.4,4.4,119.8,39.2,0.472,0.047,0.676,0.522,0.403,0.018,0.68,0.574
2020,Georgia,SEC,144.1,12.1,113.4,18.5,0.356,0.096,0.542,0.263,0.304,0.07,0.567,0.318
2020,Georgia Southern,Sun Belt,148.8,9.6,24.3,114.8,0.818,0.906,0.433,1.0,0.966,0.995,0.728,1.0
2020,Georgia State,Sun Belt,155.4,-2.1,123.8,33.7,0.427,-0.024,0.787,0.286,0.361,0.083,0.837,0.279
2020,Georgia Tech,ACC,142.2,13.9,77.5,50.8,0.994,1.986,0.843,1.147,0.888,0.861,0.832,0.934
2020,Hawai'i,Mountain West,264.2,27.4,176.8,60.0,0.481,0.139,0.69,0.63,0.497,0.198,0.687,0.774
2020,Houston,American Athletic,219.4,59.9,118.6,40.9,0.784,1.235,0.83,0.46,0.757,0.651,0.922,0.738
2020,Illinois,Big Ten,204.9,58.3,125.0,21.6,0.836,1.0,0.815,0.647,0.711,1.0,0.77,0.409
2020,Indiana,Big Ten,249.7,49.3,163.4,36.9,0.593,0.347,0.739,0.634,0.594,0.349,0.734,0.738
2020,Iowa,Big Ten,189.5,0.4,173.1,16.0,0.581,0.004,0.963,0.34,0.522,0.025,0.938,0.665
2020,Iowa State,Big 12,381.0,181.8,165.5,33.7,0.754,0.971,0.583,0.988,0.817,0.984,0.561,0.885
2020,Kansas,Big 12,125.1,-3.1,110.5,17.7,0.431,-0.025,0.764,0.76,0.439,0.002,0.78,0.66
2020,Kansas State,Big 12,251.8,111.2,90.2,50.4,0.754,1.016,0.598,0.686,0.684,0.988,0.611,0.514
2020,Kent State,Mid-American,297.8,114.1,102.4,81.3,0.803,0.984,0.579,1.04,0.701,0.995,0.547,0.567
2020,Kentucky,SEC,122.2,11.8,29.2,81.2,0.52,1.71,0.49,0.481,0.657,0.695,0.579,0.665
2020,Liberty,FBS Independents,145.8,-2.6,116.7,31.7,0.316,-0.015,0.526,0.468,0.302,0.017,0.501,0.448
2020,Louisiana,Sun Belt,424.9,152.1,138.4,134.4,0.729,0.921,0.572,0.765,0.783,0.988,0.566,0.763
2020,Louisiana Tech,Conference USA,198.7,3.6,160.2,34.9,0.46,0.026,0.727,0.479,0.53,0.195,0.799,0.651
2020,Louisville,ACC,391.3,149.0,153.1,89.2,0.912,0.963,0.828,1.0,0.961,0.997,0.786,1.0
2020,LSU,SEC,232.8,40.7,186.2,6.0,0.252,0.112,0.425,0.05,0.273,0.083,0.437,0.328
2020,Marshall,Conference USA,148.9,-0.3,82.2,67.0,0.515,-0.005,0.595,0.754,0.491,0.008,0.637,0.771
2020,Maryland,Big Ten,87.4,2.7,67.0,17.7,0.638,-0.189,0.818,0.254,0.517,0.665,0.61,0.318
2020,Massachusetts,FBS Independents,-5.5,-13.5,41.1,-33.1,-0.056,3.971,0.464,-2.546,0.494,0.457,0.63,0.426
2020,Memphis,American Athletic,463.9,226.2,182.0,55.7,0.743,0.996,0.596,0.609,0.78,0.994,0.566,0.75
2020,Miami,ACC,183.9,22.2,144.0,17.7,0.554,0.25,0.684,0.543,0.476,0.362,0.573,0.533
2020,Miami (OH),Mid-American,160.3,39.3,97.2,23.9,0.794,1.037,0.709,0.902,0.859,0.938,0.714,0.881
2020,Michigan,Big Ten,151.1,12.2,89.8,49.2,0.4,0.104,0.442,0.842,0.443,0.065,0.483,0.765
2020,Michigan State,Big Ten,40.4,-1.2,65.9,-24.3,0.149,-0.015,0.339,8.379,0.396,0.05,0.453,0.724
2020,Middle Tennessee,Conference USA,272.5,105.7,121.8,45.1,0.779,1.0,0.695,0.657,0.833,1.0,0.628,0.836
2020,Minnesota,Big Ten,392.0,204.5,151.2,36.3,0.727,0.986,0.581,0.507,0.632,0.997,0.582,0.414
2020,Mississippi State,SEC,180.8,33.8,59.6,87.5,0.495,0.465,0.396,0.618,0.585,0.486,0.429,0.738
2020,Missouri,SEC,78.9,3.1,62.2,13.6,0.292,0.04,0.381,0.474,0.519,0.226,0.503,0.794
2020,Navy,American Athletic,208.2,6.8,82.1,119.3,0.491,0.129,0.916,0.423,0.553,0.145,0.935,0.578
2020,NC State,ACC,159.7,13.1,103.6,43.1,0.6,0.169,0.822,0.694,0.712,0.517,0.867,0.861
2020,Nebraska,Big Ten,167.9,47.6,57.1,63.3,0.624,0.885,0.433,0.76,0.729,0.817,0.504,0.794
2020,Nevada,Mountain West,194.6,52.1,115.2,27.4,0.748,0.883,0.723,0.665,0.706,0.757,0.63,0.724
2020,New Mexico,Mountain West,132.7,22.2,70.1,40.4,0.626,0.768,0.596,0.619,0.71,0.771,0.823,0.602
2020,New Mexico State,FBS Independents,53.7,4.0,48.6,1.2,0.236,0.151,0.334,0.022,0.094,0.002,0.268,0.026
2020,North Carolina,ACC,502.3,182.1,257.3,62.8,0.939,0.98,0.957,0.778,0.95,0.991,0.963,0.9
2020,Northern Illinois,Mid-American,157.5,75.3,89.7,-7.5,0.603,0.888,0.616,-0.243,0.543,0.779,0.62,0.262
2020,North Texas,Conference USA,186.8,4.1,174.2,8.5,0.493,0.029,0.727,-2.073,0.508,0.084,0.772,0.774
2020,Northwestern,Big Ten,88.3,-8.9,59.8,37.4,0.841,1.0,0.776,1.022,0.969,1.0,0.926,0.97
2020,Notre Dame,FBS Independents,278.2,134.1,93.4,50.7,0.591,0.83,0.422,0.578,0.64,0.951,0.32,0.602
2020,Ohio,Mid-American,232.8,3.9,165.2,63.7,0.536,0.035,0.918,0.444,0.566,0.008,0.96,0.725
2020,Ohio State,Big Ten,452.6,198.1,158.0,96.5,0.623,0.869,0.518,0.502,0.615,0.888,0.475,0.503
2020,Oklahoma,Big 12,200.7,27.5,128.1,45.1,0.278,0.11,0.409,0.285,0.372,0.101,0.514,0.485
2020,Oklahoma State,Big 12,360.3,81.8,153.7,124.8,0.868,0.788,0.836,0.983,0.856,0.702,0.891,0.949
2020,Old Dominion,Conference USA,81.5,-22.7,78.0,26.1,0.807,0.954,0.835,0.818,0.722,0.998,0.708,0.411
2020,Ole Miss,SEC,321.8,100.7,140.1,81.0,0.899,1.0,0.799,0.983,0.853,1.0,0.841,0.762
2020,Oregon,Pac-12,251.1,13.7,166.2,71.2,0.489,0.076,0.695,0.758,0.541,0.034,0.757,0.86
2020,Oregon State,Pac-12,131.8,13.7,79.7,38.5,0.314,0.097,0.376,0.572,0.366,0.139,0.434,0.561
2020,Penn State,Big Ten,332.0,110.1,112.3,109.6,0.792,1.0,0.577,0.96,0.819,1.0,0.534,0.857
2020,Pittsburgh,ACC,198.6,75.1,95.7,27.9,0.738,0.892,0.562,1.848,0.782,0.994,0.498,0.814
2020,Purdue,Big Ten,281.9,137.0,162.6,-17.7,0.819,1.0,0.724,1.0,0.933,1.0,0.81,1.0
2020,Rice,Conference USA,116.4,8.1,113.8,-5.6,0.751,0.229,0.996,-1.098,0.529,0.507,0.932,0.247
2020,Rutgers,Big Ten,81.7,0.1,64.8,16.9,0.878,1.0,0.81,1.341,0.931,1.0,0.839,0.932
2020,San Diego State,Mountain West,159.8,19.5,151.4,-11.0,0.629,0.183,0.864,0.4,0.492,0.07,0.849,0.59
2020,San José State,Mountain West,244.4,10.0,227.7,6.7,0.542,0.055,0.902,0.383,0.422,0.033,0.815,0.507
2020,SMU,American Athletic,361.5,189.6,162.5,9.5,0.674,0.947,0.581,0.168,0.571,0.984,0.45,0.256
2020,South Alabama,Sun Belt,100.8,37.1,71.6,-7.9,0.646,1.642,0.755,-0.203,0.536,0.438,0.803,0.467
2020,South Carolina,SEC,72.2,25.9,36.9,9.4,0.417,1.136,0.337,0.233,0.579,0.93,0.466,0.242
2020,Southern Miss,Conference USA,216.8,135.4,67.7,13.6,0.575,0.914,0.285,-1.581,0.618,0.989,0.3,0.507
2020,South Florida,American Athletic,146.9,7.8,95.6,43.6,0.615,0.325,0.709,0.542,0.618,0.695,0.707,0.487
2020,Stanford,Pac-12,225.9,71.5,145.9,8.5,0.678,0.685,0.736,0.276,0.57,0.624,0.7,0.338
2020,Syracuse,ACC,149.9,52.6,77.6,19.6,0.551,1.082,0.442,0.414,0.639,0.84,0.457,0.574
2020,TCU,Big 12,177.2,27.3,85.4,64.5,0.726,1.978,0.772,0.54,0.568,0.871,0.507,0.339
2020,Temple,American Athletic,223.9,70.8,131.1,22.0,0.777,0.824,0.751,0.809,0.736,0.895,0.726,0.572
2020,Tennessee,SEC,166.2,91.9,50.7,23.6,0.543,0.944,0.266,1.326,0.709,0.992,0.368,0.714
2020,Texas,Big 12,377.6,169.7,99.4,108.4,0.702,0.972,0.396,0.964,0.841,0.992,0.53,0.968
2020,Texas A&M,SEC,295.5,89.8,140.2,65.6,0.803,0.97,0.732,0.786,0.801,0.998,0.609,0.747
2020,Texas State,Sun Belt,115.0,24.1,86.3,4.6,0.737,0.744,0.679,-1.179,0.581,0.555,0.533,0.69
2020,Texas Tech,Big 12,187.5,23.3,134.2,30.0,0.531,0.214,0.743,0.474,0.487,0.288,0.752,0.482
2020,Toledo,Mid-American,205.7,30.8,113.8,61.1,0.609,0.384,0.747,0.582,0.739,0.641,0.727,0.821
2020,Troy,Sun Belt,264.0,1.7,202.9,59.5,0.61,0.012,0.971,0.742,0.452,0.056,0.899,0.526
2020,Tulane,American Athletic,196.1,17.5,102.8,75.8,0.496,0.2,0.617,0.536,0.388,0.066,0.458,0.556
2020,Tulsa,American Athletic,299.8,112.7,160.4,26.7,0.869,1.0,0.782,1.0,0.94,1.0,0.787,1.0
2020,UAB,Conference USA,195.2,53.8,116.3,25.1,0.856,0.923,0.774,1.268,0.907,0.997,0.798,0.903
2020,UCF,American Athletic,446.1,160.0,184.6,101.5,0.764,0.89,0.677,0.768,0.818,0.942,0.678,0.808
2020,UCLA,Pac-12,264.8,81.6,157.8,25.4,0.736,0.88,0.744,0.457,0.753,0.993,0.783,0.486
2020,UConn,American Athletic,141.4,22.4,101.3,17.7,0.79,1.764,0.693,0.876,0.715,0.778,0.688,0.67
2020,UL Monroe,Sun Belt,135.5,-14.4,115.6,34.4,0.37,-0.171,0.689,0.301,0.396,0.052,0.66,0.551
2020,UNLV,Mountain West,207.5,30.7,100.8,76.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,USC,Pac-12,469.8,185.0,230.0,54.9,0.826,0.93,0.729,1.004,0.875,0.93,0.717,0.994
2020,Utah,Pac-12,189.4,6.3,162.8,20.3,0.386,0.038,0.728,0.197,0.303,0.029,0.648,0.292
2020,Utah State,Mountain West,91.9,1.7,88.5,1.7,0.256,0.015,0.41,0.06,0.275,0.004,0.573,0.302
2020,UTEP,Conference USA,69.0,-1.7,80.8,-10.1,0.265,-0.03,0.542,-0.185,0.299,0.174,0.574,0.232
2020,UTSA,Conference USA,174.5,23.7,75.0,75.8,0.839,1.15,0.695,0.949,0.905,0.982,0.731,0.961
2020,Vanderbilt,SEC,35.0,-0.1,29.6,5.6,0.238,0.014,0.316,0.092,0.194,0.005,0.422,0.222
2020,Virginia,ACC,106.7,3.4,93.0,10.4,0.265,0.031,0.401,0.177,0.234,0.041,0.356,0.378
2020,Virginia Tech,ACC,218.2,73.8,105.4,39.0,0.622,0.606,0.571,0.878,0.571,0.63,0.552,0.541
2020,Wake Forest,ACC,166.7,46.3,108.1,12.3,0.36,0.279,0.404,0.414,0.33,0.216,0.4,0.381
2020,Washington,Pac-12,110.1,4.6,82.3,23.2,0.275,0.037,0.414,0.294,0.261,0.014,0.325,0.457
