feature,vif
matchup_pointsForAvgLast3,4.745312994033838
matchup_rushingTDsAvgBefore,4.425225023544303
matchup_qbHurriesAvgBefore,4.292397019327911
matchup_qbHurriesAvgLast3,4.108422719205248
matchup_rushingAttemptsAvgBefore,3.842858134041921
matchup_sacksAvgLast3,3.767821842935843
matchup_passingTDsAvgBefore,3.560787045658107
matchup_turnoversAvgLast3,3.538597974087571
matchup_netPassingYardsAvgLast3,3.525129690139921
matchup_sacksAvgBefore,3.4136430287581083
matchup_yardsPerPassAttemptBefore,3.403835918104019
matchup_passesDeflectedAvgBefore,3.1335649376209367
matchup_passesDeflectedAvgLast3,2.992157401321303
matchup_winPctBefore,2.9508960791132077
matchup_thirdDownAttemptsAvgBefore,2.709845343727454
matchup_interceptionsAvgBefore,2.601164030513503
matchup_yardsPerRushAttemptBefore,2.5587051365616755
matchup_thirdDownPctBefore,2.325632409165456
matchup_completionPctBefore,2.139017131854467
matchup_fumblesLostAvgBefore,2.102549296101776
matchup_defenseSuccessRate,1.8978321783539602
matchup_elo,1.7520900794010221
matchup_tacklesForLossAvgLast3,1.7351589087395172
matchup_possessionSecondsAvgBefore,1.6965997008081852
matchup_offenseExplosiveness,1.5017938151647237
matchup_fourthDownAttemptsAvgBefore,1.4182850044258772
matchup_defenseExplosiveness,1.1977188745056908
matchup_fourthDownPctBefore,1.1482745811553035
matchup_penaltyYardsAvgBefore,1.0965406869908132
