iteration,removed_feature,removed_vif,max_vif_before_removal,features_remaining
1,matchup_pointsAgainstAvgLast3,inf,inf,60
2,matchup_pointsAgainstAvgLast5,inf,inf,59
3,matchup_turnoversAvgBefore,inf,inf,58
4,matchup_pointDifferentialAvgBefore,163534448.56278136,163534448.56278136,57
5,matchup_totalYardsAvgBefore,4787855.641401617,4787855.641401617,56
6,matchup_totalYardsAvgLast3,1130484.0167041493,1130484.0167041493,55
7,matchup_totalYardsAvgLast5,15630.842391643226,15630.842391643226,54
8,matchup_rushingYardsAvgBefore,86.95217047675114,86.95217047675114,53
9,matchup_pointsForAvgLast5,72.49647596297527,72.49647596297527,52
10,matchup_completionsAvgBefore,70.67148672887862,70.67148672887862,51
11,matchup_thirdDownConversionsAvgBefore,51.849089486106294,51.849089486106294,50
12,matchup_netPassingYardsAvgBefore,39.85328223398211,39.85328223398211,49
13,matchup_pointDifferentialAvgLast5,33.564498881222015,33.564498881222015,48
14,matchup_pointsForAvgBefore,26.350612433366173,26.350612433366173,47
15,matchup_rushingYardsAvgLast5,19.237641084284984,19.237641084284984,46
16,matchup_netPassingYardsAvgLast5,18.401073588422562,18.401073588422562,45
17,matchup_tacklesForLossAvgLast5,16.87014923845571,16.87014923845571,44
18,matchup_passAttemptsAvgBefore,16.542350495237436,16.542350495237436,43
19,matchup_offenseSuccessRate,14.807949492441628,14.807949492441628,42
20,matchup_qbHurriesAvgLast5,14.286167467774915,14.286167467774915,41
21,matchup_pointDifferentialAvgLast3,14.16993128727958,14.16993128727958,40
22,matchup_turnoversAvgLast5,12.726524142244406,12.726524142244406,39
23,matchup_sacksAvgLast5,10.554027962155443,10.554027962155443,38
24,matchup_fourthDownConversionsAvgBefore,9.892913491508997,9.892913491508997,37
25,matchup_offensePPA,8.76580882223684,8.76580882223684,36
26,matchup_defensePPA,8.648688998670218,8.648688998670218,35
27,matchup_passesDeflectedAvgLast5,8.620272913683063,8.620272913683063,34
28,matchup_rushingYardsAvgLast3,7.433031654275904,7.433031654275904,33
29,matchup_penaltiesAvgBefore,6.4834003653403585,6.4834003653403585,32
30,matchup_pointsAgainstAvgBefore,6.251747478093501,6.251747478093501,31
31,matchup_tacklesForLossAvgBefore,5.316026979161754,5.316026979161754,30
32,matchup_firstDownsAvgBefore,5.160815150747042,5.160815150747042,29
