feature_1,feature_2,correlation,abs_correlation,family_1,family_2
matchup_netPassingYardsAvgBefore,matchup_netPassingYardsAvgLast5,0.9702008121773557,0.9702008121773557,Passing,Passing
matchup_rushingYardsAvgBefore,matchup_rushingYardsAvgLast5,0.9638129156763338,0.9638129156763338,Rushing,Rushing
matchup_totalYardsAvgBefore,matchup_totalYardsAvgLast5,0.9623202366576473,0.9623202366576473,Total Offense,Total Offense
matchup_pointDifferentialAvgBefore,matchup_pointDifferentialAvgLast5,0.9602874459109616,0.9602874459109616,Scoring / Results,Scoring / Results
matchup_pointsForAvgBefore,matchup_pointsForAvgLast5,0.9588357698334575,0.9588357698334575,Scoring / Results,Scoring / Results
matchup_pointsAgainstAvgBefore,matchup_pointsAgainstAvgLast5,0.9568236726963625,0.9568236726963625,Scoring / Results,Scoring / Results
matchup_netPassingYardsAvgLast3,matchup_netPassingYardsAvgLast5,0.9431890703125559,0.9431890703125559,Passing,Passing
matchup_turnoversAvgBefore,matchup_turnoversAvgLast5,0.9398489336854423,0.9398489336854423,Turnovers,Turnovers
matchup_qbHurriesAvgBefore,matchup_qbHurriesAvgLast5,0.9395027520048926,0.9395027520048926,Defense,Defense
matchup_rushingYardsAvgLast3,matchup_rushingYardsAvgLast5,0.9319051608230671,0.9319051608230671,Rushing,Rushing
matchup_totalYardsAvgLast3,matchup_totalYardsAvgLast5,0.9300809167857191,0.9300809167857191,Total Offense,Total Offense
matchup_pointDifferentialAvgLast3,matchup_pointDifferentialAvgLast5,0.9289143513862013,0.9289143513862013,Scoring / Results,Scoring / Results
matchup_completionsAvgBefore,matchup_passAttemptsAvgBefore,0.9272641881482155,0.9272641881482155,Passing,Passing
matchup_pointsForAvgLast3,matchup_pointsForAvgLast5,0.9265003690772822,0.9265003690772822,Scoring / Results,Scoring / Results
matchup_sacksAvgBefore,matchup_sacksAvgLast5,0.9199029735163339,0.9199029735163339,Defense,Defense
matchup_pointsAgainstAvgLast3,matchup_pointsAgainstAvgLast5,0.9195122501723919,0.9195122501723919,Scoring / Results,Scoring / Results
matchup_penaltiesAvgBefore,matchup_penaltyYardsAvgBefore,0.9156304075012284,0.9156304075012284,Penalties,Penalties
matchup_tacklesForLossAvgBefore,matchup_tacklesForLossAvgLast5,0.9120353419631104,0.9120353419631104,Defense,Defense
matchup_netPassingYardsAvgBefore,matchup_netPassingYardsAvgLast3,0.9117769506995484,0.9117769506995484,Passing,Passing
matchup_qbHurriesAvgLast3,matchup_qbHurriesAvgLast5,0.9066539263052631,0.9066539263052631,Defense,Defense
matchup_passesDeflectedAvgBefore,matchup_passesDeflectedAvgLast5,0.904510236391137,0.904510236391137,Defense,Defense
matchup_tacklesForLossAvgLast3,matchup_tacklesForLossAvgLast5,0.9042782590951544,0.9042782590951544,Defense,Defense
matchup_rushingYardsAvgBefore,matchup_rushingYardsAvgLast3,0.8980671302426746,0.8980671302426746,Rushing,Rushing
matchup_totalYardsAvgBefore,matchup_totalYardsAvgLast3,0.894315981362887,0.894315981362887,Total Offense,Total Offense
matchup_pointDifferentialAvgBefore,matchup_pointDifferentialAvgLast3,0.8940525213861834,0.8940525213861834,Scoring / Results,Scoring / Results
matchup_sacksAvgLast3,matchup_sacksAvgLast5,0.8913541463564191,0.8913541463564191,Defense,Defense
matchup_turnoversAvgLast3,matchup_turnoversAvgLast5,0.8902839071177231,0.8902839071177231,Turnovers,Turnovers
matchup_pointsForAvgBefore,matchup_pointsForAvgLast3,0.889210719130286,0.889210719130286,Scoring / Results,Scoring / Results
matchup_pointsAgainstAvgBefore,matchup_pointsAgainstAvgLast3,0.8795508938082502,0.8795508938082502,Scoring / Results,Scoring / Results
matchup_totalYardsAvgBefore,matchup_firstDownsAvgBefore,0.8783571056998427,0.8783571056998427,Total Offense,Other
matchup_passesDeflectedAvgLast3,matchup_passesDeflectedAvgLast5,0.8712094933224566,0.8712094933224566,Defense,Defense
matchup_rushingYardsAvgBefore,matchup_yardsPerRushAttemptBefore,0.8645045467141239,0.8645045467141239,Rushing,Rushing
