feature,family,vif,vif_flag
matchup_pointsAgainstAvgBefore,Scoring / Results,inf,HIGH
matchup_pointsForAvgBefore,Scoring / Results,inf,HIGH
matchup_turnoversAvgBefore,Turnovers,inf,HIGH
matchup_pointDifferentialAvgBefore,Scoring / Results,inf,HIGH
matchup_fumblesLostAvgBefore,Turnovers,inf,HIGH
matchup_interceptionsAvgBefore,Turnovers,inf,HIGH
matchup_pointDifferentialAvgLast5,Scoring / Results,inf,HIGH
matchup_pointDifferentialAvgLast3,Scoring / Results,inf,HIGH
matchup_pointsForAvgLast5,Scoring / Results,inf,HIGH
matchup_pointsAgainstAvgLast3,Scoring / Results,inf,HIGH
matchup_pointsAgainstAvgLast5,Scoring / Results,inf,HIGH
matchup_pointsForAvgLast3,Scoring / Results,inf,HIGH
matchup_totalYardsAvgLast5,Total Offense,5127669.268891856,HIGH
matchup_totalYardsAvgBefore,Total Offense,4848066.639898556,HIGH
matchup_netPassingYardsAvgLast5,Passing,3861334.175649863,HIGH
matchup_netPassingYardsAvgBefore,Passing,3708457.6090977094,HIGH
matchup_rushingYardsAvgLast5,Rushing,3064277.960534251,HIGH
matchup_rushingYardsAvgBefore,Rushing,2857364.7233577035,HIGH
matchup_totalYardsAvgLast3,Total Offense,2266057.4380621677,HIGH
matchup_netPassingYardsAvgLast3,Passing,1650725.0140182283,HIGH
matchup_rushingYardsAvgLast3,Rushing,1362316.7071764832,HIGH
matchup_thirdDownConversionsAvgBefore,Situational,52.128682799227555,HIGH
matchup_thirdDownPctBefore,Situational,36.77061430118421,HIGH
matchup_passAttemptsAvgBefore,Passing,32.03639634384408,HIGH
matchup_yardsPerRushAttemptBefore,Rushing,25.04244023770632,HIGH
matchup_rushingAttemptsAvgBefore,Rushing,24.689601382812878,HIGH
matchup_thirdDownAttemptsAvgBefore,Situational,23.487134120726992,HIGH
matchup_tacklesForLossAvgLast5,Defense,17.062601895665892,HIGH
matchup_sacksAvgLast5,Defense,16.850618783231106,HIGH
matchup_completionsAvgBefore,Passing,16.05247524066881,HIGH
matchup_offenseSuccessRate,Advanced Metrics,15.014131641780214,HIGH
matchup_qbHurriesAvgLast5,Defense,14.6437509189024,HIGH
matchup_turnoversAvgLast5,Turnovers,14.302236368942559,HIGH
matchup_offensePPA,Advanced Metrics,13.787521925256545,HIGH
matchup_sacksAvgBefore,Defense,11.801123801854645,HIGH
matchup_firstDownsAvgBefore,Other,11.51139682703044,HIGH
matchup_tacklesForLossAvgBefore,Defense,11.196134576866559,HIGH
matchup_qbHurriesAvgBefore,Defense,10.540701112764358,HIGH
matchup_rushingTDsAvgBefore,Rushing,10.30470016158828,HIGH
matchup_fourthDownConversionsAvgBefore,Situational,10.105084773021844,HIGH
matchup_passesDeflectedAvgLast5,Defense,9.521464846725754,WARNING
matchup_defensePPA,Advanced Metrics,9.445856124382457,WARNING
matchup_passingTDsAvgBefore,Passing,9.195733002830375,WARNING
matchup_defenseSuccessRate,Advanced Metrics,8.324070839547176,WARNING
matchup_tacklesForLossAvgLast3,Defense,8.152559627326076,WARNING
matchup_fourthDownAttemptsAvgBefore,Situational,7.37298615616765,WARNING
matchup_sacksAvgLast3,Defense,7.343751187149166,WARNING
matchup_passesDeflectedAvgBefore,Defense,6.808365274267772,WARNING
matchup_penaltiesAvgBefore,Penalties,6.549251561699815,WARNING
matchup_penaltyYardsAvgBefore,Penalties,6.474976769105869,WARNING
matchup_yardsPerPassAttemptBefore,Passing,6.433809787584867,WARNING
matchup_qbHurriesAvgLast3,Defense,6.038910945113554,WARNING
matchup_turnoversAvgLast3,Turnovers,5.559517218647134,WARNING
matchup_passesDeflectedAvgLast3,Defense,4.457169379478899,LOW
matchup_offenseExplosiveness,Advanced Metrics,3.9972141132661942,LOW
matchup_winPctBefore,Scoring / Results,3.5123056868164038,LOW
matchup_fourthDownPctBefore,Situational,3.46724311738467,LOW
matchup_defenseExplosiveness,Advanced Metrics,2.944852607899927,LOW
matchup_possessionSecondsAvgBefore,Other,1.8724440232191377,LOW
matchup_elo,Elo,1.8596697666082729,LOW
