dataset,bin_lower,bin_upper,n_games,mean_predicted_probability,observed_home_win_rate,calibration_error
Validation,0.0,0.05,2,0.047245110399671206,0.0,-0.047245110399671206
Validation,0.05,0.1,26,0.0771317080076672,0.19230769230769232,0.11517598430002512
Validation,0.1,0.15000000000000002,45,0.12699705712646767,0.13333333333333333,0.006336276206865665
Validation,0.15000000000000002,0.2,67,0.1751448597317598,0.2835820895522388,0.10843722982047899
Validation,0.2,0.25,59,0.22111817211051457,0.3220338983050847,0.10091572619457015
Validation,0.25,0.30000000000000004,53,0.2753671195925233,0.32075471698113206,0.04538759738860876
Validation,0.30000000000000004,0.35000000000000003,75,0.32388468363894274,0.36,0.03611531636105725
Validation,0.35000000000000003,0.4,74,0.37241372652921506,0.32432432432432434,-0.04808940220489072
Validation,0.4,0.45,71,0.4260156579761026,0.36619718309859156,-0.05981847487751102
Validation,0.45,0.5,84,0.4734556168628315,0.4642857142857143,-0.009169902577117195
Validation,0.5,0.55,80,0.526791202495809,0.5125,-0.014291202495809063
Validation,0.55,0.6000000000000001,89,0.5765097943697154,0.5842696629213483,0.007759868551632909
Validation,0.6000000000000001,0.65,84,0.624327596084853,0.6071428571428571,-0.017184738941995903
Validation,0.65,0.7000000000000001,107,0.6708424822282889,0.7850467289719626,0.11420424674367369
Validation,0.7000000000000001,0.75,93,0.7246308623493003,0.6236559139784946,-0.10097494837080567
Validation,0.75,0.8,146,0.7714687210034821,0.8082191780821918,0.03675045707870972
Validation,0.8,0.8500000000000001,140,0.824170472438665,0.8142857142857143,-0.009884758152950757
Validation,0.8500000000000001,0.9,164,0.8768692348232685,0.8048780487804879,-0.07199118604278065
Validation,0.9,0.9500000000000001,228,0.9224243189356036,0.9692982456140351,0.04687392667843149
Validation,0.9500000000000001,1.0,54,0.9654711729591812,1.0,0.03452882704081883
Test,0.0,0.05,2,0.04672325505926017,0.5,0.45327674494073983
Test,0.05,0.1,10,0.07679080803305412,0.0,-0.07679080803305412
Test,0.1,0.15000000000000002,30,0.12680092656972797,0.16666666666666666,0.03986574009693869
Test,0.15000000000000002,0.2,28,0.17604586999526678,0.2857142857142857,0.10966841571901892
Test,0.2,0.25,45,0.2240848489951887,0.2222222222222222,-0.0018626267729665025
Test,0.25,0.30000000000000004,39,0.2796464946125837,0.28205128205128205,0.0024047874386983747
Test,0.30000000000000004,0.35000000000000003,28,0.3270384871654367,0.42857142857142855,0.10153294140599184
Test,0.35000000000000003,0.4,37,0.37569682275452937,0.4594594594594595,0.08376263670493012
Test,0.4,0.45,33,0.42897851001184634,0.36363636363636365,-0.06534214637548269
Test,0.45,0.5,35,0.4752224717149,0.4857142857142857,0.010491813999385702
Test,0.5,0.55,38,0.5250940528170261,0.5789473684210527,0.05385331560402651
Test,0.55,0.6000000000000001,45,0.5734789948803815,0.6888888888888889,0.11540989400850743
Test,0.6000000000000001,0.65,50,0.6281399197870039,0.72,0.09186008021299608
Test,0.65,0.7000000000000001,72,0.672835017556649,0.6388888888888888,-0.033946128667760145
Test,0.7000000000000001,0.75,52,0.7258637368423175,0.6730769230769231,-0.0527868137653944
Test,0.75,0.8,57,0.7765911046515146,0.7543859649122807,-0.02220513973923388
Test,0.8,0.8500000000000001,85,0.822735100183365,0.8823529411764706,0.05961784099310552
Test,0.8500000000000001,0.9,75,0.8793374305508814,0.92,0.04066256944911861
Test,0.9,0.9500000000000001,93,0.9224091320528258,0.967741935483871,0.04533280343104518
Test,0.9500000000000001,1.0,34,0.9651424040359733,0.9705882352941176,0.005445831258144351
