importance_rank,feature,importance
1,homePregameElo,0.25508435119219086
2,awayPregameElo,0.23503933696052773
3,pointDifferentialBefore_home,0.0177133469230141
4,pointDifferentialBefore_away,0.016999791495434333
5,pointDifferentialAvgBefore_home,0.011722928346568694
6,completionPctBefore_away,0.011691559385861867
7,away_pregame_offense_successRate,0.010683686182830563
8,tacklesForLossAvgBefore_away,0.00992010650743375
9,away_pregame_defense_successRate,0.009105108345097156
10,pointDifferentialAvgBefore_away,0.009035159189764119
11,pointDifferentialAvgLast5_away,0.008114939264152925
12,pointDifferentialAvgLast5_home,0.007416562795981829
13,home_pregame_offense_successRate,0.007184635641195928
14,awayPointsAgainstAvgBefore_away,0.0069114466458391295
15,homePointDifferentialBefore_home,0.00685528330911611
16,pointDifferentialAvgLast3_away,0.006509782291910978
17,homePossessionSecondsAvgBefore_home,0.005858360726644941
18,awayCompletionPctBefore_away,0.005446482488961089
19,thirdDownAttemptsAvgBefore_home,0.005144413873658814
20,winPctBefore_home,0.005140902472762716
21,awayYardsPerPassAttemptBefore_away,0.004956976878248589
22,home_pregame_defense_ppa,0.004927960758969828
23,sacksAvgBefore_away,0.004848131213862218
24,home_pregame_defense_successRate,0.004784276888811433
25,pointsAgainstAvgLast3_away,0.004480512112749256
26,homeNetPassingYardsAvgBefore_home,0.0044025492242191645
27,home_pregame_defense_explosiveness,0.0042746194113444606
28,awayPenaltyYardsAvgBefore_away,0.003935013240105353
29,yardsPerRushAttemptBefore_away,0.003870356151868128
30,passesDeflectedAvgLast3_away,0.003676911631498465
31,homeTotalYardsAvgBefore_home,0.0036405255967236717
32,home_pregame_offense_ppa,0.003267040336584899
33,penaltyYardsAvgBefore_away,0.0031737105422048476
34,rushingAttemptsAvgBefore_away,0.0031138644967195956
35,completionPctBefore_home,0.003107440874202722
36,away_pregame_offense_explosiveness,0.003037441730751736
37,tacklesForLossAvgLast5_home,0.0030289433716060776
38,thirdDownConversionsAvgBefore_away,0.00302856713882302
39,awayPossessionSecondsAvgBefore_away,0.0030265453659615266
40,qbHurriesAvgBefore_away,0.0029838302335900026
41,totalYardsAvgBefore_home,0.0029648827155617993
42,away_pregame_defense_explosiveness,0.0029521531763778545
43,homePassAttemptsAvgBefore_home,0.0029372783797520082
44,sacksAvgLast3_away,0.0029351824951162706
45,tacklesForLossAvgBefore_home,0.002929940982300952
46,rushingTDsBefore_away,0.002859784783290797
47,awayThirdDownPctBefore_away,0.00282584084441115
48,pointsForAvgLast3_home,0.002763736546847946
49,awayYardsPerRushAttemptBefore_away,0.002760053261414581
50,home_pregame_offense_explosiveness,0.0026799987846442795
51,completionsAvgBefore_home,0.0026205809206118476
52,thirdDownAttemptsAvgBefore_away,0.0026122819886666804
53,tacklesForLossBefore_away,0.0026079340572530314
54,yardsPerPassAttemptBefore_away,0.0025275533949378234
55,thirdDownAttemptsBefore_home,0.002523396214772434
56,netPassingYardsAvgLast5_away,0.0024416753285295733
57,awayRushingYardsBefore_away,0.002360194700838499
58,passAttemptsBefore_home,0.0023517520581054796
59,passAttemptsAvgBefore_away,0.002342456223303616
60,passesDeflectedAvgLast5_away,0.0022986195549701293
61,totalYardsAvgLast5_home,0.0022667083338597416
62,awayPointsForBefore_away,0.0022476596165353835
63,awayNetPassingYardsAvgBefore_away,0.002224437920020708
64,yardsPerRushAttemptBefore_home,0.0022007296123399247
65,firstDownsAvgBefore_away,0.00213914032379764
66,penaltiesBefore_away,0.0020499328704016544
67,passesDeflectedAvgBefore_away,0.0020479764553821235
68,totalYardsBefore_away,0.00197522853165928
69,penaltyYardsBefore_away,0.001970890885553676
70,awayPenaltiesAvgBefore_away,0.001970149543710963
71,turnoversAvgLast3_home,0.0019682365680024684
72,pointsAgainstAvgBefore_away,0.0019525879679530493
73,qbHurriesAvgLast3_home,0.001949672208041621
74,penaltyYardsAvgBefore_home,0.0019488507155373807
75,thirdDownPctBefore_away,0.0019443041040753312
76,totalYardsAvgLast3_home,0.0019382300554795719
77,rushingYardsAvgLast3_home,0.0019331645654981535
78,away_pregame_offense_ppa,0.0019202684550755607
79,homePenaltyYardsAvgBefore_home,0.0019068088469211758
80,rushingAttemptsAvgBefore_home,0.001899744123593178
81,rushingAttemptsBefore_away,0.0018882761620825517
82,passesDeflectedAvgLast5_home,0.0018779012126985536
83,netPassingYardsAvgLast3_home,0.0018711421573028974
84,homePointDifferentialAvgBefore_home,0.0018637335879046033
