feature_family,feature_count,total_importance,mean_importance,median_importance,importance_share
Elo,2,0.49012368815271856,0.24506184407635928,0.24506184407635928,0.4901236881527187
Scoring / Results,32,0.10044632652278333,0.003138947703836979,0.001306377662602812,0.10044632652278336
Passing,64,0.09208940022149156,0.0014388968784608057,0.0008710206343111472,0.09208940022149158
Rolling / Trend,48,0.0829301906466885,0.0017277123051393437,0.0012936889395669354,0.08293019064668851
Advanced Metrics,12,0.0561529627619551,0.004679413563496258,0.00377082987396468,0.05615296276195511
Situational,48,0.055225297867712915,0.0011505270389106858,0.00074765812224505,0.05522529786771293
Rushing,28,0.03976984552646399,0.0014203516259451425,0.0013062604347575865,0.039769845526463996
Defense,24,0.028316223278687064,0.001179842636611961,0.0006949399885222798,0.02831622327868707
Penalties,16,0.02472274279105283,0.0015451714244408019,0.0014646597048527396,0.024722742791052837
Total Offense,8,0.012245445198317068,0.0015306806497896335,0.0012202788958756258,0.012245445198317072
Turnovers,16,0.011855972453587557,0.0007409982783492223,0.0007967358249037133,0.011855972453587561
Other,12,0.006121904578541341,0.0005101587148784451,0.00015310837388138207,0.0061219045785413425
