bin,count,mean_predicted_probability,actual_win_rate,calibration_error,absolute_calibration_error
"(-0.001, 0.05]",5,0.04093805659593915,0.0,0.04093805659593915,0.04093805659593915
"(0.05, 0.1]",23,0.07809175340957399,0.08695652173913043,-0.008864768329556447,0.008864768329556447
"(0.1, 0.15]",52,0.12683631187204997,0.17307692307692307,-0.046240611204873105,0.046240611204873105
"(0.15, 0.2]",52,0.17218647135002874,0.34615384615384615,-0.1739673748038174,0.1739673748038174
"(0.2, 0.25]",62,0.22591481545461092,0.3387096774193548,-0.11279486196474389,0.11279486196474389
"(0.25, 0.3]",82,0.27353768037543136,0.3170731707317073,-0.04353549035627596,0.04353549035627596
"(0.3, 0.35]",61,0.32813049226068053,0.3442622950819672,-0.016131802821286678,0.016131802821286678
"(0.35, 0.4]",59,0.3727379670185343,0.3220338983050847,0.05070406871344957,0.05070406871344957
"(0.4, 0.45]",87,0.42779910850728936,0.45977011494252873,-0.03197100643523937,0.03197100643523937
"(0.45, 0.5]",80,0.47358815788609104,0.4875,-0.013911842113908945,0.013911842113908945
"(0.5, 0.55]",82,0.5266626457035841,0.573170731707317,-0.04650808600373291,0.04650808600373291
"(0.55, 0.6]",76,0.5745689289127618,0.5394736842105263,0.03509524470223546,0.03509524470223546
"(0.6, 0.65]",105,0.6247483252257123,0.7238095238095238,-0.09906119858381146,0.09906119858381146
"(0.65, 0.7]",90,0.6723974541050687,0.6,0.0723974541050687,0.0723974541050687
"(0.7, 0.75]",113,0.7256767935232045,0.6902654867256637,0.03541130679754079,0.03541130679754079
"(0.75, 0.8]",145,0.7773718955324799,0.8068965517241379,-0.029524656191658005,0.029524656191658005
"(0.8, 0.85]",156,0.8259059981254415,0.7628205128205128,0.06308548530492875,0.06308548530492875
"(0.85, 0.9]",164,0.8748185019557937,0.8658536585365854,0.008964843419208335,0.008964843419208335
"(0.9, 0.95]",208,0.9186678792543747,0.9567307692307693,-0.03806288997639462,0.03806288997639462
"(0.95, 1.0]",39,0.9630958739577105,1.0,-0.03690412604228954,0.03690412604228954
