rank,feature,importance
1,homePregameElo,0.2871285023258294
2,awayPregameElo,0.2704775691608905
3,pointDifferentialBefore_home,0.026071027180452976
4,pointDifferentialBefore_away,0.025021912412305867
5,priorSOSPointDiff_away,0.023043478031360132
6,away_pregame_offense_successRate,0.021292376425631327
7,away_pregame_defense_successRate,0.02108859871141323
8,home_pregame_offense_ppa,0.015855611188215737
9,pointDifferentialAvgBefore_away,0.015814302034627876
10,home_pregame_offense_successRate,0.015694849541891365
11,pointDifferentialAvgBefore_home,0.01497882719032502
12,pointsAgainstTrend_home,0.014454982868705661
13,pointsAgainstTrend_away,0.012554244940468856
14,pointDifferentialAvgLast3_away,0.011825719775794743
15,yardsPerRushAttemptBefore_away,0.011267167325362867
16,yardsPerRushAttemptBefore_home,0.010681651605345843
17,pointDifferentialAvgLast5_home,0.010630330751853982
18,pointDifferentialAvgLast5_away,0.010561179423245488
19,netPassingYardsTrend_home,0.010488520053047828
20,winPctBefore_home,0.010468072024611356
21,home_pregame_defense_ppa,0.009986338756078685
22,pointsForAvgLast5_home,0.009064889636250158
23,yardsPerPassAttemptBefore_away,0.00906058931029939
24,priorSOSWinPct_home,0.00881641531933002
25,pointsAgainstAvgLast5_home,0.008482170774508909
26,home_pregame_defense_successRate,0.008439336762120293
27,pointDifferentialTrend_away,0.008317124329698684
28,pointsForAvgLast5_away,0.0082591294341322
29,away_pregame_offense_ppa,0.00818318134434312
30,away_pregame_defense_ppa,0.007571937368812115
31,pointDifferentialAvgLast3_home,0.0072981297256127856
32,pointsAgainstAvgLast5_away,0.007260732374305453
33,priorSOSPointDiff_home,0.006623123650940854
34,netPassingYardsTrend_away,0.006495413722548031
35,totalYardsTrend_away,0.00647957275539937
36,yardsPerPassAttemptBefore_home,0.006172785827260311
37,pointsForTrend_home,0.006167640491640653
38,totalYardsTrend_home,0.005699070850523427
39,pointsForTrend_away,0.005080009390539159
40,winPctTrend_home,0.004807288510304383
41,priorSOSWinPct_away,0.00416181498091937
42,pointDifferentialTrend_home,0.004080287159936385
43,winPctTrend_away,0.002853028060505335
44,winPctBefore_away,0.0012410664926108686
