dataset,bin,observations,mean_predicted_probability,observed_home_win_rate,calibration_error,absolute_calibration_error
Validation,"(-0.001, 0.1]",26,0.07201545214167711,0.15384615384615385,0.08183070170447675,0.08183070170447675
Validation,"(0.1, 0.2]",96,0.1528991885374609,0.22916666666666666,0.07626747812920576,0.07626747812920576
Validation,"(0.2, 0.3]",120,0.254721169079147,0.325,0.07027883092085302,0.07027883092085302
Validation,"(0.3, 0.4]",156,0.3494797082139608,0.33974358974358976,-0.009736118470371036,0.009736118470371036
Validation,"(0.4, 0.5]",157,0.4501417647230558,0.4585987261146497,0.008456961391593909,0.008456961391593909
Validation,"(0.5, 0.6]",171,0.5479019407169203,0.52046783625731,-0.027434104459610364,0.027434104459610364
Validation,"(0.6, 0.7]",202,0.6536007711534683,0.6336633663366337,-0.019937404816834592,0.019937404816834592
Validation,"(0.7, 0.8]",215,0.7524236982319445,0.7627906976744186,0.0103669994424741,0.0103669994424741
Validation,"(0.8, 0.9]",366,0.8508850133842406,0.8469945355191257,-0.003890477865114872,0.003890477865114872
Validation,"(0.9, 1.0]",232,0.9298090915095992,0.9741379310344828,0.044328839524883534,0.044328839524883534
Test,"(-0.001, 0.1]",11,0.07872700947259337,0.09090909090909091,0.012182081436497544,0.012182081436497544
Test,"(0.1, 0.2]",60,0.15458145220742975,0.15,-0.004581452207429754,0.004581452207429754
Test,"(0.2, 0.3]",66,0.253057075420961,0.2878787878787879,0.03482171245782689,0.03482171245782689
Test,"(0.3, 0.4]",80,0.352429854698888,0.4375,0.08507014530111201,0.08507014530111201
Test,"(0.4, 0.5]",65,0.4518284862554145,0.4461538461538462,-0.005674640101568318,0.005674640101568318
Test,"(0.5, 0.6]",88,0.5529161206239507,0.6136363636363636,0.06072024301241297,0.06072024301241297
Test,"(0.6, 0.7]",116,0.6539616611207764,0.6724137931034483,0.018452131982671927,0.018452131982671927
Test,"(0.7, 0.8]",121,0.7511682459847828,0.7603305785123967,0.009162332527613892,0.009162332527613892
Test,"(0.8, 0.9]",156,0.8535702362429177,0.8653846153846154,0.011814379141697695,0.011814379141697695
Test,"(0.9, 1.0]",125,0.9348157056777107,0.968,0.03318429432228931,0.03318429432228931
