feature,importance,rank,importance_pct
homePregameElo,0.3028204366022443,1,30.282043660224428
awayPregameElo,0.288004493511232,2,28.8004493511232
pointDifferentialBefore_home,0.034951595461547996,3,3.4951595461547997
pointDifferentialBefore_away,0.03203422922334909,4,3.2034229223349087
away_pregame_defense_successRate,0.02964984643517423,5,2.964984643517423
away_pregame_offense_successRate,0.025234245795619198,6,2.5234245795619197
pointDifferentialAvgBefore_home,0.02004496277581532,7,2.004496277581532
pointDifferentialAvgBefore_away,0.01956989747486731,8,1.956989747486731
home_pregame_offense_successRate,0.01848277764324063,9,1.8482777643240629
home_pregame_offense_ppa,0.017911557419483422,10,1.7911557419483422
yardsPerRushAttemptBefore_away,0.01750034057907346,11,1.750034057907346
pointDifferentialAvgLast3_away,0.016939620634310763,12,1.6939620634310764
home_pregame_defense_successRate,0.01678830579660791,13,1.6788305796607912
yardsPerRushAttemptBefore_home,0.01608863165687528,14,1.6088631656875279
yardsPerPassAttemptBefore_away,0.015107377496803303,15,1.5107377496803303
home_pregame_defense_ppa,0.013738519324447501,16,1.37385193244475
pointDifferentialAvgLast5_away,0.012752517315902604,17,1.2752517315902605
away_pregame_offense_ppa,0.011598054138632477,18,1.1598054138632476
pointDifferentialAvgLast5_home,0.011477791150667419,19,1.1477791150667418
pointsAgainstAvgLast5_away,0.010675301682372802,20,1.0675301682372802
pointsForAvgLast5_home,0.010505649872664542,21,1.0505649872664542
winPctBefore_home,0.010232337612423068,22,1.0232337612423068
away_pregame_defense_ppa,0.010222733148644383,23,1.0222733148644383
yardsPerPassAttemptBefore_home,0.00979952468182319,24,0.9799524681823191
pointsAgainstAvgLast5_home,0.00925582127333994,25,0.925582127333994
pointDifferentialAvgLast3_home,0.008085450947061838,26,0.8085450947061837
pointsForAvgLast5_away,0.007728805264605891,27,0.7728805264605891
winPctBefore_away,0.0027991750811703557,28,0.2799175081170356
