feature,mean_log_loss_increase,std_log_loss_increase,rank
awayPregameElo,0.15406895150816577,0.009758218450364517,1
homePregameElo,0.10051379442860767,0.009845876131542867,2
away_pregame_offense_successRate,0.01414908313405564,0.001970193191973291,3
pointDifferentialAvgLast3_away,0.013125965771602155,0.00195755932624092,4
pointDifferentialBefore_away,0.005949090575858918,0.0014544378489123953,5
home_pregame_offense_ppa,0.004394129895540999,0.0019035934586595282,6
home_pregame_offense_successRate,0.0025148807364192447,0.0023120195779870994,7
away_pregame_offense_ppa,0.0024964418958083323,0.0005636297320570338,8
yardsPerPassAttemptBefore_away,0.0022641593473670895,0.0015420459035353153,9
pointDifferentialBefore_home,0.0017192065160271496,0.0012226715859051656,10
away_pregame_defense_ppa,0.001522833322722994,0.0010375680377488373,11
pointDifferentialAvgLast3_home,0.0011974840718434686,0.0007381976905552445,12
away_pregame_defense_successRate,0.0011142777114918178,0.002324551852738945,13
pointsAgainstAvgLast5_home,0.0009462985277163604,0.0010347237526984942,14
yardsPerPassAttemptBefore_home,0.0009419317916119607,0.0006063466448338139,15
pointsForAvgLast5_away,0.0006559735719395609,0.0006874743066346631,16
pointsAgainstAvgLast5_away,0.0005344838157230081,0.0006941395280190962,17
pointDifferentialAvgBefore_away,0.0004585943519821556,0.0013359451521138008,18
home_pregame_defense_successRate,0.0002262006199904576,0.0009660262546387637,19
pointDifferentialAvgLast5_away,0.00019752971220786674,0.001437787662535543,20
pointDifferentialAvgLast5_home,0.00010951561420964317,0.00042055753066648336,21
yardsPerRushAttemptBefore_away,-1.3444852359467685e-05,0.0009741791164454908,22
pointDifferentialAvgBefore_home,-5.956441984623639e-05,0.0009875467850637236,23
home_pregame_defense_ppa,-0.0001158113169560937,0.0015333029258221128,24
yardsPerRushAttemptBefore_home,-0.00041118968651679964,0.0010129037090482467,25
winPctBefore_away,-0.0008115123796937796,0.00036745896356534994,26
winPctBefore_home,-0.001482589929007383,0.0007824525110628856,27
pointsForAvgLast5_home,-0.002222613420750796,0.0010650403640300248,28
