rank,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,mean_log_loss,std_log_loss,mean_brier_score,std_brier_score,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,fold_1_log_loss,fold_1_brier_score,fold_1_roc_auc,fold_1_accuracy,fold_2_log_loss,fold_2_brier_score,fold_2_roc_auc,fold_2_accuracy,fold_3_log_loss,fold_3_brier_score,fold_3_roc_auc,fold_3_accuracy,fold_4_log_loss,fold_4_brier_score,fold_4_roc_auc,fold_4_accuracy
1,200,0.03,4,10,0.75,0.5291147369968893,0.02720184975670466,0.17667472046012397,0.011356368768860807,0.7927081086284712,0.0264120871298979,0.7273439240264458,0.02548588030413133,0.6942920105105488,0.7565591288050303,0.8286332843931241,0.5008336209509664,0.1650198517261161,0.8099140222552201,0.7547169811320755,0.5234204528329985,0.17420409435022655,0.8111250123002094,0.7287822878228782,0.518260452491367,0.17202927234256307,0.8024709182410692,0.7396937573616019,0.5739444217122252,0.19544566342159017,0.7473224817173861,0.6861826697892272
2,200,0.03,3,10,0.75,0.5297884485701951,0.025797208444348626,0.17676921745169816,0.010874364619936983,0.7914949941275822,0.025231842976410537,0.7288398329470889,0.02008885334291476,0.6972984932473322,0.759429732953662,0.8268666359820703,0.4998766016204068,0.16454669070684105,0.8094068330002994,0.7488207547169812,0.5275653113321819,0.17536159455144437,0.8071327157456738,0.7324723247232472,0.520896029580691,0.1728897803261274,0.8013512557898335,0.7385159010600707,0.5708158517475008,0.1942788042223797,0.7480891719745222,0.6955503512880562
3,200,0.03,4,3,0.75,0.5302384478656854,0.027016674473469664,0.1769359334553528,0.011298408863872829,0.7911091741073728,0.0265234918697409,0.7304817096258263,0.02182105140576098,0.6969456098399955,0.7578472860772592,0.8338355680689526,0.5026575540829663,0.16562287555369481,0.8079647045164289,0.7523584905660378,0.5271256344239769,0.17538380727541864,0.8075052363748823,0.7343173431734318,0.5166184613200936,0.17117292555334926,0.8037084398976984,0.7408716136631331,0.5745521416357052,0.19556412543894858,0.7452583156404813,0.6943793911007026
4,200,0.03,3,3,0.75,0.5306973837115939,0.02518473821815295,0.17715979036561397,0.010630574569187513,0.7904787972692339,0.0247133601885633,0.7297121865112269,0.016452231576621786,0.6970905669904663,0.7582491232309979,0.8315233055207726,0.5020427185645102,0.16545890453217413,0.807579729539802,0.7464622641509434,0.5292781506987304,0.17598090137528413,0.8057761783600659,0.7324723247232472,0.5206170038714392,0.1728574327982124,0.8006588329581481,0.7373380447585395,0.570851661711696,0.19434192275678513,0.7479004482189197,0.702576112412178
5,200,0.03,3,5,0.75,0.5307098447576017,0.02551757729800186,0.1771632845467922,0.01071932243654441,0.7904833593624531,0.024950036955828828,0.7287526315611073,0.017783014697687637,0.6963634482235167,0.7579199960144067,0.829637349189001,0.501297554748616,0.16522005503176174,0.8086796580444494,0.7476415094339622,0.5294587693691601,0.17612946558533113,0.8050100510282975,0.7250922509225092,0.5208639777076834,0.17288835005840086,0.800697137199901,0.7408716136631331,0.5712190772049475,0.19441526751167507,0.7475465911771644,0.7014051522248244
6,350,0.03,2,10,0.75,0.5311867771695631,0.024589752814367326,0.177410170748589,0.010312135918642848,0.7913816827329201,0.02351499542024426,0.7316550667025897,0.019658524083237667,0.6981737980920436,0.7579099325363322,0.8367896771930149,0.5007054282076735,0.16503858413856448,0.8098712472578171,0.7547169811320755,0.5315769854832202,0.17736949694902335,0.8049397641171261,0.7214022140221402,0.5234659193146002,0.17373524142079338,0.7995715817883956,0.7455830388692579,0.5689987756727587,0.1934973604859749,0.7511441377683417,0.7049180327868853
7,350,0.03,3,10,0.75,0.5312145022444555,0.026244965593490762,0.17751958196237122,0.011005024941257307,0.791239699859167,0.026081797264205193,0.7300505924258149,0.018183699317442088,0.6992905642082116,0.7619375120117454,0.8242154655003296,0.5040970098969347,0.16658443545814616,0.8067914474448049,0.7452830188679245,0.5262224404149275,0.17511073836015134,0.8096771019300787,0.7361623616236163,0.5200718339680016,0.17257195345711493,0.8021880561481256,0.7396937573616019,0.5744667246979582,0.19581120057407247,0.7463021939136589,0.6990632318501171
8,200,0.03,4,5,0.75,0.531374684626386,0.02657221272001871,0.17745035173917217,0.011137693387436906,0.7901459516314409,0.026835734880226232,0.7307256924247616,0.02146093863010606,0.6973151745303983,0.758261631858128,0.8336496811952427,0.5051383195993695,0.16662628601232868,0.8058748403575989,0.7488207547169812,0.5244591230530978,0.17435440413403122,0.8104221431884955,0.7435424354243543,0.5202140926700641,0.17273636637252818,0.8001962355769798,0.7361601884570083,0.5756872031830127,0.19608435043780054,0.7440905874026893,0.6943793911007026
9,350,0.03,2,5,0.75,0.5313790274351329,0.024397101733235595,0.1773635760650017,0.010221700814959205,0.7913237412490134,0.02354614552223052,0.731524974645082,0.018134534187548,0.6974005718132978,0.7569816440044167,0.8384993021785019,0.5011629285196099,0.1651484133073204,0.8091746258715407,0.7523584905660378,0.532476433228612,0.17754544060196117,0.8048273050592518,0.7232472324723247,0.5231051940357193,0.17347342798198842,0.8003965962261481,0.7444051825677267,0.5687715539565904,0.19328702236873668,0.750896437839113,0.7060889929742389
10,350,0.03,2,3,0.75,0.5316001320314705,0.024038238237406015,0.1774459735684149,0.010096989350859795,0.7910574189137722,0.02299945394027672,0.7327021486541846,0.018785812448826336,0.6986732569143148,0.7578223176099084,0.839406743194836,0.5017708696738693,0.16538320884193183,0.8083007937817376,0.7558962264150944,0.5330846817957187,0.17778439971148965,0.8042228376231779,0.7232472324723247,0.5232153670198756,0.1734734620545336,0.8001726637359012,0.7444051825677267,0.5683296096364182,0.19314282366570462,0.7515333805142723,0.7072599531615925
11,200,0.03,3,10,1.0,0.5317536527164957,0.025897580627250612,0.17767563218032476,0.010818762172306404,0.7899512052146109,0.025577594312010444,0.7282419252099142,0.01650927504001484,0.6943329653422319,0.7561160038417627,0.8321079890928743,0.4999707590542899,0.16473611510072364,0.8098406936882436,0.7417452830188679,0.5303972164700094,0.17686172855030943,0.805846465271237,0.7324723247232472,0.5246416909620688,0.17441551295721228,0.7978302120287105,0.7385159010600707,0.5720049443796149,0.19468917211305373,0.7462874498702525,0.7002341920374707
