split,metric,model_5,experiment_model_1,delta_experiment_minus_model_5,result
validation,Accuracy,0.7495692130959218,0.742676622630672,-0.006892590465249815,WORSE
test,Accuracy,0.7488738738738738,0.7556306306306306,0.006756756756756799,IMPROVED
validation,Balanced Accuracy,0.7114148849164622,0.7029620795682194,-0.008452805348242776,WORSE
test,Balanced Accuracy,0.7117842599517992,0.7163051608077786,0.004520900855979448,IMPROVED
validation,Precision,0.7761316872427984,0.7698607698607699,-0.006270917382028451,WORSE
test,Precision,0.7859477124183006,0.7870967741935484,0.0011490617752477617,IMPROVED
validation,Recall,0.8518518518518519,0.8491418247515808,-0.0027100271002710175,WORSE
test,Recall,0.8394415357766143,0.8516579406631762,0.012216404886561949,IMPROVED
validation,ROC AUC,0.7988752390152714,0.799599052772862,0.0007238137575906745,IMPROVED
test,ROC AUC,0.8124407878334581,0.8051580376187706,-0.0072827502146874945,WORSE
validation,Log Loss,0.519850101248091,0.5189059173686719,-0.0009441838794190804,IMPROVED
test,Log Loss,0.5043351285230794,0.5109846873483705,0.006649558825291169,WORSE
validation,Brier Score,0.17331445273929036,0.1730105192362077,-0.0003039335030826651,IMPROVED
test,Brier Score,0.16689660510718513,0.16913062609132898,0.002234020984143853,WORSE
validation,ECE,0.022258574684076746,0.02708732019858935,0.004828745514512605,WORSE
test,ECE,0.04165100956999429,0.04364544146959874,0.0019944318996044513,WORSE
validation,MCE,0.08823182741613195,0.06718401808621177,-0.021047809329920175,IMPROVED
test,MCE,0.24432435622472126,0.10766697284549193,-0.13665738337922934,IMPROVED
