split,metric,model_5,experiment_2,delta_experiment_2_minus_model_5
validation,accuracy,0.7495692130959218,0.7443997702469844,-0.005169442848937389
validation,balanced_accuracy,0.7114148849164622,0.7073498442660557,-0.004065040650406471
validation,precision,0.7761316872427984,0.7744610281923715,-0.0016706590504268481
validation,recall,0.8518518518518519,0.8437217705510388,-0.008130081300813052
validation,roc_auc,0.7988752390152714,0.7986287433852256,-0.00024649563004575104
validation,log_loss,0.519850101248091,0.5195265342480907,-0.00032356700000024663
validation,brier_score,0.17331445273929036,0.17301245679157023,-0.00030199594772012395
test,accuracy,0.7488738738738738,0.7522522522522522,0.0033783783783783994
test,balanced_accuracy,0.7117842599517992,0.715116762237181,0.0033325022853818442
test,precision,0.7859477124183006,0.7879282218597063,0.001980509441405709
test,recall,0.8394415357766143,0.8429319371727748,0.003490401396160525
test,roc_auc,0.8124407878334581,0.8109753732790381,-0.0014654145544199526
test,log_loss,0.5043351285230794,0.5060209120674015,0.0016857835443221392
test,brier_score,0.16689660510718513,0.1671598497913407,0.00026324468415556135
