feature,phase,phase_weight,n,raw_mean,raw_std,raw_median,raw_mean_abs,raw_min,raw_max,phase_mean,phase_std,phase_median,phase_mean_abs,phase_min,phase_max
total_ppa,Early,1.0,2881,11.071797986810134,136.8484393827286,3.700000000000003,105.67915654286706,-540.6,561.8,11.071797986810134,136.8484393827286,3.700000000000003,105.67915654286706,-540.6,561.8
total_ppa,Mid,0.67,2177,3.4885392742305927,147.06993633162955,3.8000000000000114,114.61775378961873,-583.3,490.00000000000006,2.3373213137344973,98.5368573421918,2.546000000000008,76.79389503904456,-390.811,328.30000000000007
total_ppa,Late,0.33,4003,3.3862977766675,149.66345661637004,2.5,117.85499625281038,-538.0,551.7,1.117478266300275,49.38894068340212,0.8250000000000001,38.89214876342743,-177.54000000000002,182.06100000000004
passing_ppa,Early,1.0,2881,8.064370010413052,72.43307851303535,0.0,54.4584345713294,-251.0,301.20000000000005,8.064370010413052,72.43307851303535,0.0,54.4584345713294,-251.0,301.20000000000005
passing_ppa,Mid,0.67,2177,1.2785484611851172,78.7619797091734,0.6000000000000014,59.6130454754249,-266.4,260.3,0.8566274689940285,52.77052640514619,0.40200000000000097,39.94074046853468,-178.488,174.401
passing_ppa,Late,0.33,4003,2.0783287534349246,79.87151678497833,1.7000000000000002,61.74730202348238,-258.2,267.1,0.685848488633525,26.35760053904285,0.561,20.37660966774919,-85.206,88.14300000000001
receiving_ppa,Early,1.0,2881,4.349861159319681,64.04936819323777,0.6000000000000014,50.06076015272475,-283.8,240.20000000000002,4.349861159319681,64.04936819323777,0.6000000000000014,50.06076015272475,-283.8,240.20000000000002
receiving_ppa,Mid,0.67,2177,1.5652273771244833,68.44457495229948,1.1000000000000085,54.296233348644925,-258.4,230.6,1.0487023426734035,45.85786521804065,0.7370000000000058,36.3784763435921,-173.128,154.502
receiving_ppa,Late,0.33,4003,0.6541718710966778,69.8900376137659,0.6999999999999957,55.461166625031225,-258.5,260.4,0.21587671746190365,23.063712412542746,0.2309999999999986,18.302184986260304,-85.305,85.932
rushing_ppa,Early,1.0,2881,3.967858382506074,46.90991652775614,0.5999999999999943,35.35945852134676,-205.6,195.0,3.967858382506074,46.90991652775614,0.5999999999999943,35.35945852134676,-205.6,195.0
rushing_ppa,Mid,0.67,2177,0.9246669728984843,51.50478233695393,1.2000000000000028,39.50886541111621,-189.6,206.7,0.6195268718419843,34.50820416575913,0.8040000000000019,26.470939825447868,-127.03200000000001,138.489
rushing_ppa,Late,0.33,4003,0.7617536847364476,51.33414451099721,1.2999999999999972,39.30059955033725,-219.2,206.39999999999998,0.25137871596302774,16.94026768862908,0.4289999999999991,12.969197851611291,-72.336,68.112
usage,Early,1.0,2881,-0.006114890662964252,0.2651365079952988,-0.00599999999999995,0.21639604304061086,-0.757,0.716,-0.006114890662964252,0.2651365079952988,-0.00599999999999995,0.21639604304061086,-0.757,0.716
usage,Mid,0.67,2177,-4.1111621497471203e-05,0.2915291592992743,0.0010000000000000009,0.23635300872760684,-0.744,0.839,-2.7544786403305694e-05,0.19532453673051384,0.0006700000000000007,0.15835651584749658,-0.49848000000000003,0.56213
usage,Late,0.33,4003,0.0016704971271546344,0.2949362103274986,0.0050000000000000044,0.23863877092180863,-0.8310000000000001,0.821,0.0005512640519610293,0.09732894940807456,0.0016500000000000015,0.07875079440419686,-0.27423000000000003,0.27093
passing_usage,Early,1.0,2881,-0.04905328011107255,0.5001951402437238,-0.0030000000000000027,0.3950164873307879,-1.0,1.0,-0.04905328011107255,0.5001951402437238,-0.0030000000000000027,0.3950164873307879,-1.0,1.0
passing_usage,Mid,0.67,2177,-0.0004823151125401916,0.5412971913730827,0.0,0.4217524115755627,-1.0,1.0,-0.00032315112540192803,0.36266911821996545,0.0,0.282574115755627,-0.67,0.67
passing_usage,Late,0.33,4003,0.006824881338995755,0.5527490915020815,0.0,0.4348113914564077,-1.0,1.0,0.0022522108418685993,0.1824072001956869,0.0,0.14348775918061452,-0.33,0.33
receiving_usage,Early,1.0,2881,3.0718500520651556e-05,0.2408428858626084,0.0040000000000000036,0.19031811870878165,-0.8400000000000001,0.772,3.0718500520651556e-05,0.2408428858626084,0.0040000000000000036,0.19031811870878165,-0.8400000000000001,0.772
receiving_usage,Mid,0.67,2177,-6.95911805236562e-05,0.26854555639214545,-0.0049999999999999975,0.2159956361966008,-0.784,0.7789999999999999,-4.662609095085018e-05,0.1799255227827375,-0.0033499999999999984,0.14471707625172256,-0.5252800000000001,0.52193
receiving_usage,Late,0.33,4003,-0.00032613040219835334,0.26536232996340714,0.0020000000000000018,0.21348001498875843,-0.9279999999999999,0.7919999999999999,-0.00010762303272545585,0.08756956888792437,0.0006600000000000006,0.07044840494629027,-0.30624,0.26136
rushing_usage,Early,1.0,2881,-0.00703922249219021,0.30599584383970485,-0.0015000000000000013,0.24824887191947237,-0.876,0.869,-0.00703922249219021,0.30599584383970485,-0.0015000000000000013,0.24824887191947237,-0.876,0.869
rushing_usage,Mid,0.67,2177,0.0013817179604960971,0.33492252402798356,0.0,0.2730560404225999,-0.901,0.928,0.0009257510335323825,0.22439809109874898,0.0,0.18294754708314198,-0.60367,0.6217600000000001
rushing_usage,Late,0.33,4003,-0.0005509617786659996,0.33518248537430834,-0.0020000000000000018,0.272416812390707,-0.923,0.912,-0.0001818173869597804,0.11061022017352176,-0.0006600000000000006,0.08989754808893329,-0.30459,0.30096
