feature,phase,phase_weight,n,raw_mean_abs,phase_mean_abs,observed_phase_to_raw_ratio,expected_weight_ratio
total_ppa,Early,1.0,2881,105.67915654286706,105.67915654286706,1.0,1.0
total_ppa,Mid,0.67,2177,114.61775378961873,76.79389503904456,0.67,0.67
total_ppa,Late,0.33,4003,117.85499625281038,38.89214876342743,0.33,0.33
passing_ppa,Early,1.0,2881,54.4584345713294,54.4584345713294,1.0,1.0
passing_ppa,Mid,0.67,2177,59.6130454754249,39.94074046853468,0.6699999999999999,0.67
passing_ppa,Late,0.33,4003,61.74730202348238,20.37660966774919,0.33000000000000007,0.33
receiving_ppa,Early,1.0,2881,50.06076015272475,50.06076015272475,1.0,1.0
receiving_ppa,Mid,0.67,2177,54.296233348644925,36.3784763435921,0.6699999999999999,0.67
receiving_ppa,Late,0.33,4003,55.461166625031225,18.302184986260304,0.33,0.33
rushing_ppa,Early,1.0,2881,35.35945852134676,35.35945852134676,1.0,1.0
rushing_ppa,Mid,0.67,2177,39.50886541111621,26.470939825447868,0.6700000000000002,0.67
rushing_ppa,Late,0.33,4003,39.30059955033725,12.969197851611291,0.32999999999999996,0.33
usage,Early,1.0,2881,0.21639604304061086,0.21639604304061086,1.0,1.0
usage,Mid,0.67,2177,0.23635300872760684,0.15835651584749658,0.6699999999999999,0.67
usage,Late,0.33,4003,0.23863877092180863,0.07875079440419686,0.33,0.33
passing_usage,Early,1.0,2881,0.3950164873307879,0.3950164873307879,1.0,1.0
passing_usage,Mid,0.67,2177,0.4217524115755627,0.282574115755627,0.67,0.67
passing_usage,Late,0.33,4003,0.4348113914564077,0.14348775918061452,0.32999999999999996,0.33
receiving_usage,Early,1.0,2881,0.19031811870878165,0.19031811870878165,1.0,1.0
receiving_usage,Mid,0.67,2177,0.2159956361966008,0.14471707625172256,0.67,0.67
receiving_usage,Late,0.33,4003,0.21348001498875843,0.07044840494629027,0.32999999999999996,0.33
rushing_usage,Early,1.0,2881,0.24824887191947237,0.24824887191947237,1.0,1.0
rushing_usage,Mid,0.67,2177,0.2730560404225999,0.18294754708314198,0.6700000000000002,0.67
rushing_usage,Late,0.33,4003,0.272416812390707,0.08989754808893329,0.32999999999999996,0.33
