split,season_phase,feature_group,relative_feature,phase_feature,N,raw_standardized_difference,phase_standardized_difference,effect_change
train,Early,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,2095,0.6175436465734174,0.6175436465734174,0.0
train,Early,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,2095,0.48106099744915565,0.48106099744915565,0.0
train,Early,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,2095,0.47031146462518647,0.47031146462518647,0.0
train,Early,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,2095,0.4699310508634287,0.4699310508634287,0.0
train,Early,Total Usage,returning_usage_diff,returning_usage_diff_phase,2095,0.11949977275879337,0.11949977275879337,0.0
train,Early,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,2095,0.006258956161658349,0.006258956161658349,0.0
train,Early,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,2095,0.09579871141151522,0.09579871141151522,0.0
train,Early,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,2095,0.03985338483442712,0.03985338483442712,0.0
train,Mid,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,1551,0.6310415149323078,0.6310415149323078,0.0
train,Mid,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,1551,0.4645997435427673,0.4645997435427672,-1.1102230246251565e-16
train,Mid,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,1551,0.4599403789680981,0.45994037896809814,5.551115123125783e-17
train,Mid,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,1551,0.3993097201350752,0.3993097201350752,0.0
train,Mid,Total Usage,returning_usage_diff,returning_usage_diff_phase,1551,0.1578271384023203,0.15782713840232024,-5.551115123125783e-17
train,Mid,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,1551,0.1291649672927467,0.1291649672927467,0.0
train,Mid,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,1551,0.13088056229497788,0.13088056229497788,0.0
train,Mid,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,1551,0.07293159083415753,0.07293159083415757,4.163336342344337e-17
train,Late,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,2786,0.6436752531072654,0.6436752531072654,0.0
train,Late,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,2786,0.4548866353954408,0.45488663539544094,1.6653345369377348e-16
train,Late,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,2786,0.5133108213818524,0.5133108213818525,1.1102230246251565e-16
train,Late,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,2786,0.3904099071780916,0.3904099071780916,0.0
train,Late,Total Usage,returning_usage_diff,returning_usage_diff_phase,2786,0.2588398611035397,0.2588398611035396,-5.551115123125783e-17
train,Late,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,2786,0.1613473332994328,0.16134733329943274,-5.551115123125783e-17
train,Late,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,2786,0.27540012000908887,0.27540012000908887,0.0
train,Late,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,2786,0.16826518589138287,0.1682651858913829,2.7755575615628914e-17
validation,Early,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,522,0.5533505043750889,0.5533505043750889,0.0
validation,Early,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,522,0.4788483761911575,0.4788483761911575,0.0
validation,Early,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,522,0.46938495651265033,0.46938495651265033,0.0
validation,Early,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,522,0.4498831897370686,0.4498831897370686,0.0
validation,Early,Total Usage,returning_usage_diff,returning_usage_diff_phase,522,0.1993985657165283,0.1993985657165283,0.0
validation,Early,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,522,0.1176328585205461,0.1176328585205461,0.0
validation,Early,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,522,0.25253904963944496,0.25253904963944496,0.0
validation,Early,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,522,0.1541587176690144,0.1541587176690144,0.0
validation,Mid,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,414,0.37714217546856393,0.3771421754685639,-5.551115123125783e-17
validation,Mid,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,414,0.31377334777386673,0.3137733477738667,-5.551115123125783e-17
validation,Mid,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,414,0.2434477913650113,0.24344779136501135,5.551115123125783e-17
validation,Mid,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,414,0.3738021775860568,0.3738021775860568,0.0
validation,Mid,Total Usage,returning_usage_diff,returning_usage_diff_phase,414,0.2737643422089333,0.27376434220893336,5.551115123125783e-17
validation,Mid,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,414,0.1626226411491446,0.16262264114914457,-2.7755575615628914e-17
validation,Mid,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,414,0.20047225799029567,0.2004722579902957,2.7755575615628914e-17
validation,Mid,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,414,0.26255780297471204,0.262557802974712,-5.551115123125783e-17
validation,Late,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,805,0.5439079454481657,0.5439079454481658,1.1102230246251565e-16
validation,Late,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,805,0.4694821127892783,0.46948211278927837,5.551115123125783e-17
validation,Late,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,805,0.4052272825575447,0.40522728255754464,-5.551115123125783e-17
validation,Late,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,805,0.3923665682338098,0.3923665682338098,0.0
validation,Late,Total Usage,returning_usage_diff,returning_usage_diff_phase,805,0.32679181106441035,0.3267918110644104,5.551115123125783e-17
validation,Late,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,805,0.2669720659592223,0.26697206595922235,5.551115123125783e-17
validation,Late,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,805,0.2513400358075989,0.2513400358075989,0.0
validation,Late,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,805,0.21726318922435772,0.21726318922435778,5.551115123125783e-17
test,Early,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,264,0.4761690203057618,0.4761690203057618,0.0
test,Early,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,264,0.5159886792915411,0.5159886792915411,0.0
test,Early,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,264,0.24950180855139004,0.24950180855139004,0.0
test,Early,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,264,0.45164532057112194,0.45164532057112194,0.0
test,Early,Total Usage,returning_usage_diff,returning_usage_diff_phase,264,0.3642783715821324,0.3642783715821324,0.0
test,Early,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,264,0.30574623468721496,0.30574623468721496,0.0
test,Early,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,264,0.03554953647727198,0.03554953647727198,0.0
test,Early,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,264,0.3753216754925387,0.3753216754925387,0.0
test,Mid,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,212,0.09904206779220442,0.0990420677922045,6.938893903907228e-17
test,Mid,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,212,-0.037648999975127925,-0.03764899997512797,-4.163336342344337e-17
test,Mid,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,212,0.13887417347896963,0.1388741734789696,-2.7755575615628914e-17
test,Mid,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,212,0.2351217206173805,0.23512172061738054,5.551115123125783e-17
test,Mid,Total Usage,returning_usage_diff,returning_usage_diff_phase,212,-0.13726376283264494,-0.13726376283264483,1.1102230246251565e-16
test,Mid,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,212,-0.22024394739037037,-0.22024394739037034,2.7755575615628914e-17
test,Mid,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,212,0.12173229756846968,0.12173229756846966,-1.3877787807814457e-17
test,Mid,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,212,0.0225134398536222,0.022513439853622193,-6.938893903907228e-18
test,Late,Total PPA,returning_total_ppa_diff,returning_total_ppa_diff_phase,412,0.2880079961622066,0.2880079961622066,0.0
test,Late,Passing PPA,returning_passing_ppa_diff,returning_passing_ppa_diff_phase,412,0.09206707177797623,0.09206707177797623,0.0
test,Late,Receiving PPA,returning_receiving_ppa_diff,returning_receiving_ppa_diff_phase,412,0.2899815668394519,0.2899815668394518,-1.1102230246251565e-16
test,Late,Rushing PPA,returning_rushing_ppa_diff,returning_rushing_ppa_diff_phase,412,0.3560110636522007,0.3560110636522008,1.1102230246251565e-16
test,Late,Total Usage,returning_usage_diff,returning_usage_diff_phase,412,0.15814982537038857,0.15814982537038863,5.551115123125783e-17
test,Late,Passing Usage,returning_passing_usage_diff,returning_passing_usage_diff_phase,412,0.031111133315964698,0.031111133315964688,-1.0408340855860843e-17
test,Late,Receiving Usage,returning_receiving_usage_diff,returning_receiving_usage_diff_phase,412,0.19956444622170186,0.19956444622170189,2.7755575615628914e-17
test,Late,Rushing Usage,returning_rushing_usage_diff,returning_rushing_usage_diff_phase,412,0.18534638230007647,0.1853463823000765,2.7755575615628914e-17
