split,model,season_phase,N,Log Loss,Brier,ROC AUC,Accuracy,ECE,MCE
test,Model 5,Overall,888,0.5043351285230794,0.16689660510718513,0.8124407878334581,0.7488738738738738,0.04165100956999429,0.24432435622472126
test,Experiment 2,Overall,888,0.5060209120674015,0.1671598497913407,0.8109753732790381,0.7522522522522522,0.04193973807705287,0.09728962670532693
test,Experiment 3,Overall,888,0.5022936599124094,0.16552855426181898,0.815003185683814,0.7511261261261262,0.049116036316689836,0.12778517347781349
test,Model 5,Early,264,0.4430408341301951,0.14165091127564597,0.8155849524596942,0.803030303030303,0.10090227527291314,0.19429998956845745
test,Experiment 2,Early,264,0.44924649373796705,0.14463230690234866,0.8002480363786688,0.7878787878787878,0.09147727935220117,0.2501547382543841
test,Experiment 3,Early,264,0.44306684820640496,0.14148267654555546,0.807689127738735,0.7916666666666666,0.08978450525110006,0.24572592999331833
test,Model 5,Mid,212,0.5508768299283764,0.185396356200514,0.7769804822043629,0.7122641509433962,0.06688071730116739,0.9164717886139955
test,Experiment 2,Mid,212,0.558901702070178,0.18778395394207276,0.7687523918867202,0.7216981132075472,0.07451771761813354,0.9244040066598598
test,Experiment 3,Mid,212,0.5521842196270862,0.18623505852455746,0.7724837351703024,0.7122641509433962,0.04505220187194924,0.1775437461990075
test,Model 5,Late,412,0.5196624416827844,0.17355416806772067,0.8135263612791703,0.7330097087378641,0.06145565799007803,0.09174935996991584
test,Experiment 2,Late,412,0.5151901328401737,0.17098257125429878,0.8197205416306541,0.7451456310679612,0.04493185075295153,0.13331638109231483
test,Experiment 3,Late,412,0.5145729794048213,0.17028178924578258,0.8213531162969364,0.7451456310679612,0.04776860001588939,0.12419709062001194
validation,Model 5,Overall,1741,0.519850101248091,0.17331445273929036,0.7988752390152714,0.7495692130959218,0.022258574684076746,0.08823182741613195
validation,Experiment 2,Overall,1741,0.5195265342480907,0.17301245679157023,0.7986287433852256,0.7443997702469844,0.02366910161787192,0.09006810318103647
validation,Experiment 3,Overall,1741,0.5216909594964269,0.17392001811484253,0.7960668986290284,0.7409534750143596,0.028461194651581586,0.0906677742484244
validation,Model 5,Early,522,0.4369914546975405,0.13911210847216102,0.8244505494505494,0.8065134099616859,0.05939018909557779,0.08355444530036826
validation,Experiment 2,Early,522,0.4354279203560728,0.13840940646727315,0.827295918367347,0.8007662835249042,0.05924466570984082,0.1096799856469135
validation,Experiment 3,Early,522,0.43536801143975506,0.13889861298213196,0.82611852433281,0.7969348659003831,0.061367162721850874,0.11453188880161802
validation,Model 5,Mid,414,0.5348041861409539,0.17822172553751334,0.7948101048290085,0.7463768115942029,0.037661798459652986,0.09442855125132932
validation,Experiment 2,Mid,414,0.5428918304795374,0.18177818244737945,0.7821422433898804,0.7367149758454107,0.02915759814666417,0.15046973871249758
validation,Experiment 3,Mid,414,0.5433616504537989,0.1816271913715053,0.7821667935089485,0.7367149758454107,0.028845154544985565,0.10793361865768092
validation,Model 5,Late,805,0.5658888867806896,0.19296912698646712,0.772089912031603,0.7142857142857143,0.04683597939105859,0.10177193441724158
validation,Experiment 2,Late,805,0.5620436073062451,0.19094262057762992,0.7763810533489834,0.7118012422360248,0.038495058124657006,0.08924034227202308
validation,Experiment 3,Late,805,0.5665219071103778,0.1926658612838072,0.7721214645412897,0.7068322981366459,0.04094200964002778,0.09159901696617605
