feature,feature_index
awayCompletionPctBefore_away,0
awayCompletionsAvgBefore_away,1
awayCompletionsBefore_away,2
awayDefensiveTDsAvgBefore_away,3
awayDefensiveTDsBefore_away,4
awayFirstDownsAvgBefore_away,5
awayFirstDownsBefore_away,6
awayFourthDownAttemptsAvgBefore_away,7
awayFourthDownAttemptsBefore_away,8
awayFourthDownConversionsAvgBefore_away,9
awayFourthDownConversionsBefore_away,10
awayFourthDownPctBefore_away,11
awayFumblesLostAvgBefore_away,12
awayFumblesLostBefore_away,13
awayGamesBefore_away,14
awayInterceptionsAvgBefore_away,15
awayInterceptionsBefore_away,16
awayNetPassingYardsAvgBefore_away,17
awayNetPassingYardsBefore_away,18
awayPassAttemptsAvgBefore_away,19
awayPassAttemptsBefore_away,20
awayPassesDeflectedAvgBefore_away,21
awayPassesDeflectedBefore_away,22
awayPassingTDsAvgBefore_away,23
awayPassingTDsBefore_away,24
awayPenaltiesAvgBefore_away,25
awayPenaltiesBefore_away,26
awayPenaltyYardsAvgBefore_away,27
awayPenaltyYardsBefore_away,28
awayPointDifferentialAvgBefore_away,29
awayPointDifferentialBefore_away,30
awayPointsAgainstAvgBefore_away,31
awayPointsAgainstBefore_away,32
awayPointsForAvgBefore_away,33
awayPointsForBefore_away,34
awayPossessionSecondsAvgBefore_away,35
awayPossessionSecondsBefore_away,36
awayPregameElo,37
awayQbHurriesAvgBefore_away,38
awayQbHurriesBefore_away,39
awayRushingAttemptsAvgBefore_away,40
awayRushingAttemptsBefore_away,41
awayRushingTDsAvgBefore_away,42
awayRushingTDsBefore_away,43
awayRushingYardsAvgBefore_away,44
awayRushingYardsBefore_away,45
awaySacksAvgBefore_away,46
awaySacksBefore_away,47
awayTacklesForLossAvgBefore_away,48
awayTacklesForLossBefore_away,49
awayThirdDownAttemptsAvgBefore_away,50
awayThirdDownAttemptsBefore_away,51
awayThirdDownConversionsAvgBefore_away,52
awayThirdDownConversionsBefore_away,53
awayThirdDownPctBefore_away,54
awayTotalYardsAvgBefore_away,55
awayTotalYardsBefore_away,56
awayTurnoversAvgBefore_away,57
awayTurnoversBefore_away,58
awayWinPctBefore_away,59
awayWinsBefore_away,60
awayYardsPerPassAttemptBefore_away,61
awayYardsPerRushAttemptBefore_away,62
away_pregame_defense_explosiveness,63
away_pregame_defense_ppa,64
away_pregame_defense_successRate,65
away_pregame_offense_explosiveness,66
away_pregame_offense_ppa,67
away_pregame_offense_successRate,68
completionPctBefore_away,69
completionPctBefore_home,70
completionsAvgBefore_away,71
completionsAvgBefore_home,72
completionsBefore_away,73
completionsBefore_home,74
defensiveTDsAvgBefore_away,75
defensiveTDsAvgBefore_home,76
defensiveTDsBefore_away,77
defensiveTDsBefore_home,78
firstDownsAvgBefore_away,79
firstDownsAvgBefore_home,80
firstDownsBefore_away,81
firstDownsBefore_home,82
fourthDownAttemptsAvgBefore_away,83
fourthDownAttemptsAvgBefore_home,84
fourthDownAttemptsBefore_away,85
fourthDownAttemptsBefore_home,86
fourthDownConversionsAvgBefore_away,87
fourthDownConversionsAvgBefore_home,88
fourthDownConversionsBefore_away,89
fourthDownConversionsBefore_home,90
fourthDownPctBefore_away,91
fourthDownPctBefore_home,92
fumblesLostAvgBefore_away,93
fumblesLostAvgBefore_home,94
fumblesLostBefore_away,95
fumblesLostBefore_home,96
gamesBefore_away,97
gamesBefore_home,98
homeCompletionPctBefore_home,99
homeCompletionsAvgBefore_home,100
homeCompletionsBefore_home,101
homeDefensiveTDsAvgBefore_home,102
homeDefensiveTDsBefore_home,103
homeFirstDownsAvgBefore_home,104
homeFirstDownsBefore_home,105
homeFourthDownAttemptsAvgBefore_home,106
homeFourthDownAttemptsBefore_home,107
homeFourthDownConversionsAvgBefore_home,108
homeFourthDownConversionsBefore_home,109
homeFourthDownPctBefore_home,110
homeFumblesLostAvgBefore_home,111
homeFumblesLostBefore_home,112
homeGamesBefore_home,113
homeInterceptionsAvgBefore_home,114
homeInterceptionsBefore_home,115
homeNetPassingYardsAvgBefore_home,116
homeNetPassingYardsBefore_home,117
homePassAttemptsAvgBefore_home,118
homePassAttemptsBefore_home,119
homePassesDeflectedAvgBefore_home,120
homePassesDeflectedBefore_home,121
homePassingTDsAvgBefore_home,122
homePassingTDsBefore_home,123
homePenaltiesAvgBefore_home,124
homePenaltiesBefore_home,125
homePenaltyYardsAvgBefore_home,126
homePenaltyYardsBefore_home,127
homePointDifferentialAvgBefore_home,128
homePointDifferentialBefore_home,129
homePointsAgainstAvgBefore_home,130
homePointsAgainstBefore_home,131
homePointsForAvgBefore_home,132
homePointsForBefore_home,133
homePossessionSecondsAvgBefore_home,134
homePossessionSecondsBefore_home,135
homePregameElo,136
homeQbHurriesAvgBefore_home,137
homeQbHurriesBefore_home,138
homeRushingAttemptsAvgBefore_home,139
homeRushingAttemptsBefore_home,140
homeRushingTDsAvgBefore_home,141
homeRushingTDsBefore_home,142
homeRushingYardsAvgBefore_home,143
homeRushingYardsBefore_home,144
homeSacksAvgBefore_home,145
homeSacksBefore_home,146
homeTacklesForLossAvgBefore_home,147
homeTacklesForLossBefore_home,148
homeThirdDownAttemptsAvgBefore_home,149
homeThirdDownAttemptsBefore_home,150
homeThirdDownConversionsAvgBefore_home,151
homeThirdDownConversionsBefore_home,152
homeThirdDownPctBefore_home,153
homeTotalYardsAvgBefore_home,154
homeTotalYardsBefore_home,155
homeTurnoversAvgBefore_home,156
homeTurnoversBefore_home,157
homeWinPctBefore_home,158
homeWinsBefore_home,159
homeYardsPerPassAttemptBefore_home,160
homeYardsPerRushAttemptBefore_home,161
home_pregame_defense_explosiveness,162
home_pregame_defense_ppa,163
home_pregame_defense_successRate,164
home_pregame_offense_explosiveness,165
home_pregame_offense_ppa,166
home_pregame_offense_successRate,167
interceptionsAvgBefore_away,168
interceptionsAvgBefore_home,169
interceptionsBefore_away,170
interceptionsBefore_home,171
netPassingYardsAvgBefore_away,172
netPassingYardsAvgBefore_home,173
netPassingYardsAvgLast3_away,174
