feature,model_3_coefficient,model_4_coefficient,coefficient_change,absolute_change,model_3_odds_ratio,model_4_odds_ratio
winPctDiff,0.14613856514868892,0.11318735397869888,-0.032951211169990044,0.032951211169990044,1.157356546222426,1.119841720097517
pointDifferentialAvgDiff,0.35620267759076846,0.30737106010577014,-0.04883161748499831,0.04883161748499831,1.4278969216460493,1.3598454588677866
pointsForAvgDiff,0.2415048611966748,0.13953396170653112,-0.10197089949014368,0.10197089949014368,1.2731636440013563,1.1497378521145387
pointsAgainstAvgDiff,0.34079915495725743,0.36936419409784493,0.0285650391405875,0.0285650391405875,1.406070810148751,1.4468144290113003
yardsPerPassAttemptDiff,0.11345154941617368,0.05724438417049927,-0.05620716524567441,0.05620716524567441,1.1201376162561472,1.0589145607335233
yardsPerRushAttemptDiff,0.015107185349265796,0.036591436940334905,0.02148425159106911,0.02148425159106911,1.0152218756954667,1.0372691443985942
pointsForTrendDiff,0.039788789290852215,0.039973600676438785,0.00018481138558656962,0.00018481138558656962,1.0405909670243134,1.0407832978546743
pointsAgainstTrendDiff,0.023695809150078552,0.02594124421176941,0.0022454350616908578,0.0022454350616908578,1.0239787855333047,1.0262806467735754
pointDifferentialTrendDiff,0.041684361052307745,0.043278003193603885,0.0015936421412961407,0.0015936421412961407,1.042565352580188,1.0442281532638187
totalYardsTrendDiff,0.021897311865180347,0.017889286734323755,-0.004008025130856591,0.004008025130856591,1.0221388175524007,1.018050258481486
netPassingYardsTrendDiff,-0.015693047054600357,-0.008923217965745548,0.006769829088854809,0.006769829088854809,0.9844294472018609,0.9911164757905987
winPctTrendDiff,0.031055769002544455,0.02304784370569351,-0.008007925296850946,0.008007925296850946,1.031543030408297,1.023315497581539
priorSOSWinPctDiff,0.0007786492316181354,0.004903396918937743,0.004124747687319607,0.004124747687319607,1.0007789524576283,1.0049154382426952
priorSOSPointDiffDiff,0.26073074869811813,0.25181319839522687,-0.008917550302891264,0.008917550302891264,1.2978781629987373,1.2863557215267645
turnoversAvgDiff,0.0,-0.009905655073979584,-0.009905655073979584,0.009905655073979584,1.0,0.9901432443338277
thirdDownPctDiff,0.0,0.029067573248486647,0.029067573248486647,0.029067573248486647,1.0,1.0294941583893549
sacksAvgDiff,0.0,0.09219363332869214,0.09219363332869214,0.09219363332869214,1.0,1.096577135405582
completionPctDiff,0.0,0.13923358124090962,0.13923358124090962,0.13923358124090962,1.0,1.1493925451875022
totalYardsAvgDiff,0.0,0.10155271788404777,0.10155271788404777,0.10155271788404777,1.0,1.1068882696612983
possessionSecondsAvgDiff,0.0,-0.01890471348163417,-0.01890471348163417,0.01890471348163417,1.0,0.9812728598625872
penaltyYardsAvgDiff,0.0,0.02116129797890368,0.02116129797890368,0.02116129797890368,1.0,1.0213867859757704
