dataset,bin,rows,mean_predicted_probability,observed_home_win_rate,calibration_error
validation,1,13,0.05428869424055746,0.23076923076923078,0.17648053652867332
validation,2,35,0.1585963976598129,0.34285714285714286,0.18426074519732996
validation,3,76,0.24663290918028247,0.23684210526315788,-0.009790803917124585
validation,4,115,0.3566603834556066,0.3391304347826087,-0.017529948672997897
validation,5,181,0.4512209953952977,0.36464088397790057,-0.08658011141739713
validation,6,223,0.5528213853976098,0.5246636771300448,-0.02815770826756503
validation,7,478,0.6478070618067562,0.7322175732217573,0.08441051141500111
validation,8,270,0.7472928654099058,0.7333333333333333,-0.013959532076572523
validation,9,231,0.8491003272033172,0.8528138528138528,0.0037135256105356174
validation,10,119,0.9399999886408491,0.8991596638655462,-0.04084032477530286
test,1,6,0.05525906293557386,0.3333333333333333,0.27807427039775945
test,2,18,0.15187468687806543,0.3888888888888889,0.23701420201082346
test,3,41,0.2593051765919103,0.4634146341463415,0.20410945755443116
test,4,71,0.3598709024519035,0.29577464788732394,-0.06409625456457957
test,5,90,0.4536783125216244,0.4444444444444444,-0.009233868077179963
test,6,106,0.5524554111728145,0.5094339622641509,-0.04302144890866355
test,7,243,0.6484223706489638,0.6790123456790124,0.030589975030048566
test,8,139,0.747498465389001,0.7482014388489209,0.0007029734599198756
test,9,117,0.845280047602928,0.9145299145299145,0.06924986692698654
test,10,57,0.938720668120504,0.9473684210526315,0.008647752932127495
