dataset,method,bin,bin_lower,bin_upper,count,mean_predicted_probability,observed_win_rate,absolute_error,squared_error
oof,raw_model_4,1,0.0,0.1,97,0.07409313847778279,0.16494845360824742,0.09085531513046463,0.008254688287456036
oof,raw_model_4,2,0.1,0.2,319,0.15468896114924507,0.15673981191222572,0.002050850762980644,4.205988852018289e-06
oof,raw_model_4,3,0.2,0.30000000000000004,387,0.250530812206476,0.2558139534883721,0.005283141281896109,2.7911581804474858e-05
oof,raw_model_4,4,0.30000000000000004,0.4,450,0.34854611246804634,0.36666666666666664,0.018120554198620298,0.0003283544844651357
oof,raw_model_4,5,0.4,0.5,534,0.4502282611647111,0.5037453183520599,0.05351705718734884,0.002864075409993966
oof,raw_model_4,6,0.5,0.6000000000000001,630,0.5500767076815527,0.5317460317460317,0.018330675935520957,0.0003360136802530871
oof,raw_model_4,7,0.6000000000000001,0.7000000000000001,702,0.6479643286012625,0.6367521367521367,0.011212191849125808,0.0001257132460616032
oof,raw_model_4,8,0.7000000000000001,0.8,728,0.7511379314291384,0.7733516483516484,0.022213716922509952,0.000493449219513405
oof,raw_model_4,9,0.8,0.9,813,0.8505317086726318,0.8585485854858549,0.00801687681322305,6.427031383839338e-05
oof,raw_model_4,10,0.9,1.0,943,0.9359325123719371,0.9204665959703076,0.015465916401629531,0.00023919457014219336
oof,sigmoid,1,0.0,0.1,65,0.07918227775481942,0.1076923076923077,0.028510029937488274,0.0008128218070364776
oof,sigmoid,2,0.1,0.2,271,0.15756179694650682,0.15867158671586715,0.0011097897693603254,1.2316333321768442e-06
oof,sigmoid,3,0.2,0.30000000000000004,371,0.25042256621607545,0.22911051212938005,0.021312054086695398,0.00045420364939423
oof,sigmoid,4,0.30000000000000004,0.4,464,0.3508407165918746,0.3642241379310345,0.013383421339159873,0.00017911596674147985
oof,sigmoid,5,0.4,0.5,532,0.45245765194175025,0.4699248120300752,0.01746716008832494,0.00030510168155117173
oof,sigmoid,6,0.5,0.6000000000000001,664,0.551458008047741,0.5316265060240963,0.019831502023644698,0.00039328847251382374
oof,sigmoid,7,0.6000000000000001,0.7000000000000001,737,0.6489729657709475,0.6309362279511533,0.018036737819794202,0.0003253239111799945
oof,sigmoid,8,0.7000000000000001,0.8,773,0.7511430732489178,0.7684346701164295,0.017291596867511694,0.0002989993222285402
oof,sigmoid,9,0.8,0.9,850,0.8511019928277282,0.8552941176470589,0.004192124819330623,1.7573910500847805e-05
oof,sigmoid,10,0.9,1.0,876,0.9328714384525623,0.932648401826484,0.00022303662607825459,4.974533657237115e-08
oof,isotonic,1,0.0,0.1,0,,,,
oof,isotonic,2,0.1,0.2,443,0.15575620767494355,0.15575620767494355,0.0,0.0
oof,isotonic,3,0.2,0.30000000000000004,313,0.2364217252396166,0.2364217252396166,0.0,0.0
oof,isotonic,4,0.30000000000000004,0.4,504,0.3730158730158731,0.373015873015873,5.551115123125783e-17,3.0814879110195774e-33
oof,isotonic,5,0.4,0.5,116,0.4396551724137932,0.4396551724137931,1.1102230246251565e-16,1.232595164407831e-32
oof,isotonic,6,0.5,0.6000000000000001,1087,0.5280588776448943,0.5280588776448942,1.1102230246251565e-16,1.232595164407831e-32
oof,isotonic,7,0.6000000000000001,0.7000000000000001,881,0.6583427922814983,0.6583427922814983,0.0,0.0
oof,isotonic,8,0.7000000000000001,0.8,235,0.774468085106383,0.774468085106383,0.0,0.0
oof,isotonic,9,0.8,0.9,1153,0.8482220294882914,0.8482220294882914,0.0,0.0
oof,isotonic,10,0.9,1.0,871,0.9345579311136626,0.9345579793340988,4.8220436199564176e-08,2.3252104672762393e-15
