dataset,bin_lower,bin_upper,n_games,mean_predicted_probability,observed_home_win_rate,calibration_error
Validation,0.0,0.05,0,,,
Validation,0.05,0.1,3,0.08854368737271213,0.0,-0.08854368737271213
Validation,0.1,0.15000000000000002,6,0.1334924667652609,0.16666666666666666,0.03317419990140577
Validation,0.15000000000000002,0.2,23,0.17544923536178755,0.08695652173913043,-0.08849271362265712
Validation,0.2,0.25,33,0.22986740673891445,0.24242424242424243,0.012556835685327977
Validation,0.25,0.30000000000000004,50,0.2809596880927271,0.36,0.0790403119072729
Validation,0.30000000000000004,0.35000000000000003,73,0.32778118909466664,0.1780821917808219,-0.14969899731384473
Validation,0.35000000000000003,0.4,77,0.37661113894952897,0.2987012987012987,-0.07790984024823028
Validation,0.4,0.45,115,0.42655228965342146,0.3391304347826087,-0.08742185487081278
Validation,0.45,0.5,112,0.4750293645058217,0.4732142857142857,-0.001815078791536029
Validation,0.5,0.55,117,0.5266682964840668,0.5897435897435898,0.06307529325952299
Validation,0.55,0.6000000000000001,128,0.578010279674444,0.5234375,-0.05457277967444396
Validation,0.6000000000000001,0.65,169,0.6237448246293579,0.6923076923076923,0.06856286767833442
Validation,0.65,0.7000000000000001,154,0.6750172413374451,0.7337662337662337,0.058748992428788616
Validation,0.7000000000000001,0.75,189,0.7241379318794127,0.783068783068783,0.05893085118937036
Validation,0.75,0.8,160,0.7726855428957551,0.85625,0.08356445710424487
Validation,0.8,0.8500000000000001,121,0.8250328923269369,0.8429752066115702,0.01794231428463333
Validation,0.8500000000000001,0.9,160,0.8721890597048073,0.94375,0.07156094029519267
Validation,0.9,0.9500000000000001,48,0.9176244810397737,0.8958333333333334,-0.021791147706440306
Validation,0.9500000000000001,1.0,3,0.9561405506939392,1.0,0.04385944930606078
Test,0.0,0.05,0,,,
Test,0.05,0.1,1,0.08791540404040403,0.0,-0.08791540404040403
Test,0.1,0.15000000000000002,5,0.13149233844586788,0.0,-0.13149233844586788
Test,0.15000000000000002,0.2,13,0.17830676529088654,0.07692307692307693,-0.10138368836780962
Test,0.2,0.25,12,0.2230972396583465,0.25,0.02690276034165351
Test,0.25,0.30000000000000004,23,0.2772208871407081,0.43478260869565216,0.15756172155494408
Test,0.30000000000000004,0.35000000000000003,34,0.32487499439638406,0.14705882352941177,-0.1778161708669723
Test,0.35000000000000003,0.4,51,0.3741769370663552,0.29411764705882354,-0.08005929000753165
Test,0.4,0.45,52,0.4318690661047807,0.46153846153846156,0.029669395433680856
Test,0.45,0.5,50,0.4705302918122025,0.48,0.009469708187797465
Test,0.5,0.55,81,0.5259288838244741,0.4567901234567901,-0.06913876036768402
Test,0.55,0.6000000000000001,70,0.5774340945901325,0.7,0.12256590540986745
Test,0.6000000000000001,0.65,77,0.6244107670558949,0.6493506493506493,0.024939882294754412
Test,0.65,0.7000000000000001,90,0.6742985356293059,0.7333333333333333,0.05903479770402742
Test,0.7000000000000001,0.75,99,0.7255535499577476,0.7575757575757576,0.03202220761801
Test,0.75,0.8,75,0.7723998773871308,0.8933333333333333,0.12093345594620253
Test,0.8,0.8500000000000001,60,0.8240026243932556,0.9166666666666666,0.09266404227341107
Test,0.8500000000000001,0.9,69,0.8722652308067261,0.9565217391304348,0.08425650832370868
Test,0.9,0.9500000000000001,22,0.9214132559707586,1.0,0.07858674402924137
Test,0.9500000000000001,1.0,4,0.9593668963088854,1.0,0.040633103691114614
