importance_rank,feature,importance
1,homePregameElo,0.04642862382818842
2,awayPregameElo,0.04219728928409628
3,pointDifferentialBefore_home,0.018623253881410517
4,pointDifferentialAvgBefore_away,0.01645440668462089
5,pointDifferentialAvgBefore_home,0.01567004407007914
6,pointDifferentialBefore_away,0.015541794534886967
7,pointDifferentialAvgLast5_home,0.014226762028797734
8,pointDifferentialAvgLast5_away,0.012435163626226068
9,pointDifferentialAvgLast3_home,0.011181420491453684
10,pointsAgainstAvgBefore_away,0.010881747499702553
11,away_pregame_offense_successRate,0.010682912053766975
12,pointDifferentialAvgLast3_away,0.0103927177324772
13,winPctBefore_home,0.009205626304543406
14,pointsAgainstAvgBefore_home,0.00852627975832183
15,winPctBefore_away,0.008028270525513394
16,pointsForAvgBefore_home,0.007237364363911486
17,home_pregame_offense_successRate,0.0071233712066484465
18,away_pregame_defense_successRate,0.006908035847978374
19,pointsForAvgLast5_home,0.0068058653975355985
20,pointsAgainstAvgLast5_away,0.006725659703042102
21,home_pregame_offense_ppa,0.006632350876499909
22,pointsAgainstAvgLast5_home,0.006623215131522664
23,away_pregame_offense_ppa,0.0065306121220232854
24,homePointDifferentialAvgBefore_home,0.006482327920159175
25,home_pregame_defense_successRate,0.006253787423157223
26,pointsAgainstAvgLast3_away,0.0060897080357153344
27,pointsForAvgLast3_away,0.00608737514955781
28,home_pregame_defense_ppa,0.00599015483788244
29,winPctLast5_home,0.005981681723798425
30,away_pregame_defense_ppa,0.005934091091546094
31,homePointDifferentialBefore_home,0.0058378922309515755
32,pointsForAvgBefore_away,0.005775112772679084
33,completionPctBefore_away,0.005611489342871107
34,pointsAgainstAvgLast3_home,0.0055025249605372955
35,pointsForAvgLast5_away,0.0052858710719710725
36,yardsPerPassAttemptBefore_home,0.005247679460830463
37,totalYardsAvgBefore_home,0.005219435824391853
38,homePointsAgainstAvgBefore_home,0.004985663151387442
39,totalYardsAvgBefore_away,0.00494098066455525
40,pointsForAvgLast3_home,0.004728684343907423
41,awayPointDifferentialBefore_away,0.004484193074129942
42,totalYardsAvgLast5_away,0.004429283917220714
43,pointsForBefore_away,0.00437164982036795
44,yardsPerPassAttemptBefore_away,0.00436228359404303
45,thirdDownPctBefore_home,0.00433090871127019
46,totalYardsAvgLast5_home,0.004191708840344615
47,completionPctBefore_home,0.0041182118557921915
48,winPctLast5_away,0.00410921786137776
49,totalYardsAvgLast3_away,0.0041085773203068335
50,thirdDownPctBefore_away,0.00392689079019086
51,thirdDownAttemptsAvgBefore_home,0.0038881911110783263
52,rushingTDsBefore_away,0.003783146715936474
53,rushingYardsBefore_away,0.0037751705806802344
54,yardsPerRushAttemptBefore_home,0.00377389177160409
55,homeYardsPerPassAttemptBefore_home,0.0037301143780207728
56,awayPointDifferentialAvgBefore_away,0.0036777161184349235
57,firstDownsAvgBefore_home,0.0036752197024352527
58,firstDownsAvgBefore_away,0.0036659028932568864
59,totalYardsAvgLast3_home,0.003618923880916425
60,home_pregame_defense_explosiveness,0.003605002248193265
61,homePointsForAvgBefore_home,0.0035383404038812068
62,winsBefore_away,0.003519358412648572
63,sacksAvgBefore_away,0.003447679918368959
64,awayPointsAgainstAvgBefore_away,0.0033990386544181473
65,netPassingYardsAvgLast3_away,0.003393021149291114
66,home_pregame_offense_explosiveness,0.0033645146738210774
67,netPassingYardsAvgBefore_away,0.003353788540757622
68,pointsAgainstBefore_home,0.0033431891765425426
69,homeTotalYardsAvgBefore_home,0.0032989723400383454
70,homeWinPctBefore_home,0.0032950837530254014
71,possessionSecondsAvgBefore_home,0.003276492227856173
72,possessionSecondsAvgBefore_away,0.0032753525420221403
73,away_pregame_offense_explosiveness,0.003263084402764776
74,homeCompletionPctBefore_home,0.0032335314874446346
75,awayCompletionPctBefore_away,0.0032080179228814306
76,homePossessionSecondsAvgBefore_home,0.003170935825503284
77,netPassingYardsAvgLast5_away,0.0031592451217860224
78,away_pregame_defense_explosiveness,0.003149350426144334
79,rushingYardsAvgLast5_away,0.0031333460609967822
80,rushingTDsAvgBefore_home,0.0031330139889157974
81,tacklesForLossAvgBefore_home,0.003063253167969813
82,penaltyYardsAvgBefore_away,0.003051653539589069
83,tacklesForLossAvgBefore_away,0.003040136019322054
84,yardsPerRushAttemptBefore_away,0.0030346052199399388
85,awayTotalYardsAvgBefore_away,0.003012489740128114
86,penaltyYardsAvgBefore_home,0.0029916802027374605
87,rushingYardsAvgLast3_home,0.0029855033076456954
88,winPctLast3_home,0.002968152141677756
89,awayPointsForAvgBefore_away,0.0029549777415266362
90,homeThirdDownPctBefore_home,0.0029470092293976216
91,rushingTDsAvgBefore_away,0.0029444258538948403
92,totalYardsBefore_away,0.0029257924716478254
93,rushingAttemptsAvgBefore_away,0.0029194816150835104
94,homeYardsPerRushAttemptBefore_home,0.0028959523234298574
95,rushingYardsAvgLast3_away,0.0028850068853263928
96,netPassingYardsAvgLast5_home,0.0028740472457900565
97,netPassingYardsBefore_away,0.002862874127960759
98,tacklesForLossAvgLast5_home,0.0028613813636753577
99,rushingYardsAvgBefore_home,0.002851918564508977
100,passingTDsAvgBefore_away,0.0028491469953330914
101,homeThirdDownAttemptsAvgBefore_home,0.0028422413550842868
102,firstDownsBefore_away,0.0028374859279445617
103,thirdDownAttemptsAvgBefore_away,0.0028265078176211854
