feature_family,feature_count,total_importance,mean_importance,median_importance,importance_share
Rolling / Trend,48,0.1912452630284479,0.003984276313092665,0.0028795270655582244,0.1912452630284479
Scoring / Results,32,0.18396352689023276,0.005748860215319774,0.003608028261158065,0.18396352689023276
Passing,64,0.14806224614259159,0.0023134725959779935,0.002139164700067764,0.14806224614259159
Situational,48,0.10224437548571733,0.0021300911559524443,0.00201922073049355,0.10224437548571733
Elo,2,0.08862591311228471,0.044312956556142355,0.044312956556142355,0.08862591311228471
Rushing,28,0.06963378547368011,0.00248692090977429,0.002536026730134454,0.06963378547368011
Advanced Metrics,12,0.0694372672104262,0.005786438934202183,0.006121971130519831,0.0694372672104262
Defense,24,0.03803160228980705,0.0015846500954086271,0.0016830856063617683,0.03803160228980705
Penalties,16,0.03684130107640665,0.0023025813172754157,0.0022138118844303774,0.03684130107640665
Total Offense,8,0.025510208455560544,0.003188776056945068,0.0029691411058879696,0.025510208455560544
Turnovers,16,0.02377788939763511,0.0014861180873521943,0.0015918614646201926,0.02377788939763511
Other,12,0.022626621437210125,0.0018855517864341772,0.0018619603652303327,0.022626621437210125
