model,split,probability_bin,count,mean_predicted_probability,observed_home_win_rate,absolute_calibration_error
model_2,validation,"(-0.001, 0.1]",13,0.06307692307692309,0.15384615384615385,0.09076923076923077
model_2,validation,"(0.1, 0.2]",67,0.16140298507462686,0.19402985074626866,0.0326268656716418
model_2,validation,"(0.2, 0.3]",118,0.2546254849908108,0.288135593220339,0.03351010822952821
model_2,validation,"(0.3, 0.4]",128,0.3511875,0.34375,0.007437499999999986
model_2,validation,"(0.4, 0.5]",216,0.4557962962962963,0.4861111111111111,0.030314814814814794
model_2,validation,"(0.5, 0.6]",267,0.5526142322097378,0.5468164794007491,0.005797752808988754
model_2,validation,"(0.6, 0.7]",266,0.6516917293233082,0.7105263157894737,0.05883458646616546
model_2,validation,"(0.7, 0.8]",251,0.7495788717076619,0.8007968127490039,0.05121794104134203
model_2,validation,"(0.8, 0.9]",256,0.8471924343341821,0.8828125,0.03562006566581788
model_2,validation,"(0.9, 1.0]",159,0.9517789938012214,0.9245283018867925,0.02725069191442897
model_3,validation,"(-0.001, 0.1]",24,0.06874999999999999,0.125,0.05625000000000001
model_3,validation,"(0.1, 0.2]",68,0.162,0.23529411764705882,0.07329411764705882
model_3,validation,"(0.2, 0.3]",102,0.25597647058823525,0.3333333333333333,0.07735686274509807
model_3,validation,"(0.3, 0.4]",142,0.3504929577464789,0.31690140845070425,0.033591549295774625
model_3,validation,"(0.4, 0.5]",211,0.45584834123222756,0.4786729857819905,0.022824644549762962
model_3,validation,"(0.5, 0.6]",273,0.5523956043956043,0.5714285714285714,0.019032967032967085
model_3,validation,"(0.6, 0.7]",257,0.6522687331072876,0.7237354085603113,0.07146667545302365
model_3,validation,"(0.7, 0.8]",254,0.7516641959706483,0.8031496062992126,0.05148541032856435
model_3,validation,"(0.8, 0.9]",240,0.8467953417015001,0.85,0.0032046582984999183
model_3,validation,"(0.9, 1.0]",170,0.951810835261767,0.9294117647058824,0.022399070555884637
model_2,test,"(-0.001, 0.1]",8,0.09125,0.0,0.09125
model_2,test,"(0.1, 0.2]",30,0.1620666666666667,0.26666666666666666,0.10459999999999997
model_2,test,"(0.2, 0.3]",50,0.25923999999999997,0.32,0.060760000000000036
model_2,test,"(0.3, 0.4]",86,0.3573720930232558,0.27906976744186046,0.07830232558139533
model_2,test,"(0.4, 0.5]",86,0.45220930232558126,0.4186046511627907,0.033604651162790544
model_2,test,"(0.5, 0.6]",149,0.5527696328252028,0.6174496644295302,0.06468003160432745
model_2,test,"(0.6, 0.7]",157,0.6516297982611223,0.6942675159235668,0.04263771766244451
model_2,test,"(0.7, 0.8]",130,0.7492710439882005,0.8615384615384616,0.11226741755026104
model_2,test,"(0.8, 0.9]",107,0.8479726580134496,0.8691588785046729,0.021186220491223318
model_2,test,"(0.9, 1.0]",85,0.9509222590232989,0.9764705882352941,0.025548329211995235
model_3,test,"(-0.001, 0.1]",9,0.06955555555555555,0.1111111111111111,0.041555555555555554
model_3,test,"(0.1, 0.2]",32,0.157,0.1875,0.0305
model_3,test,"(0.2, 0.3]",60,0.2541,0.3333333333333333,0.07923333333333332
model_3,test,"(0.3, 0.4]",76,0.35568421052631577,0.2894736842105263,0.06621052631578944
model_3,test,"(0.4, 0.5]",100,0.44691999999999993,0.47,0.023080000000000045
model_3,test,"(0.5, 0.6]",137,0.5550875285441681,0.6204379562043796,0.06535042766021149
model_3,test,"(0.6, 0.7]",140,0.648684393757503,0.6857142857142857,0.037029891956782746
model_3,test,"(0.7, 0.8]",135,0.7480672348384533,0.837037037037037,0.08896980219858375
model_3,test,"(0.8, 0.9]",107,0.8464322330502984,0.8504672897196262,0.004035056669327797
model_3,test,"(0.9, 1.0]",92,0.950589366645892,1.0,0.049410633354108
