feature,model_2_importance,model_2_rank,model_2_cumulative_importance,model_3_importance,model_3_rank,model_3_cumulative_importance,importance_difference
homePregameElo,0.0938123907966123,1,0.0938123907966123,0.11109256469356071,1.0,0.11109256469356071,0.017280173896948414
awayPregameElo,0.08640105776359919,2,0.1802134485602115,0.10100620891639436,2.0,0.21209877360995508,0.014605151152795176
pointDifferentialBefore_away,0.034018400362702365,4,0.2504258771350326,0.04426601443801643,3.0,0.2563647880479715,0.010247614075314063
pointDifferentialBefore_home,0.03619402821211879,3,0.21640747677233027,0.043655200377206806,4.0,0.30001998842517835,0.007461172165088015
pointDifferentialAvgBefore_home,0.029416491825634262,6,0.30944435589069114,0.03989001411621148,5.0,0.3399100025413898,0.010473522290577218
pointDifferentialAvgBefore_away,0.029601986930024266,5,0.28002786406505686,0.038027058961739975,6.0,0.3779370615031298,0.008425072031715709
pointDifferentialAvgLast5_home,0.02823389669522775,7,0.3376782525859189,0.03496392866755556,7.0,0.4129009901706853,0.0067300319723278094
pointDifferentialAvgLast5_away,0.025185073940686042,8,0.3628633265266049,0.03347325568785882,8.0,0.4463742458585441,0.008288181747172777
away_pregame_offense_successRate,0.02398605077834214,10,0.41144445345566805,0.03258986325829834,9.0,0.47896410911684245,0.008603812479956199
pointDifferentialAvgLast3_away,0.024595076150721006,9,0.3874584026773259,0.03237300299593004,10.0,0.5113371121127724,0.007777926845209032
home_pregame_offense_successRate,0.022744481377233772,11,0.43418893483290183,0.029996411138048764,11.0,0.5413335232508212,0.007251929760814992
away_pregame_defense_successRate,0.021901887657133023,14,0.5006860593809586,0.029764136810469608,12.0,0.5710976600612908,0.007862249153336585
pointDifferentialAvgLast3_home,0.022583148344671716,12,0.45677208317757356,0.029636932758990656,13.0,0.6007345928202815,0.007053784414318941
home_pregame_defense_successRate,0.021053163175905606,16,0.543075503432204,0.028577496408004523,14.0,0.6293120892282861,0.007524333232098918
home_pregame_offense_ppa,0.022012088546251998,13,0.47878417172382554,0.028470679101307985,15.0,0.657782768329594,0.0064585905550559874
yardsPerRushAttemptBefore_home,0.0209871902536933,18,0.5850658808204077,0.028252877882688574,16.0,0.6860356462122826,0.007265687628995276
yardsPerPassAttemptBefore_away,0.02037622441166398,22,0.6674467417670312,0.02785820323346089,17.0,0.7138938494457435,0.007481978821796912
away_pregame_offense_ppa,0.02082673113972745,19,0.6058926119601351,0.027397933863522548,18.0,0.741291783309266,0.0065712027237950985
yardsPerPassAttemptBefore_home,0.02133628087533992,15,0.5220223402562985,0.027293680222470144,19.0,0.7685854635317362,0.0059573993471302225
pointsAgainstAvgLast5_away,0.01985931173899096,23,0.6873060535060221,0.027059509786523193,20.0,0.7956449733182593,0.007200198047532233
yardsPerRushAttemptBefore_away,0.018539190075065465,27,0.7641825296823755,0.026934007440504924,21.0,0.8225789807587642,0.008394817365439459
home_pregame_defense_ppa,0.020505335525655977,21,0.6470705173553672,0.02666245451295428,22.0,0.8492414352717185,0.006157118987298302
pointsAgainstAvgLast5_home,0.01945398576604515,25,0.7265422007292857,0.02621206622796482,23.0,0.8754535014996833,0.006758080461919669
away_pregame_defense_ppa,0.019101138878024483,26,0.7456433396073101,0.02618921903539041,24.0,0.9016427205350737,0.007088080157365926
pointsForAvgLast5_home,0.020672569869576163,20,0.6265651818297113,0.026162808452696824,25.0,0.9278055289877705,0.005490238583120661
pointsForAvgLast5_away,0.019782161457218297,24,0.7070882149632405,0.025826339639075734,26.0,0.9536318686268462,0.006044178181857436
winPctBefore_home,0.018449529954948193,28,0.7826320596373237,0.023922269115759495,27.0,0.9775541377426057,0.0054727391608113025
winPctBefore_away,0.016830542835982575,30,0.8177596379011098,0.02244586225739408,28.0,0.9999999999999998,0.0056153194214115035
netPassingYardsTrend_home,0.013627652729999794,33,0.8629998244323969,0.0,,,-0.013627652729999794
netPassingYardsTrend_away,0.013568543803960414,35,0.8901913894329678,0.0,,,-0.013568543803960414
pointDifferentialTrend_home,0.011723517763355706,42,0.9791113550773455,0.0,,,-0.011723517763355706
pointDifferentialTrend_away,0.012494207307603322,40,0.9549743998176009,0.0,,,-0.012494207307603322
pointsAgainstTrend_away,0.013266713500344574,37,0.9168199590202541,0.0,,,-0.013266713500344574
pointsAgainstTrend_home,0.013361856086941737,36,0.9035532455199096,0.0,,,-0.013361856086941737
pointsForTrend_away,0.012413437496388952,41,0.9673878373139898,0.0,,,-0.012413437496388952
pointsForTrend_home,0.012889615587070679,38,0.9297095746073248,0.0,,,-0.012889615587070679
totalYardsTrend_home,0.012770617902672747,39,0.9424801925099976,0.0,,,-0.012770617902672747
totalYardsTrend_away,0.013623021196610553,34,0.8766228456290074,0.0,,,-0.013623021196610553
priorSOSWinPct_home,0.016344711220908355,31,0.8341043491220181,0.0,,,-0.016344711220908355
priorSOSWinPct_away,0.015267822580378976,32,0.8493721717023971,0.0,,,-0.015267822580378976
priorSOSPointDiff_home,0.01829703542780353,29,0.8009290950651272,0.0,,,-0.01829703542780353
priorSOSPointDiff_away,0.02100318713451032,17,0.5640786905667143,0.0,,,-0.02100318713451032
winPctTrend_home,0.01033143701486807,44,0.9999999999999998,0.0,,,-0.01033143701486807
winPctTrend_away,0.010557207907786205,43,0.9896685629851317,0.0,,,-0.010557207907786205
