feature,importance,rank,cumulative_importance
homePregameElo,0.11109256469356071,1,0.11109256469356071
awayPregameElo,0.10100620891639436,2,0.21209877360995508
pointDifferentialBefore_away,0.04426601443801643,3,0.2563647880479715
pointDifferentialBefore_home,0.043655200377206806,4,0.30001998842517835
pointDifferentialAvgBefore_home,0.03989001411621148,5,0.3399100025413898
pointDifferentialAvgBefore_away,0.038027058961739975,6,0.3779370615031298
pointDifferentialAvgLast5_home,0.03496392866755556,7,0.4129009901706853
pointDifferentialAvgLast5_away,0.03347325568785882,8,0.4463742458585441
away_pregame_offense_successRate,0.03258986325829834,9,0.47896410911684245
pointDifferentialAvgLast3_away,0.03237300299593004,10,0.5113371121127724
home_pregame_offense_successRate,0.029996411138048764,11,0.5413335232508212
away_pregame_defense_successRate,0.029764136810469608,12,0.5710976600612908
pointDifferentialAvgLast3_home,0.029636932758990656,13,0.6007345928202815
home_pregame_defense_successRate,0.028577496408004523,14,0.6293120892282861
home_pregame_offense_ppa,0.028470679101307985,15,0.657782768329594
yardsPerRushAttemptBefore_home,0.028252877882688574,16,0.6860356462122826
yardsPerPassAttemptBefore_away,0.02785820323346089,17,0.7138938494457435
away_pregame_offense_ppa,0.027397933863522548,18,0.741291783309266
yardsPerPassAttemptBefore_home,0.027293680222470144,19,0.7685854635317362
pointsAgainstAvgLast5_away,0.027059509786523193,20,0.7956449733182593
yardsPerRushAttemptBefore_away,0.026934007440504924,21,0.8225789807587642
home_pregame_defense_ppa,0.02666245451295428,22,0.8492414352717185
pointsAgainstAvgLast5_home,0.02621206622796482,23,0.8754535014996833
away_pregame_defense_ppa,0.02618921903539041,24,0.9016427205350737
pointsForAvgLast5_home,0.026162808452696824,25,0.9278055289877705
pointsForAvgLast5_away,0.025826339639075734,26,0.9536318686268462
winPctBefore_home,0.023922269115759495,27,0.9775541377426057
winPctBefore_away,0.02244586225739408,28,0.9999999999999998
