feature,feature_order
homePregameElo,1
awayPregameElo,2
winPctBefore_home,3
winPctBefore_away,4
pointDifferentialBefore_home,5
pointDifferentialBefore_away,6
pointDifferentialAvgBefore_home,7
pointDifferentialAvgBefore_away,8
pointDifferentialAvgLast3_home,9
pointDifferentialAvgLast3_away,10
pointDifferentialAvgLast5_home,11
pointDifferentialAvgLast5_away,12
pointsForAvgLast5_home,13
pointsForAvgLast5_away,14
pointsAgainstAvgLast5_home,15
pointsAgainstAvgLast5_away,16
home_pregame_offense_successRate,17
away_pregame_offense_successRate,18
home_pregame_offense_ppa,19
away_pregame_offense_ppa,20
yardsPerPassAttemptBefore_home,21
yardsPerPassAttemptBefore_away,22
yardsPerRushAttemptBefore_home,23
yardsPerRushAttemptBefore_away,24
home_pregame_defense_successRate,25
away_pregame_defense_successRate,26
home_pregame_defense_ppa,27
away_pregame_defense_ppa,28
