feature,importance_model4,importance_model5,importance_difference,absolute_importance_difference,rank_model4,rank_model5,rank_change_model5_minus_model4
homePregameElo,0.2563435549407825,0.2813290809878659,0.02498552604708343,0.02498552604708343,1.0,1.0,0.0
awayPregameElo,0.2125770030627205,0.2321787144566786,0.019601711393958082,0.019601711393958082,2.0,2.0,0.0
pointDifferentialBefore_away,0.0638421269241394,0.0671355281476806,0.003293401223541201,0.003293401223541201,3.0,3.0,0.0
pointDifferentialBefore_home,0.0526289550919324,0.0555288165686688,0.002899861476736404,0.002899861476736404,4.0,4.0,0.0
pointDifferentialAvgBefore_home,0.0442508961887169,0.045750070493682,0.0014991743049651007,0.0014991743049651007,5.0,5.0,0.0
pointDifferentialAvgBefore_away,0.0395932702154426,0.0444631720076868,0.004869901792244197,0.004869901792244197,6.0,6.0,0.0
pointDifferentialAvgLast5_away,0.0240147455559118,0.023331154505389,-0.0006835910505227985,0.0006835910505227985,7.0,7.0,0.0
pointDifferentialAvgLast5_home,0.0218317647707651,0.0226859461620993,0.0008541813913342002,0.0008541813913342002,8.0,8.0,0.0
pointDifferentialAvgLast3_away,0.0190985434113842,0.0177358953968268,-0.0013626480145574014,0.0013626480145574014,10.0,9.0,-1.0
away_pregame_offense_successRate,0.0210399067349063,0.0169548698020469,-0.004085036932859401,0.004085036932859401,9.0,10.0,1.0
winPctBefore_home,0.0143645671068301,0.0140972491117128,-0.0002673179951173006,0.0002673179951173006,15.0,11.0,-4.0
home_pregame_offense_successRate,0.0161556460945783,0.0135992590567968,-0.0025563870377814987,0.0025563870377814987,13.0,12.0,-1.0
away_pregame_defense_successRate,0.0171093125515708,0.0131333410373202,-0.0039759715142506005,0.0039759715142506005,11.0,13.0,2.0
yardsPerRushAttemptBefore_home,0.016347821887836,0.0127777505891119,-0.0035700712987241003,0.0035700712987241003,12.0,14.0,2.0
home_pregame_defense_successRate,0.0153658295336411,0.0124910279411126,-0.0028748015925285,0.0028748015925285,14.0,15.0,1.0
pointsAgainstAvgLast5_away,0.0136894321220336,0.0114622836269722,-0.0022271484950614,0.0022271484950614,18.0,16.0,-2.0
home_pregame_offense_ppa,0.0137850463210267,0.01144762685425,-0.002337419466776701,0.002337419466776701,17.0,17.0,0.0
yardsPerPassAttemptBefore_home,0.0135978838779027,0.0107301798878628,-0.0028677039900399,0.0028677039900399,19.0,18.0,-1.0
yardsPerRushAttemptBefore_away,0.0135779117778274,0.010204519559291,-0.0033733922185364,0.0033733922185364,20.0,19.0,-1.0
away_pregame_offense_ppa,0.0138469170777997,0.0100275929463986,-0.003819324131401099,0.003819324131401099,16.0,20.0,4.0
yardsPerPassAttemptBefore_away,0.0130751566832626,0.0099663113549347,-0.0031088453283279003,0.0031088453283279003,22.0,21.0,-1.0
pointsForAvgLast5_home,0.012791381372422,0.0098614320830917,-0.0029299492893303004,0.0029299492893303004,24.0,22.0,-2.0
pointDifferentialAvgLast3_home,0.0132092441340439,0.0095986992880264,-0.0036105448460174994,0.0036105448460174994,21.0,23.0,2.0
home_pregame_defense_ppa,0.0128366663403746,0.0095564537953061,-0.0032802125450685,0.0032802125450685,23.0,24.0,1.0
pointsForAvgLast5_away,0.0111991061343458,0.0088129651619359,-0.002386140972409901,0.002386140972409901,26.0,25.0,-1.0
winPctBefore_away,0.0105675531035019,0.0086408318059104,-0.0019267212975914993,0.0019267212975914993,28.0,26.0,-2.0
away_pregame_defense_ppa,0.0120952090849073,0.0086358509055173,-0.0034593581793900003,0.0034593581793900003,25.0,27.0,2.0
pointsAgainstAvgLast5_home,0.0111645478993925,0.0078633764658226,-0.0033011714335699008,0.0033011714335699008,27.0,28.0,1.0
