split,metric,model_4,model_5,difference_model5_minus_model4,better_model
validation,log_loss,0.5369515340275048,0.5363282608147355,-0.0006232732127693374,Model 5
validation,brier_score,0.18014203952296765,0.18004783298798244,-9.420653498520837e-05,Model 5
validation,roc_auc,0.7829727088017462,0.7832291782434122,0.0002564694416660185,Model 5
validation,accuracy,0.7346352670878805,0.7311889718552556,-0.003446295232624963,Model 4
validation,balanced_accuracy,0.6996714341486212,0.6956135176493721,-0.004057916499249137,Model 4
validation,precision,0.7712363330529857,0.7682619647355163,-0.0029743683174693336,Model 4
validation,recall,0.8283649503161699,0.8265582655826558,-0.0018066847335140857,Model 4
test,log_loss,0.51515126657707,0.5164236414369688,0.0012723748598988394,Model 4
test,brier_score,0.17215994992849165,0.1725527230450433,0.0003927731165516424,Model 4
test,roc_auc,0.8024377406576361,0.8008144269924375,-0.0016233136651985225,Model 4
test,accuracy,0.7398648648648649,0.7421171171171171,0.0022522522522522292,Model 5
test,balanced_accuracy,0.7005152497299094,0.7015457491897282,0.0010304994598188122,Model 5
test,precision,0.7775974025974026,0.7774193548387097,-0.0001780477586929008,Model 4
test,recall,0.8359511343804538,0.8411867364746946,0.005235602094240788,Model 5
