feature,importance,rank
homePregameElo,0.2813290809878659,1
awayPregameElo,0.2321787144566786,2
pointDifferentialBefore_away,0.06713552814768069,3
pointDifferentialBefore_home,0.05552881656866886,4
pointDifferentialAvgBefore_home,0.04575007049368203,5
pointDifferentialAvgBefore_away,0.044463172007686826,6
pointDifferentialAvgLast5_away,0.023331154505389022,7
pointDifferentialAvgLast5_home,0.02268594616209935,8
pointDifferentialAvgLast3_away,0.01773589539682687,9
away_pregame_offense_successRate,0.016954869802046944,10
winPctBefore_home,0.014097249111712852,11
home_pregame_offense_successRate,0.01359925905679688,12
away_pregame_defense_successRate,0.013133341037320235,13
yardsPerRushAttemptBefore_home,0.012777750589111932,14
home_pregame_defense_successRate,0.012491027941112629,15
pointsAgainstAvgLast5_away,0.011462283626972219,16
home_pregame_offense_ppa,0.011447626854250055,17
yardsPerPassAttemptBefore_home,0.010730179887862878,18
yardsPerRushAttemptBefore_away,0.01020451955929101,19
away_pregame_offense_ppa,0.010027592946398689,20
yardsPerPassAttemptBefore_away,0.009966311354934781,21
pointsForAvgLast5_home,0.00986143208309175,22
pointDifferentialAvgLast3_home,0.009598699288026492,23
home_pregame_defense_ppa,0.0095564537953061,24
pointsForAvgLast5_away,0.008812965161935991,25
winPctBefore_away,0.00864083180591041,26
away_pregame_defense_ppa,0.008635850905517353,27
pointsAgainstAvgLast5_home,0.007863376465822684,28
