feature,feature_group
homePregameElo,core_strength
awayPregameElo,core_strength
winPctBefore_home,core_strength
winPctBefore_away,core_strength
pointDifferentialBefore_home,core_strength
pointDifferentialBefore_away,core_strength
pointDifferentialAvgBefore_home,core_strength
pointDifferentialAvgBefore_away,core_strength
pointDifferentialAvgLast3_home,recent_form
pointDifferentialAvgLast3_away,recent_form
pointDifferentialAvgLast5_home,recent_form
pointDifferentialAvgLast5_away,recent_form
pointsForAvgLast5_home,recent_form
pointsForAvgLast5_away,recent_form
pointsAgainstAvgLast5_home,recent_form
pointsAgainstAvgLast5_away,recent_form
home_pregame_offense_successRate,offensive_efficiency
away_pregame_offense_successRate,offensive_efficiency
home_pregame_offense_ppa,offensive_efficiency
away_pregame_offense_ppa,offensive_efficiency
yardsPerPassAttemptBefore_home,offensive_efficiency
yardsPerPassAttemptBefore_away,offensive_efficiency
yardsPerRushAttemptBefore_home,offensive_efficiency
yardsPerRushAttemptBefore_away,offensive_efficiency
home_pregame_defense_successRate,defensive_efficiency
away_pregame_defense_successRate,defensive_efficiency
home_pregame_defense_ppa,defensive_efficiency
away_pregame_defense_ppa,defensive_efficiency
