dataset,model_a,model_b,games,mean_abs_probability_difference,median_abs_probability_difference,max_abs_probability_difference,probability_correlation,classification_agreement
validation,1,2,1741,0.06472949475965764,0.0507411283161282,0.6167631650923738,0.9250195774238694,0.9184376794945434
validation,1,3,1741,0.0662666290178624,0.05477094990492817,0.5969631650923739,0.9263514271892571,0.9086731763354394
validation,1,4,1741,0.0731145745115605,0.0636763305543473,0.38535162305505655,0.9272655506133534,0.8943136128661688
validation,1,5,1741,0.07127183857725866,0.0616409539016477,0.36501691476657233,0.9280617368412055,0.8966111430212521
validation,2,3,1741,0.03356132149482933,0.026000000000000023,0.16199999999999992,0.9812227917651868,0.941987363584147
validation,2,4,1741,0.05583765953277805,0.043290112304108175,0.47396914514713795,0.9438821433525943,0.9276278001148766
validation,2,5,1741,0.0570836085948382,0.0433435284601954,0.5221104089555522,0.939265383609081,0.9230327398047099
validation,3,4,1741,0.04787695922289607,0.035450227296727255,0.4713231517928681,0.9551621390064606,0.9339460080413555
validation,3,5,1741,0.05043391548020436,0.035940533673478936,0.5213555431112756,0.9493685689075146,0.929350947731189
validation,4,5,1741,0.010260940754875476,0.0081480067208628,0.06348566239457587,0.9983952438250175,0.987363584147042
test,1,2,888,0.061597445230034485,0.04961866098591333,0.4020157141548968,0.9305207136603839,0.9301801801801802
test,1,3,888,0.06506558705582528,0.053180533688848064,0.4040157141548968,0.9311884897622137,0.9099099099099099
test,1,4,888,0.06929890583864334,0.05863539700088671,0.2989593589084819,0.9264843628032439,0.8975225225225225
test,1,5,888,0.06790313424423175,0.05870927035942386,0.2942234778435818,0.9276760810089034,0.9042792792792793
test,2,3,888,0.034944467616802324,0.027999999999999914,0.18799999999999994,0.9788641855094171,0.9527027027027027
test,2,4,888,0.0559233196217291,0.04189355073622639,0.4046167574541135,0.9393746566752005,0.9245495495495496
test,2,5,888,0.05728714277908257,0.04338474404722248,0.41890345154945663,0.935041328714564,0.9313063063063063
test,3,4,888,0.04991887822852948,0.035893320199028356,0.40409569170121606,0.9496170181247386,0.9403153153153153
test,3,5,888,0.05200863280695731,0.03668905454750854,0.42090345154945663,0.9437934325005273,0.9425675675675675
test,4,5,888,0.010278040648009988,0.008156382849942564,0.04722888704836514,0.9983027963103936,0.990990990990991
