dataset,model,features,rows,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,precision,recall,ece,mce,log_loss_rank,brier_score_rank,roc_auc_rank,accuracy_rank,balanced_accuracy_rank,precision_rank,recall_rank,ece_rank,mce_rank,average_rank
validation,1,310,1741,0.5422730724201014,0.18120992829838908,0.7822902151208684,0.7380815623205055,0.69328320780579,0.7606084867894315,0.8581752484191508,0.05383375663450325,0.11284723002016261,8,8,8,5,7,7,1,6,7,6.333333333333333
test,1,310,888,0.5327806783632825,0.17807832136137322,0.7901714728939859,0.7319819819819819,0.6808277237596609,0.758887171561051,0.8568935427574171,0.06066807657655483,0.1191620423513079,5,5,5,7,9,9,2,8,8,6.444444444444445
validation,2,44,1741,0.5642699835299775,0.18328672169689975,0.7739492589457967,0.7185525560022975,0.6796112493196436,0.7560165975103734,0.8229448961156278,0.03396065065899182,0.09076923076923077,10,9,9,10,10,10,9,3,4,8.222222222222221
test,2,44,888,0.5247910000569379,0.17632736607260793,0.7922324718136237,0.75,0.7069392503947478,0.7790143084260731,0.8551483420593369,0.05911570297203035,0.11158732001189087,4,4,4,1,1,2,3,7,6,3.5555555555555554
validation,3,28,1741,0.5502167322151827,0.18444843740350678,0.7713019243757107,0.72027570361861,0.6829880969682462,0.7591973244147158,0.8202348690153568,0.03884410672086316,0.07632452830188674,9,10,10,9,8,8,10,4,2,7.777777777777778
test,3,28,888,0.5238527438408014,0.17623733944720749,0.7926729272279012,0.740990990990991,0.7028172525554724,0.7797716150081566,0.8342059336823735,0.04957392577973354,0.09402214618794547,3,3,3,3,2,1,6,5,5,3.4444444444444446
validation,4,28,1741,0.5369515340275048,0.18014203952296765,0.7829727088017462,0.7346352670878805,0.6996714341486212,0.7712363330529857,0.8283649503161699,0.028770854891850287,0.0807975795235151,7,7,7,6,5,5,7,1,3,5.333333333333333
test,4,28,888,0.51515126657707,0.17215994992849165,0.8024377406576361,0.7398648648648649,0.7005152497299094,0.7775974025974026,0.8359511343804538,0.0702486923684284,0.14652247056554038,1,1,1,4,4,3,5,9,9,4.111111111111111
validation,5,28,1741,0.5363282608147355,0.18004783298798244,0.7832291782434122,0.7311889718552556,0.6956135176493721,0.7682619647355163,0.8265582655826558,0.029036660128222376,0.07090548143597675,6,6,6,8,6,6,8,2,1,5.444444444444445
test,5,28,888,0.5164236414369688,0.1725527230450433,0.8008144269924375,0.7421171171171171,0.7015457491897282,0.7774193548387097,0.8411867364746946,0.07053491779980044,0.1504274110399772,2,2,2,2,3,4,4,10,10,4.333333333333333
